Education,Income,Own_Home,Debt,Car,Loan
College,177761.90,Yes,440863.61,18847.79,Yes
Vocational,58083.15,Yes,232321.40,22947.29,No
College,192452.95,No,198349.13,47710.49,Yes
Vocational,178997.72,No,87055.87,46794.48,Yes
Vocational,97391.15,Yes,340064.68,44186.40,Yes
College,163898.27,No,273546.68,16035.59,Yes
Primary,67817.30,Yes,45366.84,27008.77,No
Vocational,170029.79,Yes,410304.85,9731.91,Yes
College,45261.95,Yes,365154.02,46144.87,Yes
Vocational,59723.92,Yes,166279.70,24481.50,Yes
College,171664.86,No,321312.01,45620.02,Yes
College,152009.05,No,413766.30,11384.10,Yes
Vocational,36788.23,Yes,379299.81,46322.33,Yes
Vocational,35033.80,Yes,235875.86,46349.79,Yes
College,126472.12,No,331154.74,24495.88,Yes
Primary,172094.83,Yes,1861.09,21692.05,Yes
Primary,170366.65,No,382171.09,19895.69,Yes
Primary,130831.84,No,235533.74,44647.18,Yes
Vocational,159509.58,Yes,344267.08,41323.90,Yes
College,168949.33,No,494075.69,32759.51,Yes
Primary,148045.86,No,148002.63,5581.18,No
Vocational,169459.20,Yes,334226.98,16566.81,Yes
Vocational,145183.67,Yes,206545.03,33919.11,Yes
Vocational,122633.55,Yes,408530.56,23273.26,Yes
Vocational,189754.80,Yes,385693.81,38919.44,Yes
Primary,130892.26,Yes,414530.04,14126.23,Yes
Primary,54385.44,Yes,391871.87,40923.41,Yes
Primary,193566.29,No,253426.89,29790.12,Yes
College,46965.48,Yes,62514.09,476.77,Yes
Primary,155255.05,Yes,299807.56,25880.20,Yes
Primary,68693.75,No,62586.65,40462.66,No
Vocational,195357.37,No,333450.19,40006.14,Yes
College,79225.56,No,118492.24,28193.13,No
Primary,65707.95,Yes,366621.77,5047.59,Yes
Primary,181617.19,No,46196.73,25717.84,Yes
Vocational,109564.06,Yes,412198.82,39351.71,Yes
College,119765.28,No,248406.31,380.41,Yes
Primary,118944.42,Yes,339209.69,36908.49,Yes
College,95203.10,No,204485.94,29742.87,No
Primary,169768.03,No,224283.30,19709.04,Yes
Primary,199995.83,Yes,279342.48,5374.66,Yes
College,47339.44,Yes,16930.23,23224.68,Yes
College,174824.43,No,372329.16,17749.99,Yes
College,123465.55,Yes,159556.64,43274.18,Yes
Vocational,149078.92,Yes,389073.81,35834.92,Yes
Vocational,142744.64,Yes,279026.18,22179.45,Yes
College,152932.39,Yes,284663.86,36721.18,Yes
Vocational,129311.95,Yes,298338.26,24031.37,Yes
Primary,145817.93,Yes,472738.86,16977.57,Yes
Primary,75752.55,No,142394.88,47699.25,No
Vocational,131358.82,No,260427.77,29842.66,Yes
Vocational,178645.00,Yes,467966.64,20787.32,Yes
Primary,113478.85,No,281888.55,1948.88,Yes
Primary,157581.01,No,251789.61,24348.40,Yes
College,69232.58,Yes,412791.94,6404.03,Yes
Primary,113646.75,Yes,416014.89,23180.22,Yes
Primary,59697.89,No,158006.35,17427.30,No
College,133383.51,Yes,56968.26,19272.59,Yes
College,71553.57,Yes,222151.48,37678.32,Yes
Primary,33510.29,No,485132.84,6011.49,Yes
Primary,44397.49,Yes,156420.55,36480.41,Yes
Primary,166969.47,Yes,235581.61,5362.20,Yes
Vocational,149073.84,No,72027.57,28413.56,Yes
College,118360.13,Yes,298225.97,9091.35,Yes
Vocational,191057.73,Yes,13247.89,28627.72,Yes
College,167929.77,Yes,142333.44,39821.09,Yes
Primary,103883.96,No,201667.84,48490.86,Yes
Primary,184169.26,No,342882.13,21954.16,Yes
Vocational,32609.60,Yes,175455.88,7635.47,Yes
College,93471.59,No,410665.06,20656.02,No
Primary,135136.53,No,178560.21,27549.85,Yes
Vocational,167363.20,Yes,26744.95,45875.84,Yes
Primary,154711.50,Yes,297619.95,3723.95,Yes
Vocational,120931.54,No,435477.95,34203.29,Yes
Primary,39637.68,No,320932.92,40877.41,No
College,173517.61,No,311752.95,45918.58,Yes
College,140368.88,Yes,498799.35,32279.31,Yes
Primary,61145.16,No,1127.89,3514.62,No
Primary,32820.56,No,87160.40,32506.62,Yes
Vocational,138479.93,No,163838.64,29658.81,Yes
Vocational,88637.95,Yes,251020.95,9074.13,Yes
Primary,143913.25,No,387364.85,14819.87,Yes
Vocational,153965.87,Yes,331440.16,30412.51,Yes
College,122357.37,No,135884.79,26237.61,Yes
College,167902.36,Yes,287829.94,22320.85,Yes
Primary,118304.09,No,59448.15,49618.77,Yes
Vocational,30047.27,No,180622.40,46929.96,No
Vocational,46576.04,Yes,33693.62,18994.05,No
Vocational,187353.23,No,27363.02,33144.52,Yes
Vocational,159546.85,No,226094.73,27717.96,Yes
Primary,165090.26,No,282893.89,40407.72,Yes
College,114327.60,Yes,89512.14,13648.63,Yes
College,145854.45,Yes,100353.17,32476.22,Yes
College,50839.18,No,340551.40,11588.30,No
Vocational,106604.75,Yes,101946.49,41443.82,Yes
College,161768.76,Yes,210180.52,48738.58,Yes
Primary,71288.10,No,83211.40,36583.20,Yes
Primary,50138.11,Yes,48162.96,45647.42,No
College,58861.07,Yes,473558.12,39397.87,No
College,180437.77,Yes,13990.80,47077.97,Yes
Primary,73009.41,Yes,3842.90,1164.90,No
Primary,77998.78,No,484842.49,6155.37,No
Vocational,124637.28,Yes,490126.39,40307.19,Yes
Vocational,150974.06,No,413596.02,20763.61,Yes
Vocational,42728.28,Yes,285780.24,38271.11,Yes
Primary,70258.11,No,110160.59,16169.62,No
College,129007.34,No,297030.67,25153.93,Yes
Vocational,134246.10,No,426839.04,22988.99,Yes
College,159834.90,Yes,350401.37,9482.12,Yes
Primary,189522.60,No,283946.26,41730.55,Yes
College,75562.44,Yes,391218.70,2006.01,No
Vocational,125582.39,Yes,88124.80,30620.68,Yes
Primary,86721.09,Yes,331423.61,27239.99,No
College,122006.27,No,288362.38,15448.42,Yes
Primary,184349.52,No,484853.89,34593.74,Yes
College,114153.98,Yes,82862.26,11068.47,Yes
Vocational,128866.66,No,305152.64,19733.22,Yes
College,122951.86,Yes,417631.47,13678.01,Yes
Vocational,91004.93,Yes,395506.24,21752.84,No
Primary,52634.82,No,287801.29,29195.15,No
College,89502.93,Yes,438607.39,31718.06,No
College,146899.82,Yes,427602.18,23763.24,Yes
Vocational,50721.33,No,146998.50,46878.94,No
Vocational,44950.21,Yes,332244.98,41735.00,Yes
College,37092.73,No,280665.82,45387.15,No
Primary,168359.45,No,283132.19,31934.73,Yes
Primary,37019.43,Yes,218656.26,40288.51,Yes
Vocational,99820.81,Yes,444598.84,18583.14,No
Primary,187382.07,No,332286.35,44052.22,Yes
Vocational,87618.27,No,144376.81,13538.16,No
College,122541.40,Yes,130661.83,42710.82,Yes
Primary,91031.76,No,294585.11,29983.64,No
Primary,88565.84,No,439881.58,37439.99,No
College,156771.88,No,127832.20,47896.35,No
College,124078.51,No,68417.26,19347.37,Yes
College,186146.45,Yes,119313.36,20403.99,Yes
Primary,136170.90,No,57625.73,42239.51,Yes
Vocational,151364.20,No,459621.35,9280.51,Yes
Primary,87667.20,Yes,66794.54,21039.45,No
Vocational,62852.88,No,462767.20,49312.52,No
College,176815.92,No,354337.62,19040.94,Yes
College,140473.06,No,227002.28,39063.90,Yes
Vocational,51724.23,Yes,266318.47,6535.13,Yes
Vocational,165165.22,Yes,45971.31,49083.24,Yes
Primary,101772.94,Yes,78313.71,20637.71,Yes
Primary,36217.72,No,97271.29,4880.97,Yes
Primary,121234.77,No,398319.42,36694.86,Yes
College,43583.89,Yes,358800.99,16304.92,No
College,119993.80,Yes,483427.06,11951.19,Yes
Vocational,57723.51,No,387429.20,5435.95,No
College,128049.51,Yes,27459.25,37890.37,Yes
Primary,56863.75,Yes,202584.51,11025.93,No
Vocational,195223.37,No,228302.72,7395.47,Yes
College,103884.93,Yes,284222.65,18748.29,Yes
College,100645.99,No,380343.34,16254.22,Yes
Primary,64835.58,Yes,164778.53,36560.28,Yes
Vocational,170015.74,Yes,144874.26,35302.85,Yes
College,157073.39,No,489107.36,40423.27,Yes
Primary,39737.49,No,46979.82,3170.39,Yes
Primary,74502.90,Yes,129122.11,29376.50,Yes
College,188370.02,No,475438.98,37979.34,Yes
College,93231.63,No,420228.25,48507.05,No
College,183079.43,No,18895.70,17923.32,Yes
Vocational,37349.58,Yes,119039.07,44252.13,Yes
College,140159.60,No,59063.74,12977.04,Yes
College,70781.75,No,121011.35,17533.96,No
College,136091.64,Yes,475444.09,20646.99,Yes
College,106934.51,Yes,453603.21,44255.31,Yes
Vocational,31677.92,Yes,120163.98,21811.08,Yes
Primary,180310.75,Yes,462001.23,17280.29,Yes
Vocational,90085.33,No,371791.15,18422.59,No
Vocational,177511.77,No,306553.10,21589.66,Yes
Primary,55933.43,No,414898.24,36669.97,No
Vocational,80363.43,No,356301.20,12826.58,No
Vocational,31514.02,No,456242.09,36814.47,Yes
Primary,76385.94,No,427687.35,42247.66,No
Primary,124752.64,No,144973.95,48301.79,Yes
Vocational,148022.75,Yes,5153.93,38584.03,Yes
College,118153.10,Yes,18299.39,11627.38,Yes
Primary,38564.40,Yes,140065.38,21961.95,Yes
Vocational,94614.79,No,131309.61,43757.52,No
Vocational,189490.26,Yes,324550.04,15061.55,Yes
Vocational,192820.30,Yes,143182.55,1765.69,Yes
Primary,54696.25,Yes,172410.55,46424.53,Yes
Vocational,33860.77,Yes,265998.77,23974.66,No
Primary,110916.88,No,273734.47,44793.96,Yes
Vocational,124503.64,No,193172.23,27096.86,Yes
Vocational,132110.29,Yes,204632.40,36054.90,Yes
College,42329.84,No,9462.63,16040.57,Yes
College,166948.00,No,85573.11,25534.91,Yes
College,195007.71,No,194998.28,19276.90,No
College,199466.78,Yes,24539.34,10934.67,Yes
Primary,189002.18,No,147406.65,40754.54,No
College,53344.04,Yes,466388.50,20877.88,No
College,41171.97,Yes,263954.04,16357.24,No
Vocational,110759.41,No,162084.99,6964.10,Yes
College,110493.13,No,166141.00,8625.20,Yes
Primary,65339.74,No,147392.19,44333.73,No
Vocational,172901.56,Yes,495299.88,22002.34,Yes
Vocational,55997.19,No,188810.52,41040.16,No
Primary,186585.01,Yes,315113.97,4559.41,Yes
Primary,177084.26,Yes,344026.29,43198.91,Yes
College,171159.69,Yes,416323.08,4308.20,Yes
Primary,104268.08,Yes,63795.06,17244.66,Yes
College,57466.06,No,400008.69,8807.41,No
Primary,190905.23,No,386021.64,18375.95,Yes
Vocational,86800.20,No,333101.87,35414.55,No
Vocational,68013.65,Yes,368797.83,20541.03,No
Vocational,84304.87,Yes,119749.02,25675.36,Yes
Vocational,171770.19,No,471257.37,14382.89,Yes
College,136997.04,Yes,352521.62,39993.17,Yes
College,43905.84,Yes,1224.89,25626.92,Yes
College,62587.39,Yes,145583.58,49390.21,Yes
Primary,134660.96,Yes,203679.84,34752.43,Yes
Primary,116371.95,No,52552.83,14105.03,Yes
Vocational,55418.10,No,118168.82,36269.72,No
Vocational,35951.36,No,421259.85,27576.93,Yes
College,81669.98,No,47328.81,7105.12,No
Vocational,196044.25,Yes,386032.05,33097.41,Yes
Primary,142424.86,Yes,339048.87,48192.93,Yes
Primary,151151.35,Yes,31568.33,17665.13,Yes
Primary,108488.85,No,494532.19,33336.25,Yes
College,108448.45,Yes,65883.17,46098.34,Yes
College,170754.46,Yes,8.50,13925.46,Yes
College,186080.76,Yes,288371.03,5332.25,Yes
College,161716.67,No,360827.30,19810.20,Yes
College,53287.51,Yes,32603.92,30432.58,No
Primary,31610.03,No,126868.78,43246.48,No
Vocational,38311.77,Yes,321000.27,27230.66,No
Primary,48641.37,Yes,469765.25,11677.79,No
College,154243.14,No,309510.51,12712.68,Yes
Primary,72100.03,No,391204.26,6508.94,No
College,182548.41,Yes,164383.35,21967.32,Yes
Primary,68948.10,Yes,206674.29,24917.10,Yes
Vocational,71923.49,No,363146.38,5175.68,No
Primary,31075.07,No,344921.25,17170.89,Yes
College,88972.27,No,106241.40,14524.82,No
Vocational,178849.10,Yes,277931.52,9995.38,Yes
Vocational,123451.66,No,331731.55,5194.86,Yes
Vocational,123307.47,No,93150.14,21480.82,Yes
Primary,142155.58,Yes,358853.42,32433.21,Yes
Primary,170239.26,No,56923.89,45839.88,Yes
Vocational,53321.92,Yes,168057.05,8392.35,Yes
Vocational,172354.41,No,284294.88,49815.72,Yes
College,71230.73,No,138253.91,9589.16,No
Vocational,43497.42,No,39170.01,36828.12,No
College,185017.63,No,240788.43,7931.99,Yes
Vocational,33139.28,No,42230.00,38193.11,Yes
Primary,155853.32,No,321595.47,5412.85,Yes
Vocational,115608.61,Yes,454710.80,16737.22,Yes
Primary,98322.09,No,147531.02,47399.72,No
Vocational,40226.74,No,152602.60,5784.94,No
College,65356.23,No,90835.99,30783.11,Yes
College,54059.90,Yes,294432.62,6221.48,Yes
Vocational,169962.29,No,213283.32,39315.57,Yes
College,66515.08,Yes,358175.67,40867.22,Yes
Primary,113386.53,Yes,407265.60,22186.76,Yes
College,163100.68,No,326286.30,25309.66,Yes
Primary,125102.82,Yes,379068.92,46367.09,Yes
College,177022.67,Yes,321820.21,36929.48,Yes
Vocational,176767.82,Yes,119538.58,42316.65,Yes
Vocational,196761.50,No,274801.59,33336.60,Yes
Primary,193765.31,No,373344.75,33894.58,Yes
Primary,83232.65,Yes,290324.44,34610.55,Yes
College,182640.25,No,369051.38,15674.32,Yes
Vocational,144193.70,No,45993.99,48098.58,Yes
Vocational,190074.17,No,14020.56,34674.74,No
Primary,155231.44,No,385487.73,13524.99,Yes
College,35669.33,Yes,411954.03,17509.60,Yes
Vocational,78785.13,Yes,171724.44,41239.99,Yes
Primary,179462.39,No,466455.73,35133.17,Yes
Vocational,89280.69,No,8769.37,40153.21,No
Primary,99023.94,Yes,69646.80,7987.21,Yes
Primary,107912.75,No,128012.68,47170.84,Yes
Primary,32748.28,Yes,294110.89,46812.05,Yes
College,48479.03,No,454804.21,31369.14,No
College,33490.09,No,248846.05,17861.38,No
College,153408.08,No,232042.87,18232.39,Yes
Primary,127646.26,Yes,137296.20,24640.11,Yes
Primary,192439.07,Yes,392943.88,37585.36,Yes
College,138779.30,No,484712.59,10983.14,Yes
Primary,83742.47,Yes,555.23,7608.08,Yes
College,51139.78,No,413822.19,22587.67,No
Vocational,193678.18,No,278102.28,8561.96,Yes
College,130726.38,Yes,107940.95,44461.16,Yes
Primary,101007.04,No,158640.62,27311.07,Yes
Vocational,138146.68,No,183541.27,48580.05,Yes
Vocational,55774.38,Yes,114775.74,16645.68,Yes
College,139797.21,No,485388.80,45531.69,Yes
Vocational,128491.27,Yes,125598.60,14442.07,Yes
Primary,80120.91,No,314271.75,29426.21,No
College,163080.49,No,77500.52,35296.31,Yes
Vocational,88897.15,No,110831.83,34261.83,No
College,70444.77,No,234345.24,15225.45,No
Primary,35762.83,Yes,481254.64,44901.57,Yes
College,47054.72,Yes,479763.32,37791.91,Yes
Vocational,64518.49,Yes,251417.19,9143.73,Yes
Primary,197545.85,Yes,463092.58,22768.57,Yes
Vocational,32774.97,No,468203.50,41063.89,Yes
Vocational,31838.88,Yes,42143.66,9547.39,Yes
Vocational,71919.24,No,10188.93,18685.81,No
Primary,165456.57,Yes,84875.75,37898.91,Yes
Primary,88659.82,No,93940.38,25409.17,Yes
Primary,177793.08,No,338862.17,35194.78,Yes
Primary,124600.65,No,311701.58,39247.70,Yes
Vocational,106901.72,No,430481.67,13465.05,Yes
Primary,124001.50,Yes,462938.93,6495.00,Yes
Primary,110237.58,No,280109.79,7099.95,Yes
College,54644.23,No,98517.70,33197.94,Yes
College,70856.71,No,27822.02,3907.80,No
College,172210.75,No,53051.08,34739.94,Yes
College,183498.53,No,350027.72,48143.86,Yes
Vocational,50528.09,Yes,341526.50,33004.33,No
College,70756.64,No,82433.68,5559.40,Yes
Primary,88553.71,No,306490.43,44933.46,No
Primary,117248.76,Yes,419641.93,19684.80,Yes
College,196297.88,Yes,55106.09,20072.77,Yes
Primary,38447.20,No,274320.61,31449.29,No
Primary,191843.99,No,327147.46,31365.70,Yes
Primary,130479.68,No,265857.62,15587.35,Yes
College,31793.62,Yes,450315.15,27953.69,Yes
College,113068.87,No,336745.51,24512.08,Yes
Primary,179429.61,No,417557.11,23341.70,Yes
Vocational,131935.58,Yes,487696.55,32940.87,Yes
Primary,160119.54,Yes,260318.71,8582.10,Yes
College,124673.19,Yes,15429.31,28252.78,Yes
Primary,131466.95,No,36478.77,17899.68,Yes
Vocational,94364.43,Yes,332441.15,22109.59,No
Primary,63353.78,Yes,403111.81,49986.75,Yes
Vocational,183041.51,No,208006.11,15340.87,Yes
College,129293.46,Yes,121154.31,16105.59,Yes
Primary,34238.50,Yes,411024.32,41797.89,Yes
Vocational,170315.38,Yes,51945.24,43404.43,Yes
Vocational,130693.62,No,203896.05,1381.50,Yes
College,53690.54,No,151788.10,44267.86,No
Vocational,47441.55,Yes,438223.18,7001.93,Yes
Vocational,174467.07,Yes,434926.40,21175.46,Yes
Vocational,74502.27,No,147288.08,35031.56,No
Vocational,40258.97,No,368084.85,2581.84,No
Primary,50359.23,No,61199.43,38079.27,Yes
Primary,69769.25,Yes,238959.46,7643.58,Yes
Primary,174079.21,No,329286.26,21811.74,Yes
Primary,139686.68,Yes,240445.96,37985.89,Yes
Vocational,124737.95,No,39706.21,1762.29,Yes
Vocational,168259.58,Yes,416240.06,42960.15,Yes
College,38976.80,Yes,349316.53,2677.97,No
Primary,101571.30,No,247473.95,32461.37,Yes
Primary,156520.75,Yes,272839.62,24714.67,Yes
Vocational,67699.19,Yes,445468.36,5393.55,Yes
College,124187.29,No,387728.63,28085.33,Yes
Vocational,142629.08,Yes,387553.59,31929.96,Yes
College,174928.94,Yes,405393.48,11504.86,Yes
Vocational,181612.90,No,184928.55,30197.08,Yes
Primary,77489.02,Yes,55390.85,18838.32,No
Primary,80717.32,No,151271.62,40590.93,No
Vocational,191297.57,Yes,152897.52,30521.05,Yes
Vocational,136781.26,No,411069.15,22365.89,Yes
Primary,102512.96,No,494175.97,38459.92,Yes
College,190595.95,Yes,378888.75,41334.22,Yes
Vocational,90673.57,No,8462.70,28242.66,No
Primary,156819.36,No,347255.80,16512.52,Yes
College,102776.47,Yes,81571.96,28603.83,Yes
Primary,169228.18,No,4275.64,41459.51,Yes
College,52898.34,No,223260.45,6708.55,No
Primary,161782.96,No,335909.34,46294.59,Yes
Primary,144444.93,Yes,160451.28,25810.60,Yes
Vocational,156489.14,Yes,250719.97,4143.13,Yes
Primary,101522.63,No,345240.24,14740.90,Yes
Primary,81390.41,No,488310.48,47926.90,No
Primary,93903.20,No,494480.86,31623.26,No
College,67154.53,No,146158.03,21936.20,No
Primary,44759.45,Yes,230827.70,32608.38,Yes
College,167365.43,No,274468.23,42996.11,Yes
Vocational,152762.01,Yes,323913.82,6164.74,Yes
Primary,136846.57,Yes,116992.04,43204.34,Yes
Vocational,143135.36,Yes,48234.55,12385.18,Yes
College,141985.64,No,429607.80,15799.27,Yes
College,138659.22,No,62663.51,26074.13,Yes
Primary,59805.66,Yes,236013.96,15678.31,No
Primary,192196.33,No,450064.51,27583.05,Yes
College,80545.33,No,346680.01,12526.57,No
Vocational,185799.39,Yes,350661.28,42908.72,Yes
Vocational,31253.43,No,229495.74,20690.50,No
Primary,32246.48,Yes,471296.11,2253.01,Yes
Vocational,142701.08,Yes,79268.61,16887.48,Yes
Vocational,39330.07,No,242416.26,44609.74,No
Primary,170064.69,No,480729.75,12.80,Yes
Vocational,123246.97,No,497672.43,16199.10,Yes
Vocational,59675.04,No,251745.47,11366.69,No
Vocational,193540.94,No,394708.38,28248.51,Yes
Vocational,141902.29,No,308362.30,11240.98,Yes
College,43666.38,Yes,120869.12,20751.73,Yes
Vocational,183777.01,No,485528.04,46687.81,Yes
Vocational,83479.39,No,254332.87,25422.89,No
Vocational,140576.77,Yes,429613.37,7980.11,Yes
Primary,86477.80,No,459253.33,644.05,No
Vocational,39588.47,No,75088.48,39564.34,Yes
Vocational,117822.64,Yes,74225.00,29531.19,Yes
Primary,151873.22,Yes,411754.99,42484.87,Yes
College,58286.58,No,303909.38,11424.88,No
Primary,94166.53,No,124952.77,34260.03,No
Vocational,120926.78,No,136461.23,40996.06,Yes
Primary,65174.66,No,21235.28,32877.30,No
College,165536.92,No,323115.82,47080.27,Yes
Vocational,48958.70,No,209484.56,24685.44,No
Primary,157201.20,No,337427.61,22868.24,Yes
College,116057.15,Yes,139929.81,47188.59,Yes
Vocational,152196.78,Yes,482363.48,20471.31,Yes
Vocational,86273.20,No,43728.68,17231.67,No
College,90369.97,Yes,484934.26,13381.93,No
Vocational,50924.23,No,269541.82,48332.67,No
Vocational,83451.86,Yes,165902.44,4444.20,Yes
Primary,91955.11,No,181635.61,23286.25,No
Vocational,96174.97,Yes,106048.30,18587.85,Yes
Primary,112906.46,Yes,403825.26,21311.94,Yes
College,152988.85,No,70855.76,32440.00,Yes
Primary,148044.68,Yes,455849.20,38956.93,Yes
Primary,83509.30,Yes,374758.00,34573.12,No
Primary,149124.55,Yes,182980.72,13058.42,Yes
College,156335.35,No,484817.07,16893.13,Yes
Primary,43387.15,Yes,432724.57,39915.76,No
Vocational,142621.76,No,457015.91,5288.26,Yes
Vocational,174435.31,Yes,326577.26,25720.79,Yes
Primary,120032.08,Yes,126233.28,9884.48,Yes
Primary,31447.71,No,498350.05,38226.51,Yes
College,177685.42,No,242557.85,47343.57,Yes
Vocational,61229.39,Yes,356334.90,14905.18,No
Primary,122525.01,No,262129.58,45280.72,Yes
Vocational,110091.79,No,79223.26,32003.54,Yes
Vocational,145293.59,No,105063.16,48067.40,No
College,193030.32,No,316681.96,20824.47,Yes
College,143559.34,Yes,198084.27,31835.88,Yes
Vocational,42907.26,No,306432.49,14886.86,No
Vocational,57195.75,No,146679.69,621.59,No
College,107023.68,Yes,417532.79,1670.64,Yes
College,157786.20,No,192831.40,10664.10,Yes
Primary,129263.02,Yes,104738.45,18958.33,Yes
Vocational,71466.16,No,288252.06,16293.83,No
Vocational,32359.09,No,157230.12,48178.57,No
Vocational,95724.80,Yes,158483.05,32349.59,Yes
Primary,170378.23,No,90571.00,19075.86,Yes
College,55283.38,No,102754.28,28159.80,No
College,32256.47,No,64304.59,10615.57,Yes
College,65994.55,Yes,68311.65,3946.90,Yes
College,57521.43,Yes,450999.61,14939.72,No
College,141290.93,Yes,389574.62,38602.65,Yes
College,67383.24,No,271764.10,20710.75,No
Vocational,87634.01,No,92315.11,9514.81,Yes
Primary,157994.36,Yes,131395.56,5242.12,Yes
Primary,165534.08,No,62189.11,34463.61,Yes
College,44632.20,Yes,270774.41,47518.02,Yes
Vocational,55791.68,Yes,136945.19,7957.67,Yes
Vocational,182722.53,Yes,236059.48,3319.13,Yes
Primary,109411.04,Yes,51640.93,40445.54,Yes
College,70684.01,No,70120.21,39859.30,No
Vocational,99665.80,No,106225.12,42434.67,No
Vocational,183222.19,Yes,118285.34,21914.14,Yes
College,49659.20,No,144136.23,17061.10,No
Primary,57968.13,No,12713.19,12673.92,No
Primary,114586.65,Yes,391546.66,4820.33,Yes
Vocational,126010.00,No,406431.95,38346.75,Yes
College,67924.02,Yes,233074.85,28530.33,Yes
Primary,99720.97,Yes,178196.79,31471.07,Yes
Vocational,104496.20,No,446659.05,39843.21,Yes
Primary,106798.95,Yes,260628.39,9805.58,Yes
College,174857.89,No,203731.78,38003.52,Yes
Primary,170535.91,No,262816.41,23765.33,Yes
Primary,170773.02,Yes,162090.69,17690.47,Yes
Vocational,181198.61,No,443524.42,32153.90,Yes
Vocational,196495.06,No,173670.59,44707.40,No
Vocational,42706.93,No,95490.45,29034.15,Yes
College,181741.05,Yes,161786.97,12770.24,No
College,99847.31,Yes,203147.18,14363.71,No
College,58977.43,Yes,368814.76,34984.04,No
College,175182.62,Yes,455443.09,23922.93,Yes
College,108273.37,Yes,177992.30,47835.44,Yes
Vocational,80175.67,Yes,73919.08,49213.64,No
Primary,174182.90,No,113885.90,27362.11,No
Vocational,41319.25,Yes,305483.67,18748.39,No
Primary,73986.07,No,76311.50,40801.00,Yes
Vocational,71663.56,Yes,78684.53,15759.53,Yes
Vocational,173390.36,Yes,489256.83,20609.50,Yes
Vocational,100234.05,No,154947.46,25556.39,Yes
Vocational,95203.43,No,120208.53,48830.49,No
Vocational,41292.68,Yes,197751.12,24949.09,Yes
Vocational,183859.27,No,438307.45,27925.85,Yes
Vocational,46775.72,Yes,191314.23,149.60,No
Vocational,198059.67,Yes,211903.68,38724.00,Yes
Primary,135198.81,No,20795.78,37740.83,Yes
College,136324.91,Yes,401668.99,1415.69,Yes
College,122113.44,Yes,443212.94,11009.40,Yes
College,130511.68,No,307366.71,4510.08,Yes
Vocational,53391.12,Yes,489547.94,10475.22,No
Primary,81020.70,No,2773.09,21587.74,No
Vocational,44261.52,Yes,104108.58,29937.75,Yes
College,39340.48,No,330554.38,44954.94,No
Primary,105610.92,No,74821.56,8563.40,Yes
Primary,42522.03,No,495991.49,38634.73,Yes
Primary,175060.83,Yes,405495.55,25940.94,Yes
College,91198.91,Yes,122704.45,30667.02,Yes
Vocational,40667.02,Yes,119518.37,40597.58,Yes
Primary,95569.87,No,376363.94,17196.40,No
Vocational,85970.28,Yes,99403.23,44098.67,Yes
Vocational,127204.64,Yes,488393.39,24547.65,Yes
College,110183.74,No,241824.25,26580.96,Yes
Vocational,148206.14,No,276314.36,19921.29,Yes
Vocational,160190.11,Yes,155472.03,13118.15,No
College,188070.00,Yes,159924.73,27277.50,Yes
College,193762.53,No,400971.29,2306.07,Yes
Vocational,33067.94,Yes,275538.49,12746.34,No
Vocational,53735.81,No,160912.39,38515.84,No
Primary,139503.37,Yes,169743.89,28682.14,Yes
Vocational,96004.43,No,454974.19,25757.78,No
Vocational,164327.46,No,306468.30,47420.42,Yes
Vocational,109943.34,Yes,105178.31,8188.26,Yes
Vocational,84866.81,Yes,410907.91,24915.41,No
Primary,41420.62,No,315632.30,19598.08,No
Primary,157136.86,Yes,225110.58,39849.06,Yes
College,67936.33,Yes,8170.99,33093.17,Yes
College,162230.11,No,255946.91,26136.45,Yes
Vocational,176013.90,No,155954.81,24643.28,No
Vocational,53288.52,Yes,222165.36,14360.85,No
Primary,186736.91,Yes,257986.19,44625.56,Yes
Primary,185605.31,No,384913.60,11609.72,Yes
Vocational,80755.07,No,436216.68,49529.71,No
Vocational,100072.53,No,161210.51,5980.19,Yes
Primary,156821.31,No,216850.31,39583.37,Yes
College,127288.86,No,316811.20,15622.65,Yes
Primary,187933.74,Yes,131907.27,25493.58,Yes
College,42810.79,Yes,495607.25,47178.25,Yes
College,119942.64,Yes,371278.18,41000.75,Yes
College,197322.34,No,232994.04,12094.42,Yes
Vocational,46972.50,No,306864.76,45935.20,No
Vocational,125719.42,No,347697.19,49238.18,Yes
Primary,76147.97,No,279041.61,13852.80,No
Primary,98551.72,Yes,229483.09,26581.96,Yes
Vocational,51177.94,Yes,193845.46,20517.40,Yes
Primary,93959.20,Yes,13558.75,9449.24,Yes
Primary,95351.16,No,218694.75,14277.28,No
College,161832.69,No,139057.11,20449.43,No
Primary,101109.63,Yes,159601.76,8579.01,Yes
College,130312.82,No,109759.65,31473.51,No
College,53563.73,No,432489.22,39772.81,No
Vocational,115144.98,No,453540.18,22539.59,Yes
Vocational,93331.67,Yes,474343.48,18729.01,No
College,183796.28,Yes,433275.11,2232.25,Yes
College,126908.77,Yes,383642.28,77.43,Yes
Vocational,181078.49,No,93758.35,1936.83,Yes
Vocational,76887.16,No,20077.14,10378.19,No
Vocational,56592.64,No,397444.91,41430.71,No
Primary,37765.47,Yes,326321.48,16658.82,No
College,191335.63,Yes,409054.53,6255.82,Yes
Vocational,47903.52,No,173551.36,17313.58,No
College,52984.34,Yes,496607.53,6966.63,Yes
Primary,175526.77,No,98987.70,28232.85,Yes
College,114432.49,No,100770.35,42272.88,No
