GroomMB,BrideMB,GroomInc,BrideInc,Outcome
ISTJ,ENTP,33452.44,82215.27,Failure
ENTJ,INFP,86836.52,78361.33,Success
ISFP,ESTJ,33669.56,43209.9,Success
ENTJ,ESTJ,70413.02,70376.3,Failure
INTJ,INTP,36489.03,71041.55,Success
ESTP,ESFJ,60716.26,72773.71,Success
ISTJ,ESTJ,98234.18,47984.85,Success
ISTP,INFP,91557.56,74429.19,Failure
ISFJ,ESFJ,87849.06,72092.36,Success
ESTP,ENFJ,72150.7,83207.28,Success
ENTJ,ISTJ,75887.96,46436.77,Failure
ENFP,ENTJ,89655.75,40196.26,Failure
ESTP,ISTJ,82444.01,72359.88,Success
ESTP,INTP,95399.55,34247.65,Failure
ENFP,ISFJ,72407.68,82015.1,Success
ENFJ,ISFJ,87088.77,58649.3,Failure
ESTP,ESTJ,69886.48,39764.08,Success
ENFP,ENTJ,54037.29,91038.63,Success
ESTP,INTP,73695.79,48668.77,Failure
ISTP,ESTP,90165.21,39216.31,Failure
INTJ,INFJ,59756.02,98026.39,Failure
ISTP,ENTJ,39627.36,89445.63,Failure
ENFJ,ESFJ,32434.92,47144.72,Success
ENFJ,ISTJ,53324.35,78536.1,Failure
ISFJ,ENTP,98113.95,75736.69,Success
ENFP,INTJ,50298.39,35384.25,Failure
ENFP,ENFP,69772.29,96227.12,Failure
ISTP,ISFP,93335.14,75621.35,Success
INFJ,INFJ,38971.94,47281.02,Success
ENFJ,ENTJ,48522.85,96247.74,Success
ISTJ,INTJ,67477.17,99813.41,Success
ESTJ,INFJ,37114.47,46310.59,Success
ESFJ,ENTJ,31740.32,60245.96,Failure
INFJ,INFJ,75575.84,99572.4,Success
ESTJ,ESTP,57944.36,46277.55,Failure
ISFJ,ISFP,53999.39,30224.42,Success
ESFJ,ESTJ,41852.44,76084.55,Failure
ISTP,INFP,94335.77,66872.36,Failure
ENTP,ESFP,55053.98,35999.54,Success
INTJ,ISFP,64984.38,66465.9,Failure
ISTJ,ISFJ,83958.26,47104.32,Failure
INTP,ENTJ,78494.72,85260.14,Success
ENTJ,ESTP,60175.19,56809.34,Failure
ESFJ,INTJ,71642.39,89692.74,Failure
ENFJ,ESTP,31918.31,67694.31,Failure
ISFP,ISFP,54073.7,31536.2,Failure
ENFP,ISFJ,39624.34,92455.94,Success
ENFP,INTJ,94190.61,51064.23,Failure
ENFP,INFP,38921.25,84481.99,Success
INTP,ISFJ,33449.95,49547.98,Failure
INTJ,ISFJ,77666.59,48985.1,Success
INFJ,ESFP,90424.84,51506.89,Failure
ESFP,ISFP,59721.79,78126.44,Success
ENFP,ISFP,94023.42,73482.64,Failure
ISTJ,ISFP,95463.99,53394.08,Failure
ESTP,ESFJ,30506.61,72056.19,Success
ENTJ,ENFJ,42993.42,39318.42,Failure
ISTJ,ESTJ,45347.42,69495.05,Success
ISFJ,INFJ,37327.93,73653.66,Failure
ENTP,ISTJ,94716.92,76230.12,Success
ENFP,ISFP,38271.8,84497.98,Success
INTJ,ISFJ,59244.15,86741.11,Success
ESTJ,INTJ,74984.07,52026.27,Success
INTP,INFP,48310.6,80331.97,Failure
ESFP,ISTJ,96083.29,90008.32,Failure
ENFP,ENTP,40964.07,86903.26,Failure
ENFJ,ISTP,53501.49,49516.65,Failure
ISFP,INFJ,36414.79,53546.38,Success
ISFP,ESFJ,68050.85,71186.91,Failure
ENFP,INTP,49445.11,43885.21,Success
INFP,ISFP,84936.19,63264.39,Success
INFJ,ENTP,98227.02,72607.84,Success
ISTP,ENFJ,73313.5,57208.03,Failure
ISTP,INTP,67028.38,45286.92,Failure
ENTJ,ESFP,93909,69333.2,Success
ISTJ,ENTJ,95193.04,66739.23,Failure
ESFP,INTP,67869.3,74756.38,Failure
ENFJ,ENTJ,95298.57,77805.21,Success
ENTP,ENTP,73359.68,76068.86,Failure
ISTP,ISFJ,59351.94,82444.98,Failure
ENTP,ESTJ,64763.74,30350.31,Failure
ISTP,ISFJ,81187.91,72671.28,Success
ESTP,INTJ,33331.77,70063.27,Failure
ESFP,ENFJ,97370.7,74364.84,Failure
ESFJ,INFJ,45773.55,40153.26,Failure
ESTP,ISFP,63234.92,75554.53,Success
INTP,INFP,38354.37,39277.19,Failure
ESFJ,ESFJ,87886.73,41386.73,Success
ESTP,ESTP,87369.06,56324.1,Success
INFJ,INTJ,65675.18,44746.77,Success
ESTP,ISTJ,61486.68,89118.57,Failure
ISFJ,ISFP,53871.21,58992.25,Failure
INTJ,ENFP,73631.12,95758.48,Failure
ESTP,ESFJ,55849.55,93878.61,Failure
ESTP,ESFJ,76807.85,37081.89,Failure
ESFP,ESFP,41871.01,37901.46,Failure
INTP,INFP,80051.06,62851.36,Failure
ESTJ,INTP,61891.39,54946.08,Success
INFP,ISTP,81730.71,84464.38,Success
ISFP,ENTP,98202.45,84950.04,Failure
INTJ,ESTP,73411.82,52958.58,Failure
ENFP,INTP,55045.6,73737.43,Failure
INTP,ISTP,89298.02,75017.93,Success
INTP,ENTJ,56054.01,77365.36,Success
ISTJ,ESTJ,59415.75,59900.67,Success
INFP,ISTP,85362.02,95927.41,Failure
INTJ,INTP,54422.79,77252.18,Success
INTP,ENTJ,32933.84,94319.66,Failure
ISTP,ESFP,52913.98,62313.9,Success
ISFP,ESFJ,67641.01,42186.42,Success
ISTP,ENFP,51407.44,74090.83,Failure
ISTP,ESTJ,63195.39,60469.04,Failure
INFJ,INFJ,64571.4,31639.93,Success
INTJ,ESFJ,51090.65,40341.98,Failure
ESTP,ISTJ,78179.72,38813.93,Failure
ESTJ,INFP,33910.15,31767.63,Success
ESTJ,ENFJ,65995.82,86206.1,Failure
INTP,ENFP,47348.51,48053.65,Failure
ESFJ,ESTP,66535.56,83884.05,Success
ESFJ,ENTJ,39418.87,59446.97,Success
ENFJ,ENFJ,99478.29,88927.9,Success
ISTJ,INFJ,86859.98,69560.83,Failure
ENTP,ESTP,71706.63,83688.12,Success
ESTP,ENFJ,38775.77,42209.58,Failure
ESFP,INFP,32102.9,76381.79,Failure
ISTJ,ENTP,40609.03,86038.42,Failure
ISFJ,ISTP,64880.66,33389.03,Failure
ENTJ,INFP,34969.07,71073.66,Success
ESTP,ISTJ,59832.92,78969.75,Success
ENTJ,ESFJ,50972.69,55212.39,Success
ENTP,ISTP,89045.4,45975.34,Failure
ESFP,ENTP,87496.54,61151.95,Failure
INFJ,INTJ,49159.21,43861.79,Failure
ISFP,ESFJ,60984.45,92502.09,Failure
ESFJ,ENFP,53382.98,88766.44,Success
ENTJ,INFJ,35671.81,39650.19,Success
ISFJ,INTP,72162.88,48716.73,Success
ISFJ,INFJ,89921.53,41597.08,Failure
ESTP,INFJ,45657.28,47812.74,Success
ESTJ,ISFP,50619.59,91766.67,Failure
INTJ,ESTP,94543.19,51311.75,Failure
INTJ,INTJ,33596.65,68321.85,Success
INTP,ISFP,39244.93,74258.3,Success
ESTP,ENFJ,96154.31,75429.67,Failure
ENFJ,ENFJ,64732.66,82633.38,Failure
ENTP,ESTP,56355.38,63269.64,Success
ENTJ,ENFJ,62755.7,68245.69,Success
ESTJ,ISFP,70530.06,44733.44,Success
ISFP,ISTP,96775.1,75819.25,Success
ISTJ,ENFP,61829.17,65709.94,Failure
ISFJ,INTP,34191.07,70383.36,Failure
ISFJ,ESFJ,36667.2,83670.02,Failure
ENTP,INFP,44539.21,53350.5,Failure
ESFP,ESTP,90698.8,69692.48,Failure
ESFP,ENFJ,53243.72,97013.57,Failure
INTJ,ENFP,85425.05,51034.19,Failure
INTJ,INTJ,89428.51,49167.04,Failure
ESFP,ISTP,92166.17,72152.33,Failure
ISFJ,ISFP,84290.64,61864.6,Success
ENTP,ENFP,45884.59,98290.36,Success
INFJ,ESFP,96684.42,90814.51,Failure
ENTP,INTP,31416.27,63193.55,Success
ESFP,ESFJ,77444.18,71003.36,Failure
ISTP,INFP,38458.94,84471.68,Success
ISTJ,ESFJ,48315.29,97608.29,Failure
ESTP,ESTJ,34036.15,57042.79,Success
ENTP,INFJ,31571.77,58594.22,Success
ISFJ,ISFJ,49842.81,39255,Success
ESFJ,INFJ,90891.52,67521.65,Success
ISFP,ISFJ,41588.91,85067.05,Success
ESFP,ENFJ,34215.77,32001.28,Failure
ISFP,ISTP,53775.98,73176.32,Success
ESTJ,ENTJ,93988.59,63039.22,Success
INTJ,INFP,33661.38,74972.75,Success
ENFP,ENFJ,94080.25,96682.45,Success
INTP,ISFJ,80381.61,87880.64,Success
ESFP,ISFJ,43998.71,52553.49,Success
ENFJ,ISFJ,65983.38,51963.94,Success
ISTJ,ENFJ,70638.73,86877.59,Failure
INFP,ENTP,71759.83,90061.95,Success
ENTJ,ENFJ,51083.33,56920.83,Success
ENFP,ESFP,32094.44,96779.36,Success
ESTP,INFJ,56478.67,64675.91,Success
ENFJ,ESFP,93972.33,79242.85,Success
INTP,ENFJ,84538.43,66007.02,Success
ENTP,ESTJ,87986.34,48896.7,Failure
INFJ,ISTJ,96241.05,98064,Success
ESTP,ESFP,64621.2,30978.94,Failure
ESTJ,ENFP,39803.35,84704.68,Success
INTJ,ESFP,49048.05,76121.5,Failure
ISTP,INFP,87596.79,99834.46,Success
ESFJ,ENTJ,88212.55,67151.93,Success
ESFJ,ENTP,50177.89,90616.85,Failure
ISTJ,ISTJ,80407.79,98294.22,Failure
ISTJ,ENTJ,43104.37,96515.68,Success
INFJ,INFP,68192.38,79424.31,Success
ISFJ,INFP,86249.48,50593.97,Success
INFJ,INFP,43224.46,33529.53,Failure
ENTP,INFP,81105.94,79445.72,Success
INTP,ISFP,93071.38,56949.66,Success
ENTP,ESTP,63400.16,71608.27,Failure
ESFP,ISFP,38723.54,43431.98,Failure
ENFJ,ISFJ,31223.03,91451.71,Failure
ESTP,ENFJ,59731.76,62781.01,Failure
INFJ,INTP,74569.31,71394.17,Failure
ISFJ,ISFP,74252.35,30710.88,Success
ISTP,ENTJ,53887.57,82031.23,Failure
ISTP,ESTP,86732.17,83085.67,Failure
ISFJ,INTJ,44636.91,80039,Failure
ISFP,INTP,91274.28,70237.49,Failure
ENFJ,INFJ,42734.43,38487.63,Success
ENTJ,ESTP,67157.87,65557.21,Success
INTJ,INTP,54133.57,64079.96,Success
ISTJ,ESTP,32967.48,44352.81,Success
ESFJ,ENTJ,44706.78,33173.08,Success
ISTJ,ESFJ,71310.69,35116.68,Success
ESTJ,ENFP,73255.66,40393.65,Failure
ESTP,ENTJ,96388.99,42756.14,Success
ENFJ,ESFP,70785.16,32739.86,Success
ENTP,INTP,59300.01,85428.53,Failure
ISTP,ISFP,83838.21,46653.47,Failure
ESTP,ESTP,99410.58,73230.95,Failure
INFP,ISFJ,31615.6,44214.1,Failure
INTJ,INTJ,73855.14,64957.18,Success
INTJ,ISFJ,82217.14,91519.19,Success
ESTP,ESTP,90305.3,57048.78,Failure
ESFJ,ISFP,34397.05,61144.67,Failure
ESTP,INFJ,84350.13,85953.23,Success
ISFJ,INFP,38422.23,51683.29,Failure
ESTP,ESTP,40770.34,95258.26,Success
ISTJ,ENTJ,45475.69,61413.16,Success
INTJ,ISTJ,99241.84,51646.79,Success
ENTJ,ESTP,61725.46,36927.37,Failure
ESTP,ENTP,95607.7,74653.76,Failure
ESTJ,INTJ,98186.23,48479.21,Failure
ESFJ,ENTP,30949.39,31173.62,Success
ENTP,ISFJ,77973.68,48008.49,Failure
ISTJ,ISFJ,62209.18,90418.03,Success
INTJ,ENTP,66997.34,55105.32,Success
ENTP,ISTJ,40906.32,38127.45,Success
ENTJ,ENTJ,98112.72,76312.87,Failure
ESTP,ENTJ,91884.16,66865.07,Success
ENTJ,ESFP,60535.3,47923.14,Failure
ESFP,INTJ,87369.34,35123.78,Success
INFJ,ISTJ,99911.02,85251.43,Success
INTP,ENFP,35724.13,81256.36,Success
INTP,ESTP,63373.78,68045.1,Failure
ISFP,ISFJ,72925.74,45684.52,Success
INTP,ISFJ,41798.32,75647.64,Success
ENFP,ESTJ,35499.32,75138.18,Success
INFJ,ENTP,46169.72,89717.56,Failure
ISTP,ENFP,66680.25,54571.94,Failure
ENTP,ENTJ,50317.32,79336.2,Success
ISTJ,ENTJ,85126.32,63683.45,Success
ENFJ,INTP,36419.49,91930.47,Failure
ESFJ,ISTJ,49820.81,53770.91,Failure
ESTP,ESFP,81990.22,88718.95,Success
ENFJ,INTP,67810.17,40999.67,Success
ENTJ,ESFJ,78495.68,56965.61,Success
INFP,ISTJ,95828.87,98583.2,Success
ESTJ,ESFP,42959.64,65034.2,Failure
ENTJ,ENFJ,34441.28,51174.96,Failure
ISFP,ISFJ,52996.76,33981.25,Success
ISFJ,ENTP,99390.98,39772.68,Success
ISFJ,ISFJ,94364.74,87542.8,Success
INFP,ENFJ,30513.3,49638.18,Success
ENTJ,ENTJ,90897.11,53041.19,Success
INTJ,INFP,35001.94,39487.06,Success
ESFP,INTP,72699.5,61318.23,Failure
INFJ,ENTP,95542.67,61773.45,Failure
ENTJ,INTP,35778.48,65169.53,Failure
ISFP,ENTP,40169.84,49433.7,Failure
ESTJ,ISFJ,70202.57,90569.09,Failure
ISFP,INTJ,34268.72,95807.58,Failure
ISTP,ENTJ,69673.36,54934.48,Success
INTP,ISTP,71805.96,41660.93,Failure
ESFJ,INTJ,56186.23,85941.81,Success
ESTP,ISFP,36941.64,59161.67,Success
ISTJ,ESFP,65804.41,77583.97,Failure
ISTJ,ESTJ,74175.74,85966.85,Success
ENFJ,INFJ,30694.31,82951.23,Failure
ISTJ,INTP,39554.97,52816,Success
INFJ,ESTP,45864.49,56791.26,Failure
ENFP,ENTJ,59176.6,31886.11,Success
ISTP,ISTP,78005.14,55292.67,Failure
INFP,ESTP,87687.54,34763.32,Success
ISTP,ENFJ,49966.84,61571.83,Success
INTJ,ENTP,85364.75,87328.74,Success
ESFP,ISTJ,45163.79,52669.54,Failure
ESTP,ESTP,53642.3,92928.5,Failure
ISFJ,ISFP,37887.65,60730.38,Failure
ENTP,ESFP,84366.02,57232.82,Failure
INFJ,ISTP,44888.34,69769.86,Success
ESFP,INTJ,43596.56,62388.87,Failure
ENTP,INFP,60052.69,85319.66,Success
ESFJ,INTP,40619.23,37061.03,Failure
ESFJ,INFP,44063.44,82993.18,Failure
ENFP,ESTP,57113.06,83401.35,Failure
ESFP,ENFJ,53887.53,93675.68,Failure
ISFP,ENFJ,91731.85,90294.65,Failure
ENFJ,ENFP,88056.06,80080.19,Failure
ENFP,INFJ,59028.33,50398.65,Failure
INTJ,ESFJ,64978.58,94461.11,Failure
ESTP,INTP,98466.25,57322.95,Failure
ESFJ,INTJ,66807.88,74022.43,Failure
INFJ,INTP,97414.41,44587.55,Failure
ISTJ,INFP,68751.85,39621.78,Failure
ISFJ,INTJ,64573.69,65677.84,Success
ENTP,ENFP,75611.02,64598.11,Failure
ESFP,ISFP,42509.72,77921.97,Success
ESFP,INTJ,49474.4,36187.04,Success
ISFJ,ENFJ,99378.02,58930.9,Success
ISFJ,ENFJ,70255.51,38359.26,Failure
ISFJ,ISFP,67523.25,64621.92,Success
INTJ,ENFJ,85889.02,36149.89,Failure
INFJ,ENTP,50390.29,43240.59,Success
ISTJ,ESTJ,75431.95,87669.39,Success
ENTJ,ESTP,66467.01,59697.64,Success
ESTP,INTJ,67072.44,78559.61,Success
ENFP,INFP,79548.37,85550.83,Failure
INTP,ESTP,37145.81,30493.21,Success
ENTP,INTP,73205.7,98975.59,Failure
ISTJ,INFJ,85514.23,59092.86,Success
ENTP,ENTJ,89399.07,53934.21,Failure
INFP,ISFJ,59645.16,79264.82,Failure
ISTP,ENFJ,57527.38,72876.24,Success
INFJ,ESTP,70338.89,41996.18,Success
ISFP,ESTJ,86405.52,50335.31,Failure
ESTP,ISTJ,80447.95,47470.55,Success
ISTP,ISFJ,55381.89,73092.57,Success
ENFJ,ENTP,99651.76,69919.36,Success
ISFJ,ESFJ,85830.8,74713.92,Success
ESTJ,INTP,37475.35,42823.97,Success
ESTP,ENTP,43417.62,82905.52,Success
INTP,ISTJ,55519.63,76489.36,Failure
ESTP,INTJ,66378.65,75491.87,Success
INTP,ENFP,69683.62,62562.7,Failure
ISTJ,ENTP,50373.16,81063.66,Failure
ENTP,INTJ,51161.85,92336.86,Failure
INTP,ESTJ,84245.01,91893.1,Failure
INFP,ESFJ,63000.47,54466.46,Success
ENFJ,ISFJ,81105.42,83065.18,Failure
INFJ,ENFJ,59902.68,32394.99,Success
ESFP,ENFP,65881.8,47020.77,Success
ESTP,ENFJ,80305.08,47253.84,Failure
ISTJ,ISTJ,64603.73,38282.59,Success
ESFP,ESTJ,60375.62,74584.39,Success
ENTP,INTJ,44760.39,55337.2,Failure
ISFP,ESTJ,83820.65,66821.81,Success
ISTP,ESTP,81887.55,57253.51,Failure
ESTJ,INFJ,97891.33,74337.96,Failure
ISFJ,ENFJ,38334.5,42468.39,Success
ENFJ,ISFP,50089.14,71206.55,Success
ENFP,ENTP,86266.21,71125.2,Success
ISTP,ENTP,89330.85,42694.44,Success
INTP,ESFJ,58772.24,92929.35,Failure
ENFP,INTJ,70756.07,33378.83,Failure
ESFJ,ENFP,69319.65,55880.39,Success
INTJ,ENTP,46341.13,67251.91,Success
ESTJ,ISFJ,76741.48,54005.25,Failure
ESFJ,ENTP,62632.62,34210.6,Success
ESTJ,INFJ,84152.93,81585.35,Success
ENTJ,ESTJ,37334.49,75133.89,Success
ISFP,INFJ,43564.23,82965.55,Failure
ESTP,ENFP,93069.79,43619.15,Failure
INTP,ENTP,41343.9,35688.38,Success
INTJ,ESFJ,42505.45,87545.1,Failure
ENFJ,ISTJ,77842.64,36657.3,Success
ISTP,ESTJ,78685.25,66259.23,Failure
ISTP,ENFJ,35816.7,34552,Success
ISTP,ENFJ,65880,85831.94,Failure
ENTJ,ENTP,36230.94,49522.34,Failure
ENTP,INTJ,80905.68,77819.11,Success
ISTJ,ESFJ,30042.1,91120.54,Failure
ENFJ,ISFJ,40788.06,76735.25,Failure
ESTJ,ESFJ,51781.89,61506.9,Failure
ISFJ,ESFJ,51660.7,81080.53,Success
ISTP,INFP,70762.64,56152.67,Success
ISFJ,ISFJ,94856.98,48193.68,Failure
ISFP,ENTP,89764.95,75565.92,Success
INFP,INTJ,47093.43,40765.31,Failure
INTP,ENTP,94390.39,75424.66,Success
ESFJ,ESTJ,33452.28,50421.94,Success
ISTJ,ESFP,46233.55,31605.62,Success
ISTP,ESTJ,93975.74,91801.23,Success
INTP,ESTP,76104.15,79783.46,Failure
ISTP,INFJ,92991.13,87170.96,Failure
ESFJ,INTJ,85537.14,94812.4,Failure
ISTJ,ENTP,64825.97,60967.1,Failure
INFJ,ESFJ,41372.66,37717.44,Failure
ENTP,ISFP,56053.27,62106.62,Failure
ISFJ,ISFJ,36562.96,64400.96,Success
ISTP,INFP,35684.82,43112.58,Success
INFP,ESTP,80885.63,55409.59,Failure
ESFJ,INTJ,55360.85,45005.54,Success
ESFJ,ENTJ,59338.52,35595.06,Failure
ISTJ,INTP,85785.74,33750.34,Success
ISFP,ESTP,32937.82,35294.01,Success
INTJ,INFJ,93119.92,66183.9,Failure
ISTJ,ENTP,73951.49,87241.12,Success
ENTJ,INTJ,43237.47,45675.2,Failure
ISFP,ESFP,70760.15,49369.53,Failure
INTJ,ENTP,36888.15,89540.1,Failure
ISFP,INTP,78017.69,78411.54,Success
ESFJ,INTJ,78285.02,62926.01,Failure
ISFP,ESFJ,51833.54,95743.73,Failure
ENFP,INTP,42569.62,67870.12,Failure
INTP,ENTP,84857.73,40018.2,Success
ENFJ,ENFJ,64510.92,39573.51,Success
ESTJ,ISTJ,80908.03,56981.72,Failure
INFJ,ISFP,38891.71,54814.78,Failure
ISTP,ENTJ,69265.77,45553.52,Success
ESFJ,ENTP,37985.28,43403.79,Success
ISFP,ISTP,67858.85,73317.54,Success
ESTJ,INTJ,61298.33,90300.51,Success
ENTP,ENFP,71229.43,56340.75,Success
ENTJ,ISTP,49357.15,81960.23,Failure
INTP,ISFJ,79051,37841,Success
INFJ,ENFJ,79623.11,34178.95,Failure
ESTP,ENTJ,47208.73,72946.3,Failure
ESFJ,INTJ,83153.32,97901.59,Failure
INTJ,ENFP,33589.11,92586.62,Success
ISTJ,INTP,90891.45,45678.03,Success
ESFJ,ENFP,91416.44,92925.97,Failure
ENFJ,ENFJ,43332.44,98277.05,Success
ESTP,ISTP,67554.57,73945.1,Failure
ISFP,INFJ,98837.68,96965.36,Failure
INFP,ESFP,44402.91,58742.35,Failure
ENTJ,ISFP,48557.24,99031.49,Failure
ISFJ,ENTP,94619.39,77038.78,Failure
ESFJ,INFJ,59780.5,43220.21,Failure
ENTP,INFP,82809.29,87062.23,Failure
ISTJ,INFJ,38607.28,52570.13,Success
ESFP,ISTP,33013.87,68877.37,Failure
ISTP,ISFJ,72184.39,56292.27,Success
ENTJ,INTP,40433.22,53893.15,Failure
ESFJ,ISFJ,60468.52,53684.97,Failure
ENFJ,INTP,92457.94,99539,Success
INTJ,ESTJ,96556.55,38332.11,Failure
ISFJ,ESTJ,94177.96,40331.2,Success
ENFP,INFP,33425.05,39792.15,Failure
INTJ,ISTP,58484.18,91819.24,Success
ESFP,ENFP,81927.97,60063.01,Success
INFP,ISFJ,75757.5,60299.53,Success
ESFP,ISTP,34606.67,82909.19,Failure
INFP,INFP,88010.78,64755.13,Failure
INTP,ESFP,44242.92,89892.13,Success
ENFP,ISFJ,33289.94,96489.18,Failure
ESFJ,ENTJ,49356.63,62310.43,Success
INTP,ESTJ,62363.7,91577.38,Failure
ISFJ,ESFP,69904.64,81248.74,Success
ESFP,INTP,69886.51,99591.82,Failure
ENTJ,ISTP,48423.52,73515.05,Failure
ISFJ,ENFJ,88862.35,98644.31,Success
ESTJ,ESFP,30783.43,39675.92,Success
INTJ,ISFP,65526.32,71814.21,Failure
ENFP,ESFJ,71478.53,57850.41,Failure
ENTJ,INFJ,60611.83,40647.06,Failure
ESTJ,INTJ,73927.06,45982.69,Success
ISTP,ENTJ,59158.62,41012.64,Success
ISFJ,INTJ,43931.32,72354.66,Success
ISTJ,ENTP,60141.31,62377.53,Failure
ISFJ,ISFP,77817.76,53325.42,Success
ISTP,ENTP,97417.68,83719.43,Success
INTJ,ISTP,94589.34,88250.29,Failure
ESFP,ENTJ,64675.53,88631.59,Success
ENTP,ISTJ,88383.42,75141.07,Success
ENFJ,ISTP,91123.35,75005.81,Success
INTJ,ENTP,90706.09,62001.88,Success
ENTJ,ENTP,88774.56,56328.28,Failure
INTJ,ESFJ,70459.23,70001.07,Failure
ISFP,ISFP,60372.22,41024.21,Failure
INTP,ENFP,48462.32,89102.4,Failure
ISFJ,INTP,34504.8,98887.57,Success
ESTP,INFP,35494.91,45790.99,Failure
ESTJ,INTP,72096.24,50098,Failure
ESTJ,ISTP,50618.78,92183.67,Failure
ISTJ,INFJ,52138.25,61943.8,Failure
ESFJ,INFP,89718.55,57002.26,Success
INTJ,INFJ,41407.16,93095.53,Failure
ENFP,INTP,93782.26,40685.44,Success
ISFJ,INTP,94051.28,67040.28,Failure
ENFJ,ISFP,83323.17,98648.27,Success
ESFP,ENFP,30269.78,83785.89,Success
INTP,ISFP,66188.38,97773.9,Success
ENFP,ESTP,35002.59,54604.32,Failure
INFJ,ISTP,51111.52,47566.26,Failure
ENFJ,ISFP,75697.21,50567.68,Success
INFP,ENFJ,57699.39,49309.21,Failure
ENFP,INTJ,38533.25,90109.09,Success
ISFP,ENTP,84177.26,53239.27,Success
ESFP,ENFP,93612.64,70754.88,Failure
ENTJ,ENTJ,65886.68,39509.79,Failure
ENTJ,ESFP,59457.24,94067.31,Failure
ENTP,ISFJ,77671.7,77345.88,Failure
ISTP,INTP,60011.19,37926.59,Failure
ENFJ,ENFP,79296.09,72921.46,Failure
ENTJ,INFJ,93353.05,90423.86,Success
ENTJ,INFJ,58089.76,71307.79,Failure
ENTP,ENFP,90419.72,72360.8,Success
INFP,ENFJ,39176.35,99023.43,Success
ENFJ,ESFJ,97109.31,87225.23,Failure
ESFJ,INTP,39617.64,78095.17,Success
ISFJ,ENFP,76441.23,61003.67,Failure
ESTP,INFJ,77252.06,43210.1,Failure
INFP,INTP,61877.18,46466.44,Success
INFJ,ESFP,95356.67,34460.43,Success
ESFP,ENFJ,53194.18,68625.04,Failure
INFP,INFP,44366.09,79001.53,Failure
INTJ,ESTP,51035.39,52581.54,Success
INTJ,INTJ,65406.92,45905.5,Success
ENFJ,INTJ,44020.27,35282.45,Failure
ENTJ,INFJ,45151.71,68594.65,Success
ESFP,ESFJ,75435.48,56304.9,Failure
INFP,ESTP,73143.83,87190.69,Success
INTJ,ESFJ,60719.18,30147.59,Failure
ESTJ,INFJ,68315.92,38828.23,Failure
ENFP,ISFP,81083.28,44254.66,Success
ESTP,ESFJ,74997.31,69983.64,Failure
ISFP,ENFP,37120.66,31123.74,Failure
ENTP,ISTP,58118.36,51852.01,Failure
ESTJ,ENFJ,47150.41,82523.67,Failure
ENTJ,ESFJ,79641.95,45930.89,Failure
ISFP,INFP,49604.39,96631.51,Success
ENFP,INFP,99544.06,75065,Failure
ISFP,ENTP,57935.69,42854.46,Success
ENFP,ESTJ,91953.66,97593.96,Failure
ESTP,ISFJ,56511.14,43944.95,Failure
INFP,ENFJ,73072.03,81260.67,Success
ENFP,ENFJ,80852.52,78395.07,Failure
ESTP,ESTP,93168.3,42869.56,Failure
ESFJ,ISTP,51938.84,47370.49,Success
ISFJ,ESFJ,54875.17,89767.35,Success
ESTP,INFJ,72553.71,86438.16,Failure
ISFJ,ENTJ,60114.83,31019.92,Success
INTP,ISFJ,69778.93,96896.43,Success
ESTP,INFP,64560.55,94992.24,Failure
ESTJ,ESTP,43054.98,89353.2,Failure
ISFP,ENTP,87743.64,52371.66,Success
ISTP,ENFJ,76232.18,45414.91,Failure
ISFJ,ISTJ,96433.29,66736.79,Success
ENFJ,ESTP,76425.29,80800.85,Success
ESTJ,ISFJ,76912.11,99198.88,Failure
ESFJ,ISFJ,65566.03,35124.72,Failure
ESFJ,INFJ,87375.54,46757.3,Success
ISFJ,ESTJ,60822.39,84231.1,Failure
ENTP,ESFJ,36662.33,47498.29,Success
INFP,ESFJ,76511.74,41236.23,Failure
ESFP,ISFJ,45271.82,73382.76,Success
INFJ,ISFJ,74314.78,86861.48,Failure
ENTP,INTJ,63191.17,35542.17,Success
INTJ,ISFP,82104.92,93394.75,Failure
ISFJ,INTP,41165.86,67237.51,Success
ISFP,INFP,96169.35,51115.42,Success
ISFJ,ESFJ,63972.32,45219.21,Failure
ESTJ,ISTP,90097.04,44405.51,Failure
ISFP,ISFJ,99903.12,32345.9,Failure
ENTJ,ENTP,88787.79,93381.46,Success
ESTP,INFJ,76254.77,60442.97,Success
INFP,ESFP,37558.74,89099.1,Failure
INFJ,ISFJ,83551.93,60793.07,Success
ENTP,ENFP,78804.29,77655,Success
ESTJ,ESTP,38317.88,98905.37,Failure
ISTP,ISTP,41645,83230.39,Failure
INTP,ESFJ,42042.09,31775.4,Success
ESTP,ISTP,97365.91,42604.08,Failure
INFP,ENFP,42220.61,53337.2,Success
INTJ,ISFJ,82003,98214.36,Failure
ESTP,ISFJ,34830.81,95321.29,Success
ESTJ,ISFJ,68390.83,82412.42,Success
ESFP,INTJ,65922.75,33568.7,Success
ESTP,ESTJ,46250.97,91337.02,Success
INTJ,INFJ,99503.48,54303.43,Failure
ESFP,ESTP,97137.88,44343.18,Failure
ISTJ,INTP,76889.69,84674.13,Success
INFJ,ENFJ,75644.4,77575.97,Success
ENTP,ESFP,94116.38,30263.54,Success
INFJ,INTJ,39033.42,57630.37,Success
INFJ,ENTJ,33562.46,59592.17,Failure
INTJ,ESFP,68737.8,37358.4,Failure
ESTJ,ENFJ,95543.38,74624.47,Failure
ESFP,ENTJ,48467.42,82872.21,Success
