"NetWorth","Age","Education","Location","Party"
"High",23.88,"College","Central","Republican"
"Low",21.07,"College","Central","Democrat"
"Low",66.75,"College","EastCoast","Democrat"
"Medium",79.93,"College","EastCoast","Democrat"
"High",64.9,"College","WestCoast","Republican"
"Medium",83.4,"HighSchool","Central","Republican"
"High",24.7,"PrimarySchool","Central","Republican"
"Low",66.15,"PrimarySchool","EastCoast","Republican"
"Low",78.76,"PrimarySchool","Central","Republican"
"Low",46.71,"College","Central","Republican"
"Low",27.59,"College","Central","Democrat"
"Low",22.83,"College","WestCoast","Democrat"
"Medium",57.6,"PrimarySchool","EastCoast","Republican"
"High",80,"College","EastCoast","Republican"
"High",22.73,"HighSchool","EastCoast","Republican"
"High",27.85,"College","EastCoast","Republican"
"Low",64.29,"HighSchool","EastCoast","Republican"
"Low",50.2,"PrimarySchool","WestCoast","Republican"
"High",71.66,"College","EastCoast","Republican"
"Low",58.21,"College","WestCoast","Republican"
"High",83.32,"College","WestCoast","Republican"
"Medium",79.79,"HighSchool","WestCoast","Democrat"
"Medium",84.85,"HighSchool","WestCoast","Democrat"
"Medium",72.62,"HighSchool","EastCoast","Republican"
"High",71.48,"HighSchool","WestCoast","Republican"
"Medium",72.47,"College","EastCoast","Democrat"
"High",25.2,"HighSchool","EastCoast","Republican"
"High",60.65,"PrimarySchool","Central","Republican"
"Medium",69.58,"College","EastCoast","Republican"
"Low",79.08,"PrimarySchool","Central","Republican"
"Low",73.12,"PrimarySchool","WestCoast","Republican"
"Low",26.78,"HighSchool","Central","Democrat"
"High",58.39,"HighSchool","Central","Republican"
"Medium",39.22,"College","WestCoast","Democrat"
"High",99.81,"HighSchool","Central","Republican"
"High",31.62,"College","WestCoast","Republican"
"Low",29.18,"College","EastCoast","Democrat"
"Medium",74.41,"College","EastCoast","Democrat"
"High",74.57,"College","Central","Republican"
"High",92.95,"HighSchool","WestCoast","Republican"
"High",68.69,"College","EastCoast","Republican"
"High",71.08,"College","Central","Republican"
"Medium",52.41,"College","Central","Democrat"
"High",90.13,"HighSchool","WestCoast","Republican"
"High",32.49,"PrimarySchool","WestCoast","Republican"
"High",37.55,"PrimarySchool","EastCoast","Republican"
"Medium",30.74,"PrimarySchool","WestCoast","Democrat"
"High",32.59,"College","Central","Republican"
"Medium",57.42,"College","EastCoast","Democrat"
"Medium",78.23,"HighSchool","WestCoast","Republican"
"High",23.54,"College","WestCoast","Republican"
"High",19.1,"College","EastCoast","Republican"
"Low",52.1,"PrimarySchool","Central","Republican"
"High",77.31,"HighSchool","Central","Republican"
"High",86.26,"PrimarySchool","EastCoast","Republican"
"Medium",78.57,"PrimarySchool","Central","Republican"
"Low",41.34,"PrimarySchool","Central","Republican"
"Low",93.76,"PrimarySchool","EastCoast","Republican"
"Low",63.65,"PrimarySchool","WestCoast","Republican"
"Medium",48.6,"PrimarySchool","Central","Republican"
"High",75.91,"HighSchool","EastCoast","Republican"
"Medium",72.09,"HighSchool","WestCoast","Democrat"
"Medium",56.54,"College","Central","Republican"
"Low",37.82,"HighSchool","Central","Republican"
"High",70.6,"HighSchool","Central","Republican"
"Medium",42.85,"College","Central","Democrat"
"Low",33.93,"College","Central","Democrat"
"Medium",66.58,"PrimarySchool","EastCoast","Republican"
"Medium",65.84,"HighSchool","EastCoast","Democrat"
"High",22.15,"HighSchool","EastCoast","Republican"
"Low",76.51,"College","WestCoast","Democrat"
"High",35.41,"HighSchool","EastCoast","Republican"
"Medium",68.64,"HighSchool","EastCoast","Republican"
"High",22.21,"College","Central","Republican"
"Medium",24.69,"PrimarySchool","WestCoast","Republican"
"Low",48.91,"HighSchool","EastCoast","Democrat"
"High",27.8,"HighSchool","EastCoast","Republican"
"High",91.66,"HighSchool","WestCoast","Republican"
"Low",32,"College","WestCoast","Democrat"
"High",39.57,"College","WestCoast","Republican"
"Low",27.91,"College","EastCoast","Democrat"
"High",90.13,"College","Central","Republican"
"High",91.86,"HighSchool","WestCoast","Republican"
"Low",46.79,"College","EastCoast","Republican"
"Medium",63.58,"HighSchool","WestCoast","Republican"
"Medium",76.28,"PrimarySchool","WestCoast","Republican"
"Low",37.19,"PrimarySchool","EastCoast","Republican"
"Medium",65.3,"HighSchool","WestCoast","Republican"
"Medium",50.13,"HighSchool","EastCoast","Republican"
"High",25.4,"HighSchool","WestCoast","Republican"
"Low",72.93,"HighSchool","WestCoast","Republican"
"Low",33.73,"PrimarySchool","WestCoast","Democrat"
"Medium",47.79,"HighSchool","Central","Republican"
"Low",70.31,"College","Central","Democrat"
"Medium",27.26,"HighSchool","Central","Republican"
"High",77.25,"PrimarySchool","Central","Republican"
"Low",41.3,"HighSchool","EastCoast","Democrat"
"High",42.27,"College","Central","Republican"
"Medium",87.33,"College","Central","Republican"
"Low",43.09,"HighSchool","EastCoast","Democrat"
"High",99.36,"PrimarySchool","EastCoast","Republican"
"Low",64.68,"HighSchool","EastCoast","Democrat"
"Low",32.93,"PrimarySchool","Central","Democrat"
"High",75.16,"PrimarySchool","EastCoast","Republican"
"High",78.01,"PrimarySchool","EastCoast","Republican"
"Medium",28.43,"HighSchool","WestCoast","Republican"
"Medium",87.94,"PrimarySchool","WestCoast","Republican"
"Low",85.4,"HighSchool","WestCoast","Republican"
"Medium",60.55,"College","Central","Democrat"
"Medium",85.55,"PrimarySchool","EastCoast","Republican"
"High",57.98,"PrimarySchool","Central","Republican"
"Medium",60.68,"College","EastCoast","Democrat"
"High",21.13,"College","WestCoast","Republican"
"High",91.35,"College","Central","Republican"
"Medium",69.11,"HighSchool","WestCoast","Democrat"
"High",49.81,"PrimarySchool","WestCoast","Republican"
"Medium",67.09,"College","WestCoast","Democrat"
"Medium",31.27,"HighSchool","Central","Democrat"
"Medium",68.23,"College","EastCoast","Republican"
"High",93.32,"College","EastCoast","Republican"
"Medium",70.69,"PrimarySchool","EastCoast","Republican"
"High",20.39,"College","WestCoast","Republican"
"Low",56.3,"PrimarySchool","Central","Republican"
"Medium",67.54,"PrimarySchool","EastCoast","Republican"
"Medium",80.75,"HighSchool","WestCoast","Democrat"
"Low",23.93,"PrimarySchool","WestCoast","Democrat"
"Medium",72.33,"HighSchool","WestCoast","Democrat"
"Medium",98.39,"College","WestCoast","Democrat"
"Medium",58.84,"HighSchool","WestCoast","Republican"
"Medium",39.71,"HighSchool","EastCoast","Republican"
"Medium",48.36,"PrimarySchool","WestCoast","Republican"
"High",82.43,"College","WestCoast","Republican"
"Medium",33,"HighSchool","WestCoast","Democrat"
"Medium",94.71,"College","Central","Republican"
"High",29.52,"College","Central","Republican"
"High",38.36,"PrimarySchool","WestCoast","Republican"
"High",18.91,"College","EastCoast","Republican"
"High",56.47,"HighSchool","Central","Republican"
"Medium",33.12,"HighSchool","Central","Republican"
"High",63.78,"HighSchool","EastCoast","Republican"
"Low",67.4,"College","WestCoast","Democrat"
"High",37.78,"PrimarySchool","WestCoast","Republican"
"High",82.42,"PrimarySchool","EastCoast","Republican"
"High",31.9,"PrimarySchool","EastCoast","Republican"
"High",54.84,"HighSchool","EastCoast","Republican"
"Low",94.62,"College","WestCoast","Republican"
"High",59.43,"College","Central","Republican"
"Low",93.48,"PrimarySchool","WestCoast","Republican"
"High",45.14,"HighSchool","Central","Republican"
"Medium",59.72,"College","Central","Democrat"
"Medium",49.63,"HighSchool","WestCoast","Republican"
"Low",90.04,"PrimarySchool","EastCoast","Republican"
"Low",76.09,"PrimarySchool","Central","Republican"
"Low",91.25,"PrimarySchool","EastCoast","Republican"
"Low",78.5,"PrimarySchool","EastCoast","Republican"
"High",80.92,"PrimarySchool","Central","Republican"
"High",93.6,"College","EastCoast","Republican"
"High",47.73,"College","EastCoast","Republican"
"Low",88.5,"PrimarySchool","WestCoast","Republican"
"High",64.35,"College","Central","Republican"
"Low",52.49,"PrimarySchool","Central","Republican"
"High",43.45,"College","Central","Republican"
"Low",93.2,"College","EastCoast","Republican"
"High",32.17,"HighSchool","Central","Republican"
"Medium",60.46,"College","Central","Democrat"
"High",41.71,"PrimarySchool","WestCoast","Republican"
"Low",79.17,"PrimarySchool","WestCoast","Republican"
"Low",19.13,"College","WestCoast","Democrat"
"High",88.24,"College","WestCoast","Republican"
"Low",44.95,"HighSchool","EastCoast","Democrat"
"Low",79.75,"College","EastCoast","Democrat"
"High",70.44,"HighSchool","Central","Republican"
"High",42.88,"College","WestCoast","Republican"
"Low",24.34,"College","EastCoast","Democrat"
"High",57.28,"College","WestCoast","Republican"
"Low",32.6,"PrimarySchool","WestCoast","Republican"
"High",55.3,"PrimarySchool","EastCoast","Republican"
"High",70.2,"HighSchool","EastCoast","Republican"
"High",77.1,"HighSchool","EastCoast","Republican"
"Medium",54.96,"PrimarySchool","WestCoast","Republican"
"Low",69.71,"HighSchool","EastCoast","Democrat"
"Low",62.03,"College","EastCoast","Democrat"
"High",80.92,"College","EastCoast","Republican"
"Low",72.76,"HighSchool","EastCoast","Democrat"
"Medium",19.16,"HighSchool","EastCoast","Republican"
"Low",78.8,"PrimarySchool","EastCoast","Republican"
"Medium",29.71,"College","Central","Democrat"
"High",78.59,"College","Central","Republican"
"Low",49.38,"PrimarySchool","EastCoast","Republican"
"Low",25.8,"College","WestCoast","Democrat"
"Medium",41.18,"PrimarySchool","EastCoast","Republican"
"Medium",44.14,"HighSchool","Central","Republican"
"High",47.71,"HighSchool","EastCoast","Republican"
"Low",31.54,"HighSchool","WestCoast","Democrat"
"Low",57.67,"College","EastCoast","Democrat"
"Low",68.63,"HighSchool","Central","Democrat"
"High",83.98,"PrimarySchool","EastCoast","Republican"
"Medium",45.07,"HighSchool","EastCoast","Republican"
"Medium",56.82,"College","WestCoast","Democrat"
"High",91.02,"HighSchool","Central","Republican"
"Medium",45.62,"PrimarySchool","Central","Republican"
"Low",35.58,"HighSchool","EastCoast","Republican"
"Low",30.26,"PrimarySchool","EastCoast","Democrat"
"Low",19.57,"College","EastCoast","Democrat"
"High",69.78,"PrimarySchool","Central","Republican"
"High",35.27,"PrimarySchool","WestCoast","Republican"
"Low",30.95,"HighSchool","Central","Republican"
"High",94.13,"College","EastCoast","Republican"
"Low",53.69,"College","WestCoast","Democrat"
"Medium",36.53,"PrimarySchool","WestCoast","Republican"
"Low",64.83,"College","WestCoast","Democrat"
"Low",97.55,"College","Central","Democrat"
"High",60.26,"HighSchool","EastCoast","Republican"
"Low",36.53,"College","Central","Democrat"
"Medium",23.58,"HighSchool","EastCoast","Democrat"
"Low",49.57,"PrimarySchool","EastCoast","Republican"
"Medium",73.44,"HighSchool","WestCoast","Democrat"
"Low",72.52,"HighSchool","Central","Republican"
"Low",35.91,"PrimarySchool","EastCoast","Democrat"
"Medium",86.89,"College","Central","Democrat"
"High",50.23,"College","Central","Republican"
"High",42.35,"College","EastCoast","Republican"
"Low",67.29,"College","WestCoast","Republican"
"Low",28.84,"College","Central","Democrat"
"Medium",73.94,"HighSchool","Central","Republican"
"Medium",40.89,"College","Central","Republican"
"Medium",24.58,"PrimarySchool","WestCoast","Republican"
"High",59.88,"PrimarySchool","WestCoast","Republican"
"Medium",97.56,"PrimarySchool","Central","Republican"
"Low",37.14,"HighSchool","WestCoast","Democrat"
"High",54.51,"PrimarySchool","Central","Republican"
"High",31.04,"PrimarySchool","WestCoast","Republican"
"Low",28.2,"PrimarySchool","EastCoast","Republican"
"Medium",41.63,"College","EastCoast","Democrat"
"High",30.98,"PrimarySchool","Central","Republican"
"Medium",74.94,"College","Central","Democrat"
"High",27.01,"PrimarySchool","WestCoast","Republican"
"Low",99.95,"College","EastCoast","Democrat"
"High",61.1,"HighSchool","Central","Republican"
"Medium",66.1,"PrimarySchool","WestCoast","Republican"
"Medium",91.33,"HighSchool","EastCoast","Republican"
"Low",35.06,"HighSchool","Central","Republican"
"High",22.02,"PrimarySchool","EastCoast","Republican"
"Low",20.37,"College","WestCoast","Democrat"
"High",78.1,"PrimarySchool","Central","Republican"
"High",31.7,"HighSchool","EastCoast","Republican"
"Medium",53.21,"PrimarySchool","WestCoast","Republican"
"Low",51.24,"PrimarySchool","Central","Republican"
"Low",56.42,"HighSchool","WestCoast","Democrat"
"Low",24.69,"HighSchool","WestCoast","Republican"
"Low",61.16,"PrimarySchool","Central","Republican"
"Low",97.37,"PrimarySchool","WestCoast","Republican"
"Low",65.16,"HighSchool","WestCoast","Republican"
"Medium",84.43,"College","WestCoast","Democrat"
"Medium",78.6,"HighSchool","WestCoast","Democrat"
"Low",70.56,"HighSchool","EastCoast","Democrat"
"Medium",26.7,"HighSchool","EastCoast","Democrat"
"Low",40.76,"PrimarySchool","EastCoast","Republican"
"Low",60.98,"HighSchool","WestCoast","Republican"
"Medium",43.14,"PrimarySchool","WestCoast","Republican"
"High",28.84,"College","WestCoast","Republican"
"Low",43.29,"PrimarySchool","EastCoast","Republican"
"Medium",39.39,"PrimarySchool","EastCoast","Democrat"
"High",96.07,"PrimarySchool","Central","Republican"
"Medium",43.79,"College","Central","Democrat"
"High",70.77,"PrimarySchool","Central","Republican"
"High",23.54,"College","EastCoast","Republican"
"Low",61.6,"College","EastCoast","Republican"
"Medium",87.9,"PrimarySchool","EastCoast","Republican"
"Low",23.45,"PrimarySchool","Central","Democrat"
"Medium",51.68,"HighSchool","WestCoast","Republican"
"High",67.88,"PrimarySchool","Central","Republican"
"High",68.65,"PrimarySchool","WestCoast","Republican"
"High",63.6,"College","EastCoast","Republican"
"Low",20.76,"PrimarySchool","WestCoast","Republican"
"High",83.18,"PrimarySchool","Central","Republican"
"High",37.55,"PrimarySchool","Central","Republican"
"High",48.35,"College","EastCoast","Republican"
"High",75.62,"PrimarySchool","WestCoast","Republican"
"Low",58.24,"PrimarySchool","EastCoast","Republican"
"Medium",75.58,"PrimarySchool","EastCoast","Republican"
"Medium",35.04,"PrimarySchool","WestCoast","Democrat"
"Medium",40.71,"PrimarySchool","Central","Republican"
"High",19.08,"PrimarySchool","Central","Republican"
"High",54.78,"College","WestCoast","Republican"
"Low",40.34,"College","EastCoast","Republican"
"High",62.89,"HighSchool","WestCoast","Republican"
"Medium",56.52,"College","EastCoast","Republican"
"Low",77.54,"College","EastCoast","Republican"
"High",88.97,"College","WestCoast","Republican"
"Medium",37.26,"HighSchool","Central","Republican"
"Low",33.19,"HighSchool","EastCoast","Democrat"
"High",28.58,"College","Central","Republican"
"Medium",34.01,"PrimarySchool","WestCoast","Republican"
"Medium",39.93,"PrimarySchool","Central","Republican"
"High",52.03,"PrimarySchool","Central","Republican"
"Low",19.33,"PrimarySchool","Central","Democrat"
"Low",62.73,"HighSchool","EastCoast","Democrat"
"Medium",42.68,"College","Central","Democrat"
"Medium",60.23,"HighSchool","Central","Democrat"
"Medium",68.13,"College","Central","Republican"
"Medium",26.63,"PrimarySchool","EastCoast","Republican"
"Low",97.58,"College","Central","Republican"
"High",58.76,"HighSchool","Central","Republican"
"Low",24.35,"HighSchool","EastCoast","Democrat"
"Medium",30.92,"HighSchool","WestCoast","Republican"
"Low",54.21,"HighSchool","WestCoast","Republican"
"Low",56.32,"College","Central","Republican"
"Low",92.18,"HighSchool","EastCoast","Democrat"
"High",98.14,"PrimarySchool","EastCoast","Republican"
"High",91.51,"College","EastCoast","Republican"
"High",64.01,"College","Central","Republican"
"Low",33.81,"HighSchool","Central","Republican"
"Medium",65.68,"HighSchool","WestCoast","Democrat"
"Medium",63.58,"College","EastCoast","Democrat"
"Medium",88.73,"PrimarySchool","Central","Republican"
"High",27.39,"HighSchool","EastCoast","Republican"
"High",95.85,"College","WestCoast","Republican"
"Medium",75.3,"HighSchool","WestCoast","Democrat"
"Medium",79.71,"HighSchool","EastCoast","Democrat"
"Medium",36.23,"College","WestCoast","Democrat"
"High",31.7,"PrimarySchool","EastCoast","Republican"
"Medium",61.17,"PrimarySchool","EastCoast","Republican"
"High",57.69,"College","WestCoast","Republican"
"High",73.73,"PrimarySchool","EastCoast","Republican"
"High",64.97,"PrimarySchool","EastCoast","Republican"
"High",63.66,"HighSchool","Central","Republican"
"Low",87.93,"College","Central","Democrat"
"Low",61.73,"HighSchool","Central","Democrat"
"Low",79.57,"PrimarySchool","WestCoast","Republican"
"Medium",92.85,"HighSchool","EastCoast","Democrat"
"Medium",70.29,"College","WestCoast","Democrat"
"Medium",58.43,"College","Central","Democrat"
"Medium",19.29,"College","Central","Democrat"
"Low",38.46,"College","Central","Democrat"
"High",87.63,"PrimarySchool","Central","Republican"
"Low",89.61,"HighSchool","Central","Republican"
"High",73.59,"PrimarySchool","WestCoast","Republican"
"Medium",57.35,"PrimarySchool","WestCoast","Republican"
"High",85.41,"PrimarySchool","WestCoast","Republican"
"Medium",35.33,"PrimarySchool","EastCoast","Democrat"
"High",60.48,"HighSchool","EastCoast","Republican"
"Low",35.25,"HighSchool","WestCoast","Democrat"
"High",74.99,"College","WestCoast","Republican"
"High",58.66,"PrimarySchool","Central","Republican"
"Low",38.06,"HighSchool","EastCoast","Republican"
"Medium",41.17,"College","Central","Republican"
"High",31.16,"PrimarySchool","Central","Republican"
"Low",75.48,"College","EastCoast","Republican"
"Medium",76.29,"College","WestCoast","Democrat"
"High",42.05,"HighSchool","WestCoast","Republican"
"Medium",99.34,"College","WestCoast","Democrat"
"Low",35.58,"PrimarySchool","WestCoast","Republican"
"Low",65.93,"PrimarySchool","Central","Republican"
"Medium",70.75,"PrimarySchool","EastCoast","Republican"
"Medium",70.41,"College","Central","Republican"
"High",81.79,"College","WestCoast","Republican"
"High",95.94,"PrimarySchool","EastCoast","Republican"
"Medium",31.25,"College","EastCoast","Democrat"
"High",43.21,"PrimarySchool","Central","Republican"
"Medium",81.76,"College","WestCoast","Republican"
"High",84.62,"HighSchool","Central","Republican"
"Low",82.43,"PrimarySchool","EastCoast","Republican"
"High",43.87,"PrimarySchool","WestCoast","Republican"
"High",91.42,"HighSchool","Central","Republican"
"Medium",58.2,"HighSchool","WestCoast","Republican"
"Low",33.87,"PrimarySchool","Central","Democrat"
"Medium",34.12,"College","WestCoast","Democrat"
"Medium",70.22,"College","WestCoast","Democrat"
"Medium",30.03,"HighSchool","WestCoast","Republican"
"High",53.45,"College","WestCoast","Republican"
"Low",99.3,"HighSchool","Central","Republican"
"High",51.42,"HighSchool","WestCoast","Republican"
"High",99.42,"HighSchool","EastCoast","Republican"
"High",86.53,"HighSchool","EastCoast","Republican"
"Low",33.5,"College","Central","Democrat"
"High",48.23,"PrimarySchool","EastCoast","Republican"
"High",39.99,"College","WestCoast","Republican"
"Medium",96.36,"PrimarySchool","WestCoast","Republican"
"High",25.99,"College","Central","Republican"
"Medium",83.9,"College","Central","Republican"
"Medium",30.16,"HighSchool","Central","Republican"
"High",28.51,"HighSchool","EastCoast","Republican"
"High",64.21,"College","Central","Republican"
"Medium",81.19,"PrimarySchool","EastCoast","Republican"
"Medium",69.35,"PrimarySchool","EastCoast","Republican"
"Medium",20.46,"College","EastCoast","Democrat"
"High",54.72,"College","EastCoast","Republican"
"High",66.38,"PrimarySchool","WestCoast","Republican"
"Medium",21.85,"College","EastCoast","Democrat"
"Medium",58.68,"College","WestCoast","Republican"
"High",29.53,"College","Central","Republican"
"Medium",67.84,"HighSchool","WestCoast","Republican"
"Low",60.19,"HighSchool","WestCoast","Republican"
"Medium",57.2,"HighSchool","WestCoast","Republican"
"Medium",68.09,"HighSchool","EastCoast","Democrat"
"Medium",54.49,"College","WestCoast","Democrat"
"Medium",87.58,"PrimarySchool","Central","Republican"
"High",25.2,"College","WestCoast","Republican"
"High",18.5,"HighSchool","EastCoast","Republican"
"High",54.02,"HighSchool","EastCoast","Republican"
"Medium",76.52,"College","WestCoast","Democrat"
"High",72.63,"PrimarySchool","Central","Republican"
"High",53.8,"PrimarySchool","WestCoast","Republican"
"Low",89.37,"PrimarySchool","EastCoast","Republican"
"Medium",40.88,"HighSchool","WestCoast","Republican"
"Low",44.32,"PrimarySchool","Central","Republican"
"Medium",54.92,"HighSchool","Central","Republican"
"Low",97.72,"HighSchool","WestCoast","Democrat"
"Medium",69.81,"PrimarySchool","WestCoast","Republican"
"Medium",92.1,"HighSchool","Central","Republican"
"High",58.93,"HighSchool","WestCoast","Republican"
"Low",44.43,"PrimarySchool","EastCoast","Republican"
"High",77.09,"HighSchool","EastCoast","Republican"
"High",96.45,"PrimarySchool","WestCoast","Republican"
"High",91.13,"College","EastCoast","Republican"
"High",95.68,"HighSchool","EastCoast","Republican"
"Medium",77.91,"College","Central","Republican"
"High",58.5,"College","Central","Republican"
"High",65.38,"HighSchool","Central","Republican"
"High",70.2,"College","WestCoast","Republican"
"High",94.78,"PrimarySchool","EastCoast","Republican"
"Medium",28.72,"HighSchool","WestCoast","Democrat"
"Medium",74.49,"College","EastCoast","Democrat"
"Low",23.14,"PrimarySchool","WestCoast","Republican"
"Medium",68.4,"HighSchool","Central","Democrat"
"Low",44.7,"PrimarySchool","WestCoast","Republican"
"Medium",37.22,"HighSchool","EastCoast","Democrat"
"Medium",29.13,"College","Central","Democrat"
"High",43.51,"College","WestCoast","Republican"
"Medium",28.6,"HighSchool","EastCoast","Republican"
"Low",36.8,"HighSchool","EastCoast","Democrat"
"Low",49.28,"College","Central","Democrat"
"Low",91.84,"College","WestCoast","Republican"
"High",87.29,"HighSchool","Central","Republican"
"Medium",35.37,"College","EastCoast","Democrat"
"High",73.24,"PrimarySchool","EastCoast","Republican"
"High",41.87,"HighSchool","Central","Republican"
"Medium",29.65,"PrimarySchool","Central","Republican"
"Low",19.91,"PrimarySchool","EastCoast","Democrat"
"High",28.72,"HighSchool","WestCoast","Republican"
"Medium",83.33,"PrimarySchool","Central","Republican"
"Medium",34.85,"College","WestCoast","Democrat"
"Medium",57.48,"PrimarySchool","EastCoast","Republican"
"Medium",78.57,"College","Central","Republican"
"Low",56.07,"College","Central","Democrat"
"Low",32.05,"College","EastCoast","Democrat"
"High",70.46,"College","EastCoast","Republican"
"Medium",96.72,"PrimarySchool","WestCoast","Republican"
"Medium",22.57,"College","EastCoast","Democrat"
"Low",61.48,"College","EastCoast","Republican"
"Medium",53.14,"College","WestCoast","Republican"
"Low",66.58,"HighSchool","EastCoast","Democrat"
"Low",93.01,"HighSchool","WestCoast","Democrat"
"Medium",36.01,"College","WestCoast","Democrat"
"High",79.33,"HighSchool","WestCoast","Republican"
"Low",47.24,"College","WestCoast","Republican"
"High",87.91,"PrimarySchool","WestCoast","Republican"
"Medium",96.71,"PrimarySchool","WestCoast","Republican"
"High",65.08,"PrimarySchool","WestCoast","Republican"
"High",62.55,"HighSchool","EastCoast","Republican"
"High",93.49,"PrimarySchool","Central","Republican"
"Low",71.85,"PrimarySchool","Central","Republican"
"Medium",84.07,"College","WestCoast","Republican"
"Low",87.53,"HighSchool","Central","Democrat"
"Medium",34.42,"College","EastCoast","Democrat"
"High",46.67,"PrimarySchool","EastCoast","Republican"
"Low",82,"HighSchool","WestCoast","Democrat"
"Low",54.27,"PrimarySchool","WestCoast","Republican"
"Medium",95.96,"PrimarySchool","Central","Republican"
"Medium",53.2,"HighSchool","WestCoast","Republican"
"Medium",59.35,"PrimarySchool","Central","Republican"
"Medium",76.3,"College","Central","Democrat"
"Low",81.09,"PrimarySchool","Central","Republican"
"High",20.95,"PrimarySchool","WestCoast","Republican"
"Low",83.33,"HighSchool","WestCoast","Republican"
"Low",80.95,"PrimarySchool","WestCoast","Republican"
"Medium",85.86,"College","WestCoast","Democrat"
"Low",23.55,"PrimarySchool","Central","Republican"
"Low",93.19,"HighSchool","EastCoast","Republican"
"High",54.67,"PrimarySchool","WestCoast","Republican"
"Medium",99.51,"College","WestCoast","Republican"
"Low",69.16,"PrimarySchool","Central","Republican"
"High",18.78,"College","Central","Republican"
"Low",53,"College","EastCoast","Democrat"
"High",68.63,"PrimarySchool","WestCoast","Republican"
"High",51.12,"PrimarySchool","Central","Republican"
"Medium",88.22,"College","WestCoast","Democrat"
"Low",93.65,"HighSchool","WestCoast","Democrat"
"Low",69.71,"PrimarySchool","Central","Republican"
"Low",91.02,"PrimarySchool","WestCoast","Republican"
"Low",64.18,"PrimarySchool","Central","Republican"
"Low",27.86,"PrimarySchool","Central","Republican"
"Low",91.68,"PrimarySchool","WestCoast","Republican"
"Medium",49.15,"HighSchool","WestCoast","Democrat"
"High",72.41,"HighSchool","Central","Republican"
"Medium",19.81,"PrimarySchool","WestCoast","Republican"
"Medium",22.76,"HighSchool","Central","Democrat"
"Low",38.43,"PrimarySchool","EastCoast","Republican"
"High",27.2,"College","EastCoast","Republican"
"Medium",51.34,"HighSchool","EastCoast","Republican"
"Low",27.36,"HighSchool","Central","Democrat"
"Low",96.85,"HighSchool","Central","Republican"
"Low",70.77,"College","Central","Democrat"
"Low",49.62,"HighSchool","EastCoast","Republican"
"High",31.05,"PrimarySchool","Central","Republican"
"Medium",27.61,"College","WestCoast","Democrat"
"Low",77.39,"HighSchool","WestCoast","Democrat"
"Medium",93.38,"HighSchool","Central","Democrat"
"Medium",89.04,"College","EastCoast","Republican"
"High",21.45,"HighSchool","WestCoast","Republican"
"High",69.66,"College","EastCoast","Republican"
"High",47.01,"PrimarySchool","EastCoast","Republican"
"Medium",98.5,"PrimarySchool","EastCoast","Republican"
"High",38.83,"College","EastCoast","Republican"
"Low",73.42,"HighSchool","WestCoast","Democrat"
"Low",76.62,"College","Central","Democrat"
"High",82.22,"HighSchool","WestCoast","Republican"
"Low",54.62,"PrimarySchool","Central","Republican"
"High",82.42,"College","EastCoast","Republican"
"Medium",49.19,"College","WestCoast","Republican"
"Medium",76.83,"HighSchool","EastCoast","Republican"
"Medium",51.44,"HighSchool","EastCoast","Republican"
"Medium",19.53,"HighSchool","EastCoast","Democrat"
"Medium",31.73,"PrimarySchool","WestCoast","Democrat"
"Medium",92.08,"HighSchool","EastCoast","Democrat"
"Low",80.34,"College","EastCoast","Democrat"
"High",18.16,"PrimarySchool","WestCoast","Republican"
"Low",37.05,"HighSchool","EastCoast","Democrat"
"Medium",43.65,"PrimarySchool","Central","Republican"
"Medium",85.12,"PrimarySchool","WestCoast","Republican"
"Medium",86.3,"HighSchool","WestCoast","Republican"
"High",22.78,"College","WestCoast","Republican"
"Low",72.9,"PrimarySchool","EastCoast","Republican"
"Low",24.37,"HighSchool","Central","Democrat"
"Low",36.26,"HighSchool","EastCoast","Democrat"
"High",18.1,"College","WestCoast","Republican"
"Medium",44.67,"HighSchool","EastCoast","Republican"
"Medium",78.84,"PrimarySchool","EastCoast","Republican"
"High",55.31,"HighSchool","Central","Republican"
"Low",97.49,"HighSchool","EastCoast","Republican"
"Low",37.71,"College","WestCoast","Democrat"
"Low",74.27,"College","WestCoast","Republican"
"Low",95.19,"HighSchool","EastCoast","Republican"
"Low",42.9,"PrimarySchool","WestCoast","Republican"
"Low",28.06,"HighSchool","EastCoast","Democrat"
"High",90.46,"PrimarySchool","WestCoast","Republican"
"Medium",51.99,"PrimarySchool","Central","Republican"
"High",67.13,"College","WestCoast","Republican"
"High",76.86,"HighSchool","EastCoast","Republican"
"Low",44.27,"PrimarySchool","Central","Republican"
"Medium",96.16,"College","EastCoast","Democrat"
"Low",77.54,"PrimarySchool","Central","Republican"
"High",19.68,"College","Central","Republican"
"Low",62.54,"HighSchool","WestCoast","Democrat"
"Low",44.94,"HighSchool","Central","Republican"
"Medium",22.36,"College","Central","Democrat"
"Low",26.53,"HighSchool","Central","Republican"
"Low",49.12,"College","WestCoast","Republican"
"High",57.63,"College","EastCoast","Republican"
"Medium",73.45,"HighSchool","Central","Democrat"
"High",54.85,"PrimarySchool","Central","Republican"
"Low",65.26,"PrimarySchool","EastCoast","Republican"
"Low",29.68,"PrimarySchool","EastCoast","Republican"
"Low",30.51,"College","Central","Democrat"
"Low",98.05,"HighSchool","WestCoast","Republican"
"High",64.77,"College","Central","Republican"
"High",57.48,"PrimarySchool","WestCoast","Republican"
