GrromMB,BrideMB,GroomInc,BrideInc,Outcome
ENFP,ISFJ,61421.08,81615.27,Success
ENTP,ESTJ,61156.43,51497.13,Success
ISTP,ESFP,83762.67,44680.75,Success
ESTJ,ESFP,96785.67,83862.92,Success
ISTP,ENTJ,67849.53,83453.79,Failure
INFJ,ESTJ,75494.25,77114.48,Success
INFP,INTJ,36824.72,96832.03,Failure
ISFP,ISFP,39964.98,70315.05,Failure
ENTJ,INTP,97758.92,85824.41,Success
INFP,ISTJ,55504.81,30803.34,Success
INFP,INTP,56378.64,72244.8,Failure
ESTJ,ENFJ,50143.35,90305.81,Failure
ISTP,ESTP,74306.98,98266.24,Success
ESTJ,ENFP,90636.11,68773.03,Failure
INFP,ESFP,70268.3,44079.29,Failure
INTJ,INFJ,87697.81,57210.81,Success
ENTP,ENTJ,48849.15,80711.93,Success
INFP,INFP,52606.57,70011.1,Failure
INTP,ISTP,44696.31,51573.41,Failure
ENTJ,ISTP,92423.53,53847.64,Failure
ESFJ,ISFJ,72050.33,80651.21,Success
ESFP,ENFJ,84379.45,45417.22,Failure
ESFJ,ISTJ,41459.08,37444.73,Failure
ISTP,ENTJ,44226.83,39987.05,Failure
ISFJ,INFJ,69888.31,64563.23,Success
ISFJ,ISTP,86840.94,40999.28,Failure
ESTP,ENFJ,73726.83,50665.22,Success
ESFJ,ENFP,85273.93,87291.52,Failure
INFJ,ISFP,58623.75,67917.24,Success
ISFJ,ISTP,55671.27,44454.84,Success
INTJ,ENFP,71946.09,68201.49,Success
ENFJ,ESTP,93823.7,96040.92,Failure
INFP,ENTP,66042.66,35806.5,Failure
ESFJ,ESFP,32192.72,46537.27,Failure
ENTP,ESTP,49693.86,35188.49,Failure
ENFJ,ENFP,93948.03,59405.72,Failure
ISTP,ENTJ,93192.75,43627.04,Success
ESTJ,ENFP,45158.38,32003.88,Success
ENFJ,INFP,72167.65,95557.06,Failure
ISFP,ESTJ,92957.32,95200.8,Success
ISFP,ESTJ,35641.98,33442.41,Success
ISFJ,ESFJ,77503.54,91797.9,Success
INFJ,ESTJ,61905.6,58768.46,Success
INFJ,INFJ,66664.08,65006.46,Success
INFJ,ENFJ,51098.01,94567.3,Success
INFJ,INFJ,72631.98,91128.11,Failure
INFJ,INFP,60630.37,58138.9,Failure
ESTJ,ESFP,83523.27,51533.78,Success
ISTP,ENTJ,43930.52,46217.34,Failure
ESFP,ESFJ,44455.15,30128.95,Failure
ESFP,ESTJ,49025.06,56334.78,Success
ESFJ,ESFP,90365.98,85465.74,Success
ENTP,INFP,88488.93,86718.73,Failure
INFJ,ESTJ,94016.11,72030,Failure
ISFJ,ESFJ,56862.62,84628.49,Success
ENFP,INFJ,89073.29,63232.03,Success
ISTJ,ESTJ,35225.17,37469.11,Success
ESTP,ENFJ,45297.13,49440.02,Failure
INTP,INFP,69043.56,68051.33,Failure
ISFJ,INFP,79529.63,55457.59,Failure
ENTP,ISTP,82930.44,89490.97,Failure
ESFP,INFP,67995.37,82052.15,Failure
INTP,ENTJ,69885.17,80851.8,Success
ISFP,ISFP,85329.2,87755.74,Failure
ISFP,ENTJ,83468.08,37382.16,Success
ENFP,ESTJ,39620.77,30517.57,Success
ISTP,INTP,80122.76,77245.04,Success
ENFJ,INTP,39607.88,86113.14,Success
INTP,INTJ,36548.53,56601.5,Success
ISTJ,ESTJ,65644.94,81505.03,Success
ISFJ,INTP,60545.87,77102.14,Failure
ESFJ,ENTJ,87123.48,46125.86,Failure
ISTJ,ESFJ,94881.54,94851.25,Success
ISTJ,ESTP,59651.35,85674.97,Success
ISFJ,ENFJ,83181.32,95992.86,Success
ESTJ,ENTP,62355.88,97406.57,Success
ENFP,INFJ,57550.49,43971.71,Failure
INFJ,ESTP,76187.45,39559.23,Failure
ENTP,ESFP,52807.87,56133.68,Failure
ISFJ,ISFJ,59527.89,76086.5,Failure
ENTJ,ENTJ,78923.83,46565.85,Failure
ENTJ,INFJ,56165.08,34501.7,Failure
ESTP,ESTP,99833.47,81414.32,Failure
ISTP,ENTJ,66141.48,33217.3,Success
ENTJ,INFP,60661.2,35972.28,Success
ESTJ,ENFJ,90532.28,76096.74,Success
ESTJ,ISTJ,79647.95,69961.47,Failure
ENTP,ISFP,73471.5,82022.3,Failure
ISTJ,ISTP,84938.62,53104.31,Success
ENFP,ESTJ,40557.52,64542.73,Failure
INFP,ENFP,95739.48,54189.71,Failure
ESFJ,INTP,32782.56,42337.09,Failure
ISTJ,ENTP,71614.62,58621.81,Failure
ENFP,ISTP,86520.74,69719.14,Failure
ISFJ,ISTP,92588.17,51914.68,Failure
ISTP,ESTP,72318.29,97490.65,Failure
INTJ,ISTP,93177.89,30222.94,Failure
ESFJ,ISFP,33850.45,35624,Failure
INFJ,ESTP,98050.27,74734.22,Failure
INFJ,ISTP,90522.15,85259.98,Success
ISFJ,ISFP,67222.98,55749.55,Failure
ISFJ,ISFJ,73584.78,74484.7,Success
ENFP,ESFP,52314.62,83243.69,Failure
ISFJ,ENFP,94830.88,76597.04,Failure
ENFJ,ENFP,56786.03,91185.12,Failure
ENFJ,ISFP,93774,62047.76,Success
ESFJ,INFP,50754.44,86556.11,Failure
INTP,ESFP,31674.98,68193.75,Failure
ESTP,ESTP,99237.32,64918.89,Success
INTJ,ISFP,56503.72,48608.05,Success
ESFJ,ENTP,97558.23,58676.46,Failure
ENFP,ENTJ,72043.62,75138.69,Failure
ENTJ,ENFP,45083.46,91234.04,Failure
INTJ,INFJ,84214.51,96539.61,Success
ISFJ,ISTJ,58882.75,40715.22,Success
ISTP,ENFJ,33997.48,46365.59,Failure
ENTP,ENFP,57404.56,89418.16,Failure
ESTP,ESFP,33553.92,61032.38,Success
ENTJ,ISFJ,41982.02,72972.45,Success
ISFJ,ESFP,44682.87,96416.43,Success
ISTP,ESFJ,38121.17,62872.17,Success
INTJ,ENTJ,57176.29,63880.91,Failure
ESTJ,ENFP,58960.29,71506.95,Failure
ISFJ,ENFJ,61170.66,73571.64,Failure
ISTP,ENTP,69942.01,85415.7,Failure
ISFP,INFP,66951.5,90601.36,Failure
ISFJ,ISFJ,86072.64,45883.3,Failure
ESTJ,ESFJ,82590.36,83292.41,Failure
ENFJ,ENTP,78119.89,74868.98,Success
INTP,ISTJ,84415.35,73061.35,Success
INFJ,ISFP,52747.58,34268.06,Success
ENFP,ESTP,56797.36,72201.76,Failure
INFP,ISTP,93197.74,60186.59,Success
INFJ,INFJ,51376.84,63355.81,Success
ESTP,ESTP,73175.05,94191.73,Success
ENTP,ESFJ,64484.86,46957.03,Success
INFJ,INTJ,67305.48,73464.93,Success
ISTJ,INFP,72315.35,79704.67,Success
ISTJ,ISTP,95612.27,77007.8,Success
ENFP,ENFJ,68591.36,89745.85,Failure
ISTJ,ISFJ,30135.68,97529.88,Failure
ESTJ,ENTP,31850.73,65079.88,Success
ISFJ,ISTJ,78927.25,96571.64,Success
ISTJ,ENFJ,82543.02,83044.93,Success
ESFP,INTP,32553.13,40738.05,Failure
ESTP,INTP,55881.53,57121.29,Failure
ESFJ,ENTJ,56553.71,85066.84,Success
ISFP,INTP,35279.29,98276.18,Failure
ENTJ,ESTJ,71938.69,94784.83,Success
ISTP,ISTJ,32489.48,94834.15,Success
ENTP,INFJ,79863.65,31697.23,Failure
ISTP,ESFJ,90385.89,59892.17,Failure
ISTP,ESTP,91704,34259.36,Success
INFJ,ESFP,30117.02,71257.55,Failure
ESFJ,ENTP,97882.88,49132.66,Failure
INFJ,ESFJ,56834.16,63363.53,Failure
ISFJ,ISFP,79139.89,51068.82,Success
ENTP,INTP,52153.2,72321.1,Failure
INFP,ISTJ,91090.95,32816.56,Success
ENTJ,ENTP,31762.8,50938.64,Success
ISFJ,ENTJ,99199.24,78346.38,Success
ISTJ,ISTJ,71432.75,66251.42,Failure
ISFP,ISTP,32815.95,63238.25,Success
ESFP,ESFP,59721.36,81565.14,Failure
ISFP,ISTJ,93283.34,59042.1,Success
ESFP,ISFJ,61748.75,33600.03,Success
INTP,ENFJ,37004.9,59862.33,Success
INTP,ESTJ,79327.35,66480.45,Success
ENFP,INFP,37525.29,58390.85,Failure
ESTJ,ESFJ,45831.16,37549.14,Failure
ISFJ,ISTJ,40261.41,39329.89,Failure
INTJ,ENTJ,65006.84,52662.01,Failure
ISFJ,ISFJ,75719.06,89431.03,Success
ENTP,INTJ,82242.59,83455.3,Success
ISFJ,ENTJ,35646.6,92997.75,Success
ESFP,ENTJ,75397.67,87293.56,Failure
ESTP,INFJ,59749.76,72657.77,Success
ESTJ,ESTJ,73048.28,30692.25,Failure
ENFP,ENFJ,38678.32,73442.3,Failure
ENTJ,INFJ,86391.49,91813.21,Success
ESTP,ESFJ,61857.43,64358.9,Success
ESTJ,ESTJ,80722.87,98576.55,Success
ENTP,ISTJ,37319.69,61480.61,Success
ISFJ,ESFP,78931.35,61167.88,Failure
INFP,ESFJ,35981.23,61600.64,Failure
ESFJ,ENTP,69429.34,32871.92,Success
INTP,ESFJ,84346.85,67989.09,Failure
INFP,ENFJ,39087.62,57957.46,Failure
ESFP,ISTJ,48657.91,87728.13,Success
ISTJ,INFP,69509.11,42182.6,Failure
ESFP,ENTP,88333.55,47693.82,Success
ISTP,ENTP,57578.03,95617.12,Failure
INTJ,ENTJ,37260.51,39480.15,Failure
ESTP,ESFP,42274.46,62722.76,Failure
INTP,ENTP,92176.3,70741.99,Failure
ISFJ,ESTJ,68186.32,80761.31,Success
ISFP,ISTJ,76258.78,84868.17,Success
ENFJ,INTJ,98829.25,38600.66,Failure
INFP,ISFP,43164.09,42009.71,Success
INFJ,ENTJ,33217.93,33922.44,Failure
ESTP,INTP,61588.27,81725.15,Failure
ISTP,INTJ,83123.52,56622.19,Failure
ISFJ,INFP,62755.85,37511.77,Failure
ENFP,INTJ,64794.64,75834.13,Failure
ISTJ,ESFP,55932.54,48163.91,Success
ISFJ,ESFP,32165.42,83474.33,Failure
ENFP,ENFJ,53542.81,74230.42,Success
INTJ,ISTJ,53450.92,83759.56,Success
ISTJ,ESFP,65573.9,49608.81,Success
ESTJ,ESTJ,45770.86,55064.58,Failure
INFJ,ESTJ,39331.19,60625.76,Failure
ISTJ,ESTP,38403.86,36292.15,Success
INFP,ISFP,55618.01,71144.71,Success
ISFP,ENTP,83739.48,91478.07,Success
ESFJ,INTJ,71206.53,96992.56,Success
ESTJ,ENFJ,63046.29,32418.84,Success
ESTJ,ESFP,82409.4,80852.84,Failure
ISFP,ISFP,40357.77,87824.04,Failure
ISFJ,ENTJ,41154.48,90228.59,Failure
ENFP,ESFP,36422.74,53202.92,Failure
ISFJ,ISTJ,79555.19,44876,Success
INFP,ENFP,73729.91,68574.35,Success
INFP,ISTP,88530.88,63734.09,Success
ENTJ,ENTJ,51825.65,37676.29,Success
ESFP,ESTJ,66847.1,78150.55,Success
ESFP,ISTP,63671.72,44201.01,Failure
ENTJ,ISFP,48628.33,59425.97,Failure
ISTJ,ISFP,34806.57,90165.6,Success
INTJ,ESFP,43531.33,39932.48,Failure
INTP,INTJ,42527.58,61910.31,Failure
ESTJ,ENFJ,43267.58,43203.66,Success
ENFP,INFP,44030.98,78510.63,Success
ISTJ,INTP,67553.54,94442.56,Success
ESFP,ESFJ,72031.29,51737.83,Success
ENFJ,ISFP,64082.18,63582.5,Failure
ESTJ,ISFJ,52429.5,82758.4,Failure
INFJ,INFP,34088.36,30677.28,Failure
ESFP,ENFP,77018.65,84458.12,Failure
ESTJ,INFJ,51430.93,74438.6,Success
ESFJ,ENTJ,95065.2,93102.24,Success
ISTJ,ISTJ,72200.54,76106.07,Failure
INFJ,ISTP,45022.19,31684.38,Failure
ISTP,ENFP,48970.96,50429.93,Success
ESFJ,ENFP,72034.97,43318.27,Failure
ESFJ,ESTJ,85910.57,65457.34,Success
ENTJ,ENTP,76980.61,94401.62,Failure
ESFJ,INTJ,55408.28,92508.65,Success
INFJ,ISFP,65208.67,32050.13,Success
ISFJ,ISTJ,33276.23,81941.06,Failure
INFP,ISTJ,32837.94,35763.98,Success
INFP,INTP,72672.14,89865.83,Success
INTJ,ESTJ,42205.6,84394.5,Failure
ENFP,INTJ,31803.18,64716.94,Failure
ISTJ,ISFJ,62554.92,81082.88,Failure
ENFJ,ISFP,45286.22,93383.97,Success
INFJ,ISTJ,34579.27,75643.26,Success
ESTP,ENTP,30529.74,35227.86,Success
INTP,ESFJ,75986.09,60246.15,Success
ESTP,INFJ,80235.38,79459.23,Success
ESFP,ISTJ,39792.69,77429.25,Success
INFJ,ESTP,66689.08,95232.6,Failure
ISFJ,ENFP,52567.7,90332.14,Failure
ISFP,ISFJ,85851.34,31782.57,Success
ESFJ,ENTJ,83034.71,99402.04,Success
ESTJ,INFP,88508.81,60648.19,Failure
ESFJ,INTJ,31147.12,44502.83,Failure
INTJ,ENTP,69868.86,96693.84,Failure
ENFP,ENTP,88063.54,79977.28,Failure
ISFJ,ENFP,41194.16,93457.09,Success
ISTP,ENTJ,96344.34,34128.43,Success
INFJ,ENFJ,90159.01,64621.11,Failure
INTJ,ISTJ,58986.51,52746.05,Failure
ENFP,ISFP,36748.98,74444.81,Success
ISTJ,ENFJ,36138.01,90246.01,Failure
INFJ,ESTP,40060.99,96804.8,Success
ISFP,ISFP,73128.76,69387.35,Failure
INTJ,ENTJ,32052.27,33075,Success
ESFJ,INFJ,61798.68,56524.01,Success
ESTJ,INTJ,92193.9,91580.95,Success
ENTJ,ENTJ,82929.64,32597.97,Failure
INTP,INTJ,79693.43,82454.18,Failure
ISTP,ESFJ,89674.73,52456.46,Failure
INTJ,ESTP,41238.2,48055.09,Success
ISFJ,ENTJ,93958.34,61240.66,Success
INFP,ESTP,66523.76,30119.5,Success
ESTJ,INFJ,97612.97,62939.91,Success
ESTP,ISTP,57794.22,66893.18,Success
ESTP,INTJ,97807.15,91186.78,Success
ESFP,INFP,62927.75,76918.97,Failure
ISFJ,ESTJ,64602.88,85843.33,Failure
ISFP,ISFJ,33727.2,59187.9,Success
INTP,ENTJ,80847.96,44109.64,Success
ESTJ,INTJ,43256.76,97028.84,Failure
ENTJ,ESTJ,96008.06,38686.92,Success
ESFJ,ENTP,95855.18,46707.39,Failure
ENFP,ESTJ,34922.64,85056.69,Success
ISTJ,ISFJ,44682.64,44750.41,Success
ENTP,ENTP,49690.37,79074,Failure
ENFJ,ESFP,46110.67,71563.6,Failure
ENTP,ISFP,48733.84,34859.22,Failure
ESTP,INFP,85383.21,61318.16,Success
ISTP,INFJ,58538.12,52891.67,Success
ISFJ,INTP,65188.58,55682.24,Success
INTJ,INFP,61376.45,82814.22,Failure
ESFJ,INTJ,34732.86,69889.09,Success
ISTJ,INTP,49059.7,84392.74,Success
ESTJ,ISTP,95739.23,86434.6,Success
ISFP,ENFP,39748.07,62656.42,Failure
INTJ,ESTP,93907.61,79031.69,Success
INTP,INTP,78163.5,88010.33,Success
INTP,INTJ,76218.91,71402.55,Failure
ESFJ,INTP,82743.01,49193.21,Failure
ISTJ,INTJ,38622.79,54628,Failure
INTP,INTJ,86045.4,52019.4,Failure
ENFJ,INFJ,39930.99,85927.57,Success
INTJ,ENTP,53043.3,33878.47,Failure
ESTJ,ESTJ,39773.51,41660.84,Failure
ENTP,ENTJ,88051.96,84098.75,Success
ISTJ,INTP,57126.77,70995.28,Success
ESFP,ISTP,75905.76,30824.75,Failure
ISTJ,ENTP,61271.68,99746.74,Failure
ENFJ,ESTP,76257.53,86241.82,Success
ESTP,INTP,57280.12,43633.63,Failure
ENFP,ESTP,38291.84,88540.81,Success
ESTP,ISTJ,97897.72,34540.14,Failure
ESTJ,ESTJ,94903.14,75618.44,Failure
ISFP,INFP,65966.26,58994.86,Success
INTJ,ESFP,92929.14,80596.12,Success
ESFP,ESTJ,92153.92,48591.97,Success
ISFJ,INTJ,47300.25,74419.85,Failure
ISTJ,ESFP,39895.15,54582.53,Failure
INTP,ESFP,39599.74,32844.07,Failure
INTJ,ENFJ,32657.34,60271.56,Failure
ESFP,ENFP,41133.02,55895.35,Failure
ISTJ,ISTP,94019.93,76222.45,Failure
ENFP,INFJ,31349.73,34653.9,Failure
ENFJ,ISFJ,72439.01,33185.89,Failure
INFP,ESTP,54847.55,33956.95,Failure
ESFP,ISFP,54700.92,43572.56,Success
ISFP,ENTP,46605.2,45439.34,Success
INTP,ENTJ,98732.25,92262.91,Failure
ESTJ,ESFJ,42143.67,77280.8,Success
ISTP,ISTP,86492.59,71722.43,Failure
INFJ,ENFP,55169.25,82621.64,Failure
INFJ,ESTP,34526.54,77927.03,Failure
ENTP,ISTJ,61335.28,49656.7,Success
ISTP,INTJ,47008.53,56415.8,Success
INTP,ESTP,59520.99,61874.32,Success
ESTP,INFJ,69296.79,50034.36,Failure
ISTJ,INTJ,37918.63,49153.98,Success
INTJ,ENFJ,97579.02,71488.76,Success
ESFP,ESTJ,44846.13,70267.09,Failure
ESFP,ENFP,99026.98,94058.68,Success
ENFJ,ISFP,95338.94,47655.84,Failure
ISFJ,ENTP,90725.07,97333.31,Success
ISFJ,ENFP,82139,31747.41,Success
ESTJ,ENFP,85620.53,85548.47,Success
ISTJ,INFP,58160.05,91254.49,Failure
ISTP,INFJ,32216.83,54833.57,Success
ESTP,INFP,90675.14,40097.87,Success
ESTP,INFP,93479.73,72732.89,Success
ENTP,ENTP,85056.47,49671.98,Failure
INFP,ISFP,70529.07,92890.58,Success
ESTP,ENTP,44309.26,94515.45,Failure
INFJ,ESFP,31448.8,35931.89,Success
ENTJ,INTP,85999.36,56408.75,Success
ENFJ,ENFJ,69225.05,32638.13,Failure
ESFP,ISTJ,70556.71,34265.31,Failure
ISFJ,ISTP,60420.47,79034.46,Failure
ENFJ,ESFJ,91968.07,41419.54,Success
ENFP,ESTJ,40321.36,62828.39,Failure
ESFP,INFP,58641.28,44922.21,Success
ENFP,ENTJ,65875.89,70713.41,Success
INFJ,ENTP,60292.07,41745.74,Failure
ESTJ,INTP,94490.81,62805.18,Failure
ISFP,ENFJ,71736.92,31873.64,Success
INTP,ESTJ,86639.52,84360.03,Success
INTJ,ISTJ,39428.66,50549.14,Success
ESTJ,ESTJ,67140.13,84422.96,Failure
INTJ,ISFP,49011.53,38437.79,Success
ISTJ,INFJ,45035.28,86857.34,Failure
ESTJ,INFJ,93237.21,30123.21,Failure
ESTP,ISTP,74328.26,47844.84,Failure
INFP,ESTP,76045.76,81608.35,Failure
ISFP,INTP,89882.57,75075.66,Success
ENTJ,ISFJ,57519.86,61123.52,Failure
ENTJ,ENTP,63089.05,94821.63,Failure
ISTP,ESTP,78015.89,74340.98,Failure
ESFJ,ESTP,74157.82,56095.81,Success
ESFP,ESFJ,57825.16,89389.44,Failure
INTJ,ISTP,99365.85,64548.19,Failure
ESTP,INTP,50275.18,80368.04,Success
INTP,INFP,55774.54,55762.5,Success
ENFP,INFP,99955.33,43067.48,Failure
INTJ,ENTP,33189.86,33275.65,Success
INTP,INFJ,87212.42,99226.3,Success
ESTP,INTP,73477.68,57552.45,Failure
ENTP,INTP,37544.17,44165.25,Success
ESTP,INFP,71371.38,47770.37,Success
ENFP,ESTP,54304.2,74719.34,Failure
ISTP,INFJ,46531.26,92830.07,Success
ISTJ,ISFJ,62991.02,94929.24,Failure
ESFP,INTP,74698.52,64312.11,Success
INTP,INFJ,81466.96,75708.25,Success
INTJ,ISFP,55721.19,88708.76,Failure
ENTJ,ISTP,49087.96,60363.33,Success
ISFJ,ISTP,56699.37,33976.58,Success
INTP,ISTJ,96203.07,67477.95,Success
ESTP,ENFJ,64927.81,89684.17,Failure
ISTJ,ENTJ,49057.78,60414.74,Success
ESFJ,ISTJ,47433.39,73960.11,Failure
ENFP,ISFJ,33166.69,44215.07,Failure
INTJ,ISFP,58604.66,88271.32,Failure
INFP,INTP,62369.84,93326.92,Failure
ENTP,INTP,42657.09,34706.58,Failure
ISTJ,ISFJ,77481.02,54193.02,Failure
INFJ,ENFJ,63260.46,41865.46,Failure
ENFP,INFJ,78525.01,86001.13,Success
ISTP,ESTP,45184.49,39326.8,Success
INFJ,ISFJ,92522.42,57805.46,Success
ESFP,ISFP,95488.79,63927.83,Failure
ESFP,ENFP,94218.41,63237.95,Failure
ISTJ,INFJ,90804.71,59990.42,Failure
INFP,ISTJ,40591.55,34377.73,Success
ENFP,ESFJ,74487.13,60991.31,Success
ENFJ,ENFP,94593.86,89157.42,Success
INTP,ESTJ,95362.34,39481.42,Success
INTP,ESFJ,72170.23,96045.45,Failure
ENFP,INTJ,87764.9,32003.55,Success
INTJ,ENTJ,46906.34,52116.67,Success
ENTJ,ENFP,99995.42,48142.77,Failure
INTJ,ISTP,98553.28,62710.64,Success
ISFJ,ISTJ,79832.8,57268.5,Failure
ENFP,INTP,82519.39,55275.34,Success
INFP,ESTP,70645.39,99810.05,Failure
INFP,ENTJ,82547.1,98633,Failure
ISTJ,ENTP,74273.9,43651.76,Failure
ENTP,ISTP,35146.8,49625.76,Failure
ESFP,ESFJ,81199.16,92983.45,Success
ESTJ,ESFP,48160.73,38764.48,Failure
INFJ,INFJ,32524.69,78173.28,Failure
ENTJ,ISTJ,55701.02,66950.54,Success
ENFJ,INFJ,86531.04,80423.43,Failure
ESTJ,ISTP,31612.61,98087.38,Failure
ENTJ,ISTJ,40639.14,71734.73,Success
INFJ,ENTJ,94144.56,40820.99,Failure
ENFP,INFP,55964.44,83420.91,Success
ESTP,ENTP,55249.49,80423.2,Success
ISFJ,INTJ,81165.05,92741.42,Failure
INTJ,INFP,62408.86,58004.6,Failure
ESTJ,ISFP,50566.2,52696.31,Failure
ENFP,ESTJ,44176.86,72117.7,Failure
ISTP,ESFJ,68157.64,66711.5,Success
ESFJ,INFP,81797.07,64303.76,Success
INFJ,ISTJ,34728.01,93648.62,Success
ENFP,ISTP,38808.1,74178.53,Success
INFP,INFJ,36385.27,74784.85,Failure
ENFJ,ENFJ,34453.51,31374.81,Success
ESTJ,INFJ,60708.81,47292.28,Failure
INFP,ENTP,76613.98,87104.31,Success
ENTJ,ISFJ,75269.77,32784.9,Success
ENTJ,INFP,46862.51,97207.18,Failure
ENTP,INTP,84032.37,39733.49,Success
ENTP,ESFJ,89886.14,36913.01,Success
ENFJ,ISFJ,85394.61,51594.36,Success
ESTJ,ESFP,97891.93,50785.25,Failure
ISTP,INFP,94643.32,93839.54,Success
ESFJ,ENFJ,91302.73,91800.24,Failure
ISTP,INTP,40727.72,53051.02,Failure
ESTJ,ENTJ,90515.36,79639.68,Failure
INFP,ESFJ,63090.02,58196.97,Failure
INTP,INTP,75381.67,48612.48,Success
ISTJ,ENTP,72240.86,97267.8,Failure
ISTJ,ENFP,41797.35,74858.89,Success
ENTP,ISFJ,62444.77,96409.76,Success
ISTJ,ISTJ,33904.26,58615.56,Failure
INTP,INTP,57949.26,70585.95,Success
ISFJ,ENFP,73619.24,92099.13,Failure
ENFP,INTJ,50430.59,85362.15,Success
ISTJ,INFJ,96557.35,85989.31,Success
ISTP,ENFP,90944.69,53882.56,Success
ENTJ,ESTJ,56210.41,37655.58,Failure
ENFP,ESFJ,89615.07,32738.53,Success
ESTP,ENTJ,75613.98,75376.11,Success
ENFP,INTP,42596.93,66255.15,Failure
ENFP,INTJ,44490.21,55107.61,Success
ENTJ,ISTJ,72940.64,65401.73,Success
INTP,ENTP,85202.89,32640.9,Success
ISTP,ISFP,92214.59,80698.48,Success
INFP,ENTJ,43686.25,40971.43,Failure
INTP,ENTJ,85920.47,31089.05,Success
ENTP,INFJ,71088.89,35720.95,Failure
ESTP,ENTP,36497.98,74642.15,Failure
INFP,ISFJ,62103.69,54106.24,Failure
ESTJ,INTP,77466.13,41136.65,Success
ENTP,ESFP,40520.25,51038.46,Failure
ESFP,ESFP,82948.89,99256.1,Failure
ISFP,ISFJ,46979.26,31111.61,Success
ENFP,ISFJ,84575.42,70616.5,Failure
ENTJ,ENTP,54068.63,89376.98,Success
ENTJ,ISFP,53559.47,33577.05,Success
ENTP,INTP,58629.6,53060.37,Failure
ISFP,ESFJ,72767.92,75557.3,Failure
ISTJ,INTP,32087.49,51752.34,Success
INFP,ISFJ,52474.2,74932.63,Failure
ESFP,INTP,42639.93,64573.75,Failure
INTP,ESTP,36699.64,74108.89,Failure
ISTJ,ISTP,39725.84,62466.94,Failure
ESTP,ESTP,92360.22,68904,Failure
INFP,ENTJ,36739.06,60727.15,Failure
ESFP,ESFJ,93935.12,47304.73,Failure
INFP,ISTP,84314.24,98883.53,Failure
ENFJ,ISTP,86307,49919,Failure
ESTJ,ENFP,33637.77,94544.6,Failure
INTP,ESFP,84810.09,85823.06,Success
INFJ,ESFJ,84914.99,42900.85,Success
INTJ,INTP,51382.74,35840.13,Success
ENFJ,ESTP,58547.07,55352.35,Success
ESTJ,ENFP,42061.75,97049.31,Failure
ESFP,ESTJ,76938.02,67281.52,Success
ENTJ,INFJ,30787.97,61423.53,Success
ESFP,ISFP,34262.69,40692.28,Success
ISFP,INFJ,43176.08,96269.1,Success
ISTJ,ESTJ,78718.17,88440.77,Failure
INFP,ESTJ,54715.46,58165.33,Success
ENFP,INFJ,42767.89,37033.79,Failure
ESFJ,ENFJ,58492.97,99727.52,Success
ESTP,ENFP,46094.31,77081.89,Success
INFP,ESFP,31281.87,39644.05,Success
ISTJ,INFP,86442.94,62642.11,Failure
ENFJ,ESTP,31006.73,48721.46,Failure
ENTP,ISTJ,56100.34,69386.19,Failure
INTJ,ISTP,88063.19,53906.23,Failure
INTP,ENFJ,30602.7,52629.58,Failure
ISFP,ENTJ,31636.44,38586.09,Failure
INTP,ISTJ,48776.64,87798.53,Success
INFJ,ENTJ,87930.66,74786.83,Failure
ISTJ,INFJ,72834.02,79758.59,Success
ENFJ,ESTP,52455.45,87405.19,Failure
ENFP,ISTP,87208.34,91014.24,Failure
INFJ,ESFP,88928.31,31001.89,Success
ISFJ,ESTJ,64212.41,80678.84,Success
INFP,INTP,93404.11,48050.45,Success
ISTP,ESTJ,90284.86,83991.92,Failure
ISTP,ISTJ,40379.39,31753,Failure
ESTJ,ESFJ,93171.4,48134.71,Failure
ISTP,ENTJ,63472.89,96432.1,Failure
ESFJ,INFJ,79598.13,68944.51,Success
INFP,ISTP,39067.5,44331.85,Success
INFP,ISFJ,51212.27,92226.43,Success
ISFJ,INTP,37468.89,49134.39,Failure
ISFJ,ESTP,61906.41,99666.41,Failure
INTJ,INTJ,70949.31,56207.61,Failure
ENTJ,INFP,43259.8,73287.97,Failure
INTJ,INTP,84192.97,37736.1,Success
ISTJ,ENFP,50266.92,74179.27,Failure
ESFP,ENFP,84903.46,84664.81,Success
ISFP,ENTJ,89308.33,43081.86,Failure
INFJ,INFJ,96244.87,79781.03,Failure
ISTP,ENFP,46415.19,55373.57,Success
ISTP,INTJ,63525.86,95957.24,Success
INFP,ENTP,30261.04,72469.23,Success
ISFP,INTP,40512.16,36482.48,Success
ENFP,ESFJ,54205.43,94900.51,Failure
ENTP,ESTJ,81499.91,97379.4,Success
ESTJ,ESTP,66424.59,66417.97,Failure
ISTP,ENFP,59128.2,98665.82,Failure
ISTP,ENFJ,71357.28,47351.11,Success
INFJ,ISTP,30659.54,61624.46,Failure
ISFP,ESFJ,88854.11,86057.7,Success
ISFP,ENTP,98890.87,49675.05,Failure
ENTJ,INFJ,60712.47,49473.99,Failure
ENTP,ENFP,46556.31,35929.69,Success
ENTJ,ISFJ,39723.18,74904.3,Success
ESFJ,INTP,85916.16,37331.36,Success
ISTJ,INFP,67596.24,78551.44,Failure
ENTP,INFP,46033.54,61474.19,Failure
ISTJ,ISTP,94164.69,94240.62,Success
INTP,ENFJ,63228.18,68238.88,Success
ISFP,INFJ,59015.41,91095.16,Failure
INFJ,INFJ,81487.72,67684.84,Failure
ESTP,ENFJ,62735.46,93342.23,Failure
ISFJ,ISFP,38269.83,97610.02,Success
