"DJ","Music","Day","Attendance","Rating"
"Ania","Jazz","Saturday",98,4.6
"Brejcha","Rock","Thursday",158,2.5
"Mski","Rock","Saturday",53,1.9
"Ania","HipHop","Thursday",151,1.7
"Brejcha","Rock","Saturday",145,2.9
"Ania","HipHop","Friday",185,3.9
"Brejcha","Rock","Friday",161,2.8
"Monique","HipHop","Friday",102,3.2
"Blue","HipHop","Saturday",155,2.6
"Monique","HipHop","Saturday",200,4.7
"Brejcha","Rock","Friday",60,1.7
"Monique","HipHop","Thursday",84,2.9
"Blue","Techno","Thursday",184,4.6
"Blue","Rock","Thursday",38,4.4
"Blue","Rock","Friday",99,2.3
"Mski","Jazz","Thursday",64,2.4
"Mski","Techno","Friday",107,1.3
"Brejcha","Rock","Saturday",84,4.3
"Blue","Rock","Friday",136,3.4
"Mski","Techno","Friday",23,3.2
"Blue","Techno","Friday",96,2.4
"Ania","Jazz","Thursday",157,2.2
"Ania","HipHop","Friday",188,2.8
"Blue","Jazz","Thursday",88,3.1
"Brejcha","HipHop","Friday",156,3.2
"Ania","HipHop","Friday",184,3.4
"Monique","Techno","Friday",63,1.9
"Mski","HipHop","Friday",84,4.8
"Brejcha","HipHop","Thursday",129,4.6
"Mski","Jazz","Friday",108,4.4
"Mski","HipHop","Friday",151,2.2
"Blue","Rock","Saturday",87,2.3
"Blue","HipHop","Friday",103,1.4
"Ania","Techno","Saturday",24,2.9
"Monique","Rock","Friday",158,3.3
"Monique","Techno","Saturday",75,4.1
"Blue","Rock","Thursday",110,3.9
"Brejcha","Rock","Thursday",51,1.3
"Mski","Jazz","Thursday",42,3.2
"Ania","Techno","Thursday",143,3.3
"Ania","Rock","Friday",153,3.1
"Mski","Techno","Thursday",180,3.4
"Monique","Rock","Friday",179,1.9
"Brejcha","Techno","Thursday",198,4.5
"Blue","Techno","Friday",76,1.9
"Brejcha","Jazz","Saturday",158,3.9
"Ania","Techno","Thursday",184,2.3
"Monique","Jazz","Thursday",110,4.1
"Monique","Jazz","Saturday",166,1.8
"Brejcha","Rock","Friday",80,3.6
"Monique","Jazz","Friday",81,2.7
"Blue","Rock","Thursday",95,4.2
"Monique","Rock","Thursday",100,4
"Brejcha","Jazz","Friday",200,5
"Monique","Rock","Thursday",182,2.2
"Monique","Jazz","Thursday",25,3.2
"Monique","Rock","Friday",90,4.9
"Ania","Techno","Thursday",137,4.3
"Brejcha","Rock","Friday",152,3.6
"Monique","HipHop","Friday",200,4.5
"Monique","Rock","Friday",171,4.5
"Brejcha","Techno","Saturday",163,1.4
"Brejcha","Rock","Friday",188,2.2
"Ania","Jazz","Saturday",43,2.9
"Ania","Rock","Thursday",139,4.4
"Brejcha","Rock","Thursday",74,2.4
"Blue","Jazz","Friday",52,1.1
"Brejcha","HipHop","Saturday",100,1.8
"Mski","Jazz","Friday",194,2.1
"Mski","Rock","Friday",53,1.9
"Brejcha","HipHop","Saturday",115,1.4
"Blue","HipHop","Friday",101,2.1
"Blue","Jazz","Saturday",52,1.1
"Mski","Techno","Friday",194,2
"Brejcha","Rock","Thursday",190,2.6
"Monique","Techno","Saturday",116,4.3
"Ania","HipHop","Thursday",101,2.5
"Blue","Rock","Saturday",167,4
"Ania","Jazz","Thursday",167,2.2
"Ania","HipHop","Saturday",162,2.9
"Mski","Jazz","Saturday",118,1.6
"Brejcha","Techno","Thursday",114,3
"Blue","HipHop","Saturday",136,2
"Ania","HipHop","Saturday",55,4.9
"Monique","HipHop","Saturday",152,3.9
"Monique","Techno","Friday",148,1.4
"Monique","HipHop","Friday",22,1.5
"Mski","Techno","Thursday",175,3.3
"Monique","HipHop","Saturday",20,1.2
"Monique","Rock","Friday",31,4
"Blue","HipHop","Friday",112,3.4
"Monique","Jazz","Friday",71,3.4
"Blue","HipHop","Saturday",114,3.6
"Mski","Jazz","Friday",117,2.3
"Blue","Rock","Friday",155,4.8
"Blue","HipHop","Thursday",117,3.7
"Mski","Techno","Friday",47,4.6
"Brejcha","Rock","Saturday",126,2.7
"Monique","Rock","Saturday",186,2
"Mski","Techno","Friday",129,2.1
"Mski","Techno","Friday",55,1.4
"Mski","Rock","Friday",33,3
"Brejcha","Rock","Saturday",159,2.3
"Monique","HipHop","Friday",109,3.3
"Mski","Techno","Saturday",122,3.8
"Ania","Techno","Friday",56,3
"Blue","Jazz","Saturday",99,3.9
"Brejcha","Techno","Thursday",148,4.5
"Ania","Rock","Friday",155,3.8
"Ania","Rock","Saturday",120,4.3
"Ania","Jazz","Friday",27,4
"Mski","Techno","Thursday",120,4.2
"Brejcha","Jazz","Friday",34,1.5
"Brejcha","Jazz","Saturday",169,2
"Mski","Jazz","Saturday",158,2.1
"Ania","HipHop","Saturday",194,4.3
"Blue","Jazz","Saturday",61,1.5
"Brejcha","Rock","Saturday",115,3.1
"Blue","Techno","Saturday",140,3.5
"Blue","Jazz","Thursday",102,4.2
"Brejcha","Techno","Friday",183,4.5
"Ania","Jazz","Thursday",145,3.6
"Monique","Rock","Friday",24,1.8
"Mski","Techno","Friday",34,2.3
"Monique","Rock","Saturday",103,3.4
"Mski","HipHop","Thursday",154,3.3
"Brejcha","Rock","Saturday",55,3.8
"Mski","Jazz","Thursday",52,2.2
"Mski","Rock","Saturday",59,1.7
"Brejcha","Rock","Saturday",122,2.5
"Brejcha","Jazz","Friday",38,1.1
"Blue","Rock","Saturday",126,4.8
"Ania","Techno","Saturday",122,1.1
"Blue","Techno","Thursday",188,4.7
"Ania","Rock","Friday",42,1.1
"Ania","Rock","Saturday",49,2.4
"Ania","Rock","Saturday",166,1.6
"Monique","Techno","Thursday",172,2.3
"Mski","Jazz","Saturday",101,4.7
"Blue","HipHop","Friday",154,4.5
"Monique","Techno","Saturday",192,3.7
"Ania","HipHop","Thursday",175,3
"Ania","Jazz","Saturday",192,2.5
"Ania","Rock","Thursday",195,3.5
"Ania","Techno","Saturday",143,2.5
"Blue","Rock","Thursday",58,2.9
"Ania","HipHop","Friday",71,2.3
"Ania","Techno","Thursday",100,4.5
"Mski","HipHop","Thursday",33,2.9
"Monique","Jazz","Friday",103,3.5
"Monique","Rock","Friday",132,3.1
"Mski","Jazz","Thursday",48,2.6
"Monique","HipHop","Saturday",90,3
"Mski","Jazz","Saturday",78,4.2
"Ania","HipHop","Saturday",24,1.9
"Blue","Jazz","Friday",104,4.3
"Ania","Techno","Friday",103,1.5
"Ania","HipHop","Thursday",137,3.8
"Monique","HipHop","Saturday",20,1.4
"Monique","Rock","Saturday",167,4.7
"Mski","Techno","Thursday",38,3.5
"Brejcha","Rock","Friday",148,2.4
"Ania","HipHop","Thursday",62,2.3
"Monique","Rock","Thursday",92,2.7
"Blue","Jazz","Saturday",87,3
"Blue","Rock","Friday",92,2.3
"Monique","Rock","Thursday",106,4.7
"Ania","Jazz","Saturday",97,4.3
"Mski","Jazz","Saturday",175,3.4
"Monique","Rock","Saturday",56,2.9
"Brejcha","HipHop","Saturday",36,1.6
"Blue","HipHop","Friday",55,2.6
"Monique","Techno","Thursday",146,4.8
"Monique","HipHop","Friday",20,1
"Blue","HipHop","Friday",55,4.1
"Blue","Techno","Friday",128,3.2
"Monique","Techno","Thursday",148,1.7
"Brejcha","Jazz","Saturday",119,2.8
"Monique","HipHop","Saturday",48,2.2
"Brejcha","Techno","Thursday",43,5
"Monique","Rock","Friday",54,2.8
"Monique","Techno","Saturday",53,1.5
"Blue","Techno","Saturday",176,4.4
"Mski","Jazz","Friday",43,4.2
"Monique","Techno","Friday",52,1.3
"Blue","HipHop","Thursday",67,3.9
"Monique","HipHop","Saturday",200,4.9
"Brejcha","Jazz","Friday",127,3
"Ania","Techno","Thursday",134,1.8
"Brejcha","HipHop","Saturday",60,3.6
"Ania","Techno","Thursday",40,2.4
"Blue","Rock","Thursday",72,4.2
"Blue","Rock","Thursday",121,4.3
"Blue","Jazz","Friday",82,2.7
"Monique","Techno","Saturday",46,1.8
"Blue","Jazz","Friday",72,2.1
"Brejcha","Jazz","Friday",57,2.9
"Monique","HipHop","Thursday",44,2.1
"Mski","HipHop","Saturday",124,1.9
"Blue","HipHop","Thursday",80,1.1
"Brejcha","Techno","Friday",158,3.5
"Monique","HipHop","Saturday",68,2.6
"Ania","Rock","Saturday",75,4.5
"Blue","HipHop","Friday",156,3
"Brejcha","Rock","Saturday",106,2.9
"Brejcha","Jazz","Thursday",192,4.6
"Blue","HipHop","Thursday",176,2.9
"Blue","HipHop","Saturday",74,3.8
"Ania","Jazz","Thursday",48,3.5
"Brejcha","Techno","Saturday",48,4.2
"Monique","Techno","Saturday",149,4
"Blue","Techno","Saturday",60,1.5
"Blue","HipHop","Friday",97,3.2
"Monique","Jazz","Friday",133,3.8
"Ania","HipHop","Friday",23,3.9
"Brejcha","Rock","Friday",160,1.8
"Ania","Rock","Friday",142,2
"Mski","Rock","Saturday",29,3.4
"Mski","Techno","Saturday",83,2.9
"Brejcha","Techno","Friday",94,4.8
"Ania","Rock","Friday",143,4.1
"Mski","HipHop","Thursday",147,1.4
"Brejcha","Rock","Friday",87,4.2
"Brejcha","Techno","Saturday",145,3
"Monique","Jazz","Saturday",103,3.2
"Monique","Jazz","Thursday",166,2.9
"Blue","Techno","Saturday",144,3.6
"Monique","HipHop","Thursday",152,3.9
"Ania","Techno","Saturday",92,4
"Mski","Jazz","Saturday",144,4.9
"Blue","Rock","Saturday",39,3.9
"Blue","Rock","Thursday",142,1.1
"Ania","Techno","Saturday",61,2.5
"Mski","Rock","Thursday",22,4.5
"Mski","HipHop","Thursday",170,4.6
"Ania","Techno","Friday",181,2
"Monique","Jazz","Saturday",116,1.9
"Monique","Techno","Friday",111,3.1
"Monique","Techno","Thursday",25,2
"Brejcha","HipHop","Friday",82,4.4
"Blue","HipHop","Saturday",139,4.5
"Mski","Rock","Thursday",21,4.7
"Brejcha","Jazz","Friday",28,3.5
"Monique","HipHop","Saturday",200,4.7
"Mski","Jazz","Thursday",74,3.1
"Brejcha","HipHop","Thursday",20,4.8
"Blue","Techno","Friday",100,2.5
"Monique","HipHop","Friday",20,1.1
"Brejcha","Rock","Thursday",199,4.3
"Monique","Jazz","Saturday",135,2.2
"Mski","Jazz","Friday",194,3.3
"Monique","Jazz","Friday",179,2.5
"Brejcha","HipHop","Saturday",153,2
"Blue","Jazz","Friday",99,3.9
"Mski","Rock","Friday",83,1.2
"Mski","Rock","Saturday",59,1.7
"Mski","Rock","Thursday",20,4.9
"Monique","Rock","Thursday",121,2.3
"Monique","Techno","Saturday",58,1.8
"Ania","HipHop","Friday",127,3
"Mski","Rock","Thursday",100,1
"Mski","Techno","Friday",63,1.1
"Ania","Techno","Thursday",155,1.1
"Ania","Rock","Friday",61,3.6
"Ania","HipHop","Saturday",62,4.8
"Brejcha","Jazz","Saturday",147,2.9
"Blue","Rock","Friday",94,3.2
"Monique","Jazz","Saturday",64,4.4
"Mski","Techno","Saturday",192,4.4
"Blue","HipHop","Saturday",165,1.6
"Blue","Rock","Thursday",113,1
"Blue","Techno","Friday",116,2.9
"Monique","Techno","Thursday",179,2.2
"Blue","Rock","Friday",97,4.5
"Mski","Rock","Friday",67,1.5
"Brejcha","HipHop","Saturday",169,1.1
"Mski","Techno","Thursday",30,3.7
"Monique","Rock","Thursday",125,4.1
"Mski","HipHop","Thursday",167,1.8
"Mski","Jazz","Friday",142,2.9
"Monique","Rock","Saturday",22,4.3
"Brejcha","Rock","Thursday",112,1.4
"Ania","Jazz","Thursday",50,1.7
"Monique","Techno","Thursday",185,1.9
"Ania","HipHop","Saturday",53,3
"Brejcha","Jazz","Saturday",72,1.7
"Blue","Jazz","Saturday",96,3.7
"Brejcha","Rock","Saturday",167,3.4
"Mski","Techno","Saturday",179,1.6
"Blue","Jazz","Saturday",110,4.8
"Monique","Jazz","Saturday",94,1.9
"Ania","HipHop","Thursday",154,3.4
"Brejcha","Jazz","Thursday",106,2.8
"Brejcha","Techno","Friday",172,2.2
"Blue","Rock","Saturday",59,4.5
"Brejcha","Techno","Thursday",112,2.5
"Brejcha","Jazz","Friday",116,2.4
"Ania","Rock","Thursday",32,3.7
"Blue","Jazz","Thursday",76,2.3
"Monique","Jazz","Thursday",179,3.1
"Brejcha","Techno","Saturday",144,1.1
"Ania","Techno","Saturday",102,3.9
"Brejcha","Jazz","Saturday",170,4.2
"Brejcha","Techno","Friday",95,3.2
"Brejcha","Jazz","Thursday",111,1.5
"Ania","Techno","Saturday",167,3.1
"Ania","Jazz","Saturday",40,4.3
"Ania","HipHop","Friday",100,1.5
"Brejcha","Jazz","Friday",161,3.8
"Ania","HipHop","Thursday",163,1.5
"Ania","Techno","Thursday",121,3.6
"Mski","Techno","Thursday",165,1.6
"Brejcha","Rock","Friday",116,1
"Brejcha","Techno","Friday",20,2.9
"Mski","Rock","Friday",77,1.3
"Brejcha","HipHop","Friday",116,2.9
"Monique","Rock","Thursday",87,2.7
"Brejcha","Techno","Saturday",92,4.9
"Blue","Techno","Saturday",176,4.4
"Monique","HipHop","Saturday",200,4.5
"Ania","Rock","Thursday",91,3.9
"Ania","Rock","Friday",91,4.5
"Blue","HipHop","Thursday",86,2.9
"Blue","Techno","Thursday",160,4
"Ania","Techno","Saturday",163,3.8
"Brejcha","HipHop","Thursday",104,2.5
"Brejcha","HipHop","Friday",166,3.6
"Ania","Jazz","Saturday",67,3.6
"Monique","Jazz","Thursday",90,3
"Blue","Rock","Thursday",181,2.9
"Monique","Jazz","Thursday",65,2.1
"Blue","Rock","Friday",71,1.7
"Blue","Rock","Friday",97,1.5
"Brejcha","HipHop","Friday",41,3.5
"Ania","Rock","Saturday",145,1.2
"Brejcha","Jazz","Saturday",23,1.8
"Ania","Techno","Friday",112,3.5
"Blue","Jazz","Thursday",112,5
"Mski","Jazz","Friday",108,1.9
"Ania","HipHop","Friday",50,2.5
"Ania","Jazz","Saturday",191,4.4
"Blue","Rock","Friday",189,3
"Blue","Jazz","Friday",88,3.1
"Blue","HipHop","Friday",115,1.5
"Blue","Techno","Saturday",116,2.9
"Mski","Rock","Thursday",71,1.4
"Mski","Jazz","Thursday",193,2.6
"Blue","Jazz","Friday",100,4
"Mski","HipHop","Friday",112,2.7
"Brejcha","HipHop","Thursday",163,3.8
"Blue","Techno","Saturday",56,1.4
"Ania","HipHop","Saturday",160,4.6
"Ania","Rock","Friday",168,4.9
"Monique","Rock","Thursday",30,1.8
"Mski","Rock","Friday",27,3.7
"Brejcha","HipHop","Saturday",160,2.2
"Brejcha","Rock","Friday",135,3.1
"Mski","HipHop","Thursday",72,5
"Blue","Techno","Thursday",180,4.5
"Mski","HipHop","Friday",161,4.2
"Monique","HipHop","Friday",68,2.6
"Mski","Techno","Thursday",149,3.1
"Monique","Techno","Friday",107,3.6
"Blue","HipHop","Saturday",43,2.3
"Ania","HipHop","Thursday",165,1.7
"Brejcha","Techno","Saturday",51,2.2
"Blue","Rock","Friday",53,4.6
"Blue","HipHop","Saturday",150,1.9
"Brejcha","Jazz","Friday",182,4.3
"Monique","Jazz","Friday",179,4.2
"Mski","Rock","Thursday",59,1.7
"Blue","Jazz","Friday",82,2.7
"Blue","Jazz","Saturday",102,4.2
"Mski","Jazz","Friday",36,2.6
"Brejcha","HipHop","Friday",35,4.2
"Ania","Rock","Thursday",128,1.5
"Ania","Jazz","Saturday",84,4.4
"Blue","Rock","Friday",29,4.9
"Mski","Rock","Thursday",22,4.5
"Monique","HipHop","Saturday",130,3.6
"Ania","Rock","Friday",192,2.4
"Mski","Rock","Friday",50,2
"Ania","Rock","Saturday",32,4
"Ania","Rock","Friday",133,2.8
"Mski","HipHop","Saturday",166,4.8
"Ania","HipHop","Friday",93,1.8
"Brejcha","Rock","Friday",72,4.7
"Ania","Techno","Thursday",161,2.3
"Ania","Jazz","Saturday",122,2.7
"Mski","Jazz","Saturday",31,1.8
"Monique","HipHop","Saturday",26,1.6
"Monique","Techno","Friday",114,4.2
"Brejcha","Techno","Friday",74,1.5
"Brejcha","Jazz","Thursday",22,4.2
"Ania","Techno","Friday",142,4.6
"Blue","Techno","Thursday",172,4.3
"Monique","HipHop","Friday",200,4.9
"Monique","Rock","Friday",41,2.6
"Monique","HipHop","Thursday",176,4.2
"Monique","Techno","Friday",30,2.1
"Ania","Techno","Friday",62,3.7
"Brejcha","HipHop","Saturday",164,1
"Blue","Rock","Saturday",30,4.7
"Monique","Jazz","Saturday",110,4
"Mski","Rock","Thursday",34,2.9
"Blue","Techno","Friday",68,1.7
"Monique","Jazz","Friday",176,3.8
"Ania","HipHop","Friday",190,4.8
"Blue","HipHop","Saturday",156,4.2
"Mski","HipHop","Friday",160,2.6
"Mski","Techno","Friday",87,3.9
"Mski","HipHop","Friday",161,3.2
"Monique","Rock","Thursday",31,2.1
"Monique","Rock","Saturday",22,4.3
"Brejcha","Rock","Saturday",57,1
"Ania","Rock","Friday",156,2
"Ania","Jazz","Friday",54,3.8
"Blue","Techno","Saturday",148,3.7
"Ania","HipHop","Thursday",179,1.9
"Ania","HipHop","Friday",165,4.5
"Blue","Rock","Friday",104,2.5
"Brejcha","Rock","Friday",38,3.4
"Brejcha","Rock","Saturday",125,4.6
"Ania","HipHop","Saturday",69,4.9
"Ania","Rock","Friday",175,5
"Ania","HipHop","Friday",37,2.4
"Blue","HipHop","Saturday",93,2.7
"Monique","HipHop","Thursday",176,4.2
"Brejcha","HipHop","Thursday",147,1.2
"Ania","Jazz","Friday",147,4.1
"Monique","Jazz","Friday",120,4
"Blue","Rock","Friday",89,3.4
"Monique","Techno","Friday",103,1.8
"Blue","Techno","Friday",184,4.6
"Blue","Rock","Friday",127,3.7
"Ania","Techno","Friday",106,2.8
"Monique","Jazz","Friday",92,1.7
"Monique","Techno","Thursday",181,2.7
"Ania","Rock","Saturday",106,2.3
"Monique","Jazz","Saturday",105,3.2
"Brejcha","Techno","Thursday",56,2.3
"Brejcha","Jazz","Saturday",96,4
"Brejcha","Rock","Friday",93,4.2
"Ania","Jazz","Friday",145,1.7
"Brejcha","Jazz","Saturday",42,2.7
"Monique","Jazz","Saturday",43,1.4
"Brejcha","HipHop","Saturday",93,2.3
"Mski","Jazz","Thursday",39,1.6
"Brejcha","HipHop","Thursday",168,3.5
"Ania","Techno","Thursday",182,2.2
"Blue","HipHop","Saturday",102,4.3
"Ania","Rock","Saturday",181,4.2
"Monique","Jazz","Friday",102,2.8
"Monique","HipHop","Friday",130,3.6
"Mski","Jazz","Saturday",176,4.7
"Ania","Techno","Thursday",24,3.1
"Ania","Rock","Thursday",134,4.5
"Blue","Techno","Saturday",168,4.2
"Mski","Techno","Friday",116,3.8
"Brejcha","Jazz","Friday",188,4.4
"Ania","Rock","Friday",62,2.8
"Brejcha","Rock","Thursday",127,1.2
"Mski","Rock","Friday",23,4.3
"Brejcha","HipHop","Saturday",100,2.8
"Brejcha","Jazz","Friday",26,2.4
"Mski","Jazz","Saturday",175,2.7
"Blue","Rock","Saturday",172,2.3
"Blue","HipHop","Thursday",27,4.6
"Monique","Rock","Saturday",33,2.1
"Blue","Techno","Thursday",96,2.4
"Monique","HipHop","Thursday",32,1.8
"Brejcha","HipHop","Thursday",39,3.2
"Blue","Jazz","Thursday",110,4.8
"Blue","Jazz","Thursday",106,4.5
"Ania","Techno","Saturday",141,2.8
"Monique","HipHop","Saturday",200,4.7
"Monique","HipHop","Saturday",200,4.9
"Blue","Rock","Saturday",148,4.1
"Blue","Rock","Thursday",32,1.6
"Ania","HipHop","Friday",27,2.9
"Blue","HipHop","Thursday",115,3.8
"Blue","Rock","Friday",164,3.5
"Ania","Jazz","Saturday",63,1.5
"Ania","Rock","Thursday",146,1.1
"Mski","Rock","Friday",59,1.7
"Blue","Jazz","Thursday",57,1.3
"Monique","Rock","Saturday",165,3.8
"Brejcha","Jazz","Thursday",138,1.2
"Monique","Techno","Friday",24,4.1
"Mski","Jazz","Saturday",158,4.4
"Monique","Jazz","Thursday",84,2.7
"Blue","Jazz","Thursday",101,4.1
"Ania","Rock","Friday",109,2.7
"Blue","Rock","Saturday",48,4.5
"Blue","Techno","Thursday",96,2.4
"Monique","HipHop","Friday",168,4.1
"Mski","Jazz","Thursday",149,1.6
"Blue","Jazz","Saturday",82,2.7
"Mski","Rock","Friday",32,3.1
"Ania","HipHop","Friday",198,3.8
"Blue","Techno","Friday",64,1.6
"Monique","Techno","Friday",166,4
"Mski","HipHop","Thursday",28,4.7
"Mski","Jazz","Saturday",24,4.6
"Blue","Techno","Thursday",136,3.4
"Ania","Rock","Saturday",119,1.9
"Blue","Jazz","Saturday",67,1.8
"Brejcha","Techno","Saturday",150,3.5
"Blue","Techno","Thursday",196,4.9
"Brejcha","Techno","Thursday",198,1.4
"Mski","Techno","Thursday",159,4
"Ania","Rock","Thursday",110,1.1
"Ania","HipHop","Saturday",171,3.5
"Monique","Techno","Saturday",31,1.3
"Blue","Rock","Thursday",26,4
"Ania","Jazz","Thursday",30,1.1
"Blue","Techno","Saturday",88,2.2
"Brejcha","Techno","Thursday",133,1.8
"Ania","HipHop","Saturday",131,3.4
"Blue","Jazz","Saturday",59,1.4
"Ania","HipHop","Thursday",62,4.5
"Blue","Techno","Thursday",196,4.9
"Ania","Techno","Thursday",74,4.4
"Brejcha","HipHop","Friday",140,4.1
"Blue","Rock","Friday",73,2.5
"Blue","Jazz","Saturday",81,2.6
"Mski","Jazz","Friday",177,1.3
"Monique","Techno","Saturday",180,2.4
"Mski","HipHop","Friday",78,1
"Monique","HipHop","Thursday",200,4.7
"Ania","Jazz","Thursday",150,3.9
"Mski","Jazz","Friday",200,3.4
"Brejcha","Techno","Thursday",78,3.5
"Monique","Techno","Friday",173,1.9
"Blue","Techno","Friday",44,1.1
"Monique","Jazz","Thursday",122,2.8
"Blue","HipHop","Saturday",30,4.9
"Blue","HipHop","Friday",79,3.1
"Mski","Rock","Saturday",22,4.6
"Mski","HipHop","Thursday",168,2.8
"Blue","Rock","Thursday",69,1.2
"Ania","HipHop","Friday",114,4.9
"Blue","Techno","Friday",72,1.8
"Mski","HipHop","Thursday",116,4.3
"Ania","Techno","Thursday",115,1.1
"Blue","Techno","Saturday",156,3.9
"Blue","Techno","Saturday",188,4.7
"Mski","HipHop","Thursday",160,2.2
"Brejcha","Techno","Friday",21,3.4
"Monique","HipHop","Friday",200,4.8
"Blue","Rock","Thursday",139,3.9
"Monique","Techno","Thursday",30,4.2
"Mski","Rock","Thursday",34,2.9
"Blue","HipHop","Thursday",56,1.2
"Brejcha","Jazz","Friday",39,2.9
"Brejcha","Rock","Friday",172,2
"Ania","Rock","Friday",97,1.5
"Mski","HipHop","Saturday",183,4.8
"Brejcha","Techno","Thursday",113,1
"Ania","HipHop","Saturday",113,1.1
"Ania","Jazz","Saturday",185,4.2
"Mski","HipHop","Saturday",190,2.3
"Blue","Rock","Saturday",144,3.6
"Brejcha","HipHop","Saturday",35,3.2
"Monique","HipHop","Thursday",20,1.2
"Monique","Techno","Thursday",194,1.5
"Monique","Rock","Thursday",122,3.2
"Monique","Techno","Thursday",34,4.6
"Mski","Techno","Saturday",166,3.2
"Mski","HipHop","Friday",153,2.2
"Monique","Rock","Friday",71,4.7
"Ania","Rock","Thursday",59,2.4
"Blue","HipHop","Friday",129,4.8
"Mski","Techno","Thursday",157,1.2
"Mski","HipHop","Saturday",120,3.6
"Monique","Rock","Thursday",109,3
"Monique","Techno","Thursday",32,1.2
"Blue","HipHop","Saturday",100,2.1
"Blue","Rock","Thursday",148,1.9
"Mski","HipHop","Saturday",162,2.3
"Mski","Rock","Saturday",53,1.9
"Mski","Techno","Friday",77,2.7
"Ania","Techno","Saturday",143,3.5
"Ania","HipHop","Saturday",105,4.5
"Monique","HipHop","Friday",29,1.7
"Blue","HipHop","Saturday",115,2
"Ania","Rock","Saturday",53,2.5
"Mski","Rock","Saturday",50,2
"Monique","Jazz","Thursday",182,2
"Blue","Rock","Friday",184,3.1
"Ania","Techno","Friday",54,1.5
"Mski","Jazz","Friday",52,3.5
"Brejcha","HipHop","Friday",37,2.8
"Blue","HipHop","Friday",133,1.1
"Blue","Rock","Thursday",22,1.2
"Ania","HipHop","Friday",120,1.3
"Mski","Rock","Saturday",53,1.9
"Blue","HipHop","Saturday",61,3.1
"Mski","HipHop","Friday",195,4.5
"Ania","Jazz","Friday",28,4.2
"Mski","HipHop","Saturday",74,3.2
"Brejcha","Techno","Thursday",168,3.3
"Brejcha","Jazz","Saturday",82,2.9
"Mski","Techno","Saturday",59,2.1
"Blue","Jazz","Friday",88,3.1
"Mski","Jazz","Friday",42,2.7
"Ania","Techno","Saturday",97,1.8
"Brejcha","Jazz","Friday",73,4.3
"Monique","Jazz","Thursday",62,3.5
"Ania","Techno","Friday",172,4.1
"Ania","Jazz","Saturday",148,2.5
"Mski","HipHop","Thursday",119,1.5
"Ania","Rock","Friday",170,3.4
"Brejcha","HipHop","Friday",195,4.4
"Blue","Rock","Thursday",140,1.7
"Ania","Jazz","Saturday",117,2
"Mski","Jazz","Saturday",150,2.8
"Blue","Jazz","Thursday",99,3.9
"Monique","Rock","Thursday",100,4.4
"Brejcha","HipHop","Saturday",118,2.8
"Monique","Jazz","Thursday",88,3.8
"Mski","Techno","Saturday",174,2.7
"Mski","Jazz","Saturday",145,4.1
"Blue","HipHop","Thursday",186,3.9
"Ania","Techno","Friday",145,1.4
"Ania","Rock","Thursday",139,5
"Monique","Rock","Thursday",190,3.7
"Ania","Rock","Thursday",194,2.9
"Ania","Jazz","Friday",69,4.3
"Brejcha","Jazz","Saturday",121,1.8
"Ania","Jazz","Thursday",112,1.8
"Ania","Jazz","Thursday",172,4.4
"Blue","Rock","Thursday",28,2.2
"Blue","Techno","Friday",100,2.5
"Brejcha","Jazz","Friday",154,4.3
"Brejcha","Techno","Saturday",200,2.9
"Monique","Techno","Thursday",42,2.8
"Brejcha","HipHop","Saturday",48,1.7
"Blue","HipHop","Thursday",114,4
"Ania","Rock","Thursday",177,3.7
"Ania","Techno","Thursday",110,2.9
"Monique","Techno","Thursday",101,1.3
"Blue","Jazz","Thursday",102,4.2
"Ania","Rock","Friday",42,1.5
"Blue","Rock","Thursday",20,4.3
"Ania","HipHop","Friday",159,3.7
"Brejcha","HipHop","Thursday",153,4.5
"Monique","Rock","Saturday",68,4.7
"Mski","Rock","Saturday",22,4.6
"Monique","Jazz","Thursday",154,4.3
"Monique","Jazz","Friday",126,3.2
"Brejcha","Techno","Friday",194,4.1
"Ania","Rock","Saturday",36,4.8
"Brejcha","Jazz","Saturday",124,1.2
"Mski","Rock","Thursday",26,3.8
"Monique","Rock","Thursday",101,3.7
"Brejcha","HipHop","Saturday",73,3.8
"Brejcha","HipHop","Friday",185,1.9
"Monique","HipHop","Friday",185,4.3
"Brejcha","Jazz","Thursday",188,3.1
"Ania","Jazz","Saturday",48,2
"Blue","Jazz","Friday",107,4.6
"Brejcha","Rock","Saturday",100,4
"Mski","HipHop","Friday",89,1.2
"Monique","Jazz","Friday",163,3.8
"Ania","Jazz","Thursday",91,4.2
"Monique","Techno","Saturday",191,4.5
"Monique","HipHop","Thursday",20,1.1
"Brejcha","Rock","Friday",198,2.5
"Ania","HipHop","Friday",39,1.3
"Ania","Jazz","Saturday",179,1.2
"Mski","Rock","Saturday",29,3.4
"Brejcha","HipHop","Friday",39,1.8
"Monique","Rock","Thursday",109,4.8
"Mski","Jazz","Friday",142,2.1
"Mski","Jazz","Friday",180,2.1
"Ania","HipHop","Friday",79,4.7
"Ania","Jazz","Thursday",86,1.7
"Monique","Techno","Thursday",145,2.1
"Blue","Techno","Saturday",120,3
"Monique","HipHop","Saturday",176,4.2
"Mski","Rock","Saturday",23,4.4
"Ania","Rock","Thursday",76,4.5
"Ania","HipHop","Thursday",112,4.2
"Brejcha","Jazz","Friday",190,4.9
"Monique","Techno","Thursday",94,2.9
"Blue","Rock","Saturday",78,1.6
