"ZIQ","Piv","Target","Zyrc","Xelco","Yulos","Pilms","WAC"
3.03,5,9680.45,"Quilante",1965,87,4324.59550561798,"ET"
2.53,20,10259.42,"Solario",1989,63,2963.59550561798,"EM"
2.22,25,10213.24,"Solario",1987,74,3190.95238095238,"ET"
1.93,50,13183.81,"Vibranto",2017,87,3535.81632653061,"EM"
2.1,28,10229.4,"Solario",1999,33,1130.11111111111,"EM"
1.74,25,11848.73,"Esplen",2010,23,5041.63157894737,"ET"
2.68,2,11731.41,"Esplen",1970,63,1357.82278481013,"FB"
2.72,29,10289.19,"Solario",2002,92,4095.27536231884,"ET"
2.45,7,10250.1,"Solario",1973,2,34593.3333333333,"FB"
2.29,48,10228.09,"Solario",1987,15,10208,"FC"
2.85,0,11707.01,"Esplen",2018,84,14023,"EM"
1.97,5,11805.72,"Esplen",1987,50,36538.3333333333,"EM"
2.06,54,9799.96,"Quilante",2012,24,2808.81632653061,"FB"
2.88,97,13285.59,"Vibranto",1982,24,36071.3333333333,"EM"
2.54,16,10257.98,"Solario",1976,1,2634.27536231884,"FB"
2.5,24,5586.3,"Ardent",2004,43,5393.27586206897,"FC"
2.53,13,9757.14,"Quilante",1976,99,6868.45454545455,"FC"
2.38,12,11756.34,"Esplen",1966,91,4552.42857142857,"FB"
2.5,2,9741.59,"Quilante",2010,25,3380,"FC"
2.42,17,11746.9,"Esplen",2019,16,5401.90322580645,"FC"
2.74,37,10276.32,"Solario",1969,34,18082.6666666667,"FC"
3.24,12,9691.25,"Quilante",1983,47,1452.10101010101,"EM"
2.17,16,13204.75,"Vibranto",1987,75,10506.3529411765,"FB"
2.43,8,11760.11,"Esplen",2019,36,3293.7012987013,"FC"
2.15,12,11786.81,"Esplen",2014,92,2910.14285714286,"FC"
3.06,7,13308.19,"Vibranto",1966,79,1556.95652173913,"FB"
3.02,11,9714.97,"Quilante",2002,83,3462.33333333333,"ET"
2.3,16,9751.26,"Quilante",1981,88,3193.7027027027,"FC"
2.61,36,11738.92,"Esplen",1983,39,4904.14285714286,"FC"
2.25,10,11767.31,"Esplen",1988,97,5476,"ET"
2.65,22,10278.27,"Solario",1965,33,2593.22222222222,"FC"
2.21,3,10224.25,"Solario",1996,81,4174.59550561798,"FB"
2.57,13,11750.9,"Esplen",2008,46,10366.3529411765,"ET"
2.83,2,10283,"Brillante",2000,13,6248.45070422535,"FB"
1.76,32,13172.35,"Vibranto",1976,42,20526,"EM"
2.85,6,11716.47,"Esplen",1984,82,1910.38596491228,"FB"
2.36,2,9776.81,"Quilante",1993,77,4358.90322580645,"EM"
1.96,10,9796.66,"Quilante",1967,93,3055.5,"FC"
2.69,14,9716.31,"Quilante",1976,1,3037.85185185185,"EM"
2.48,0,11755.94,"Esplen",2019,68,2286.81632653061,"FB"
2.17,8,5062.6,"Ardent",1983,62,4041,"EM"
1.9,21,9810,"Brillante",1977,98,2063.42528735632,"FB"
2.61,30,10245.77,"Solario",1982,78,5772.77777777778,"EM"
2.19,3,4993.22,"Ardent",2011,47,10105.3529411765,"FC"
3.23,50,9677,"Brillante",1969,67,2231.91525423729,"FC"
2.49,6,11750.14,"Esplen",2002,51,4754.47058823529,"ET"
2.59,6,5042.41,"Ardent",2016,99,6305.46153846154,"EM"
2.69,8,10269,"Brillante",1974,51,1680.79069767442,"FB"
2.06,11,9785.87,"Quilante",2009,82,6222.35135135135,"ET"
2.34,18,9771.52,"Quilante",1998,7,5090.92783505155,"EM"
2.4,13,5170.47,"Ardent",2014,70,3473,"FB"
2.31,36,9785.56,"Quilante",1976,75,1936.36363636364,"FC"
2.55,21,9755.08,"Quilante",2003,6,6271.0243902439,"EM"
2.08,7,5041.6,"Ardent",2001,56,5562.91525423729,"FB"
2.24,6,9776,"Brillante",1987,10,2731,"FC"
2.57,52,7727.92,"Ardent",1986,43,8492.7037037037,"EM"
2.74,14,9726,"Brillante",1971,26,7163.42857142857,"ET"
2.91,4,9709,"Brillante",2015,9,6060.51219512195,"EM"
3,9,9693.57,"Quilante",1983,38,2962.95652173913,"ET"
2.29,0,13229.13,"Vibranto",1976,41,4798.33333333333,"FC"
2.23,36,10223.69,"Solario",1979,37,5577.15789473684,"FB"
2.66,82,10284.9,"Solario",1985,59,15684,"FC"
1.61,45,11851.46,"Esplen",1986,15,6017.95238095238,"FB"
2.48,28,10255.96,"Solario",2005,73,1521.10101010101,"FC"
2.17,5,10223.44,"Solario",1968,77,5910.88888888889,"ET"
1.99,39,13203.52,"Vibranto",1982,22,4424.47058823529,"EM"
2.93,3,10302.5,"Solario",1972,43,4450.27536231884,"EM"
1.38,5,9858.71,"Quilante",2006,64,5240.66666666667,"FC"
3.2,6,11667.11,"Esplen",1971,22,2503.58139534884,"ET"
3.18,13,11680.98,"Esplen",1995,5,2060.47058823529,"FB"
3.19,54,11668,"Esplen",1975,86,34242.3333333333,"FB"
2.04,37,6375.22,"Ardent",1974,3,5957.77777777778,"FB"
2.4,20,13251.56,"Vibranto",1995,98,4602.81927710843,"FB"
3.18,27,11671.72,"Esplen",1990,13,4196.81632653061,"ET"
2.12,4,5011.32,"Ardent",1983,62,2815.15151515152,"ET"
2.8,34,13277.25,"Vibranto",2008,11,5606.33333333333,"FC"
2.17,5,11783.53,"Esplen",1967,68,3650.71428571429,"FB"
2.57,1,9743,"Brillante",1969,89,2367.42528735632,"FB"
2.35,2,10230.03,"Solario",1978,1,8641.45454545455,"FB"
1.86,14,13185.33,"Vibranto",2005,69,3733.59550561798,"EM"
2.5,18,5322.4,"Ardent",1981,27,12266.9090909091,"EM"
1.5,18,13166.88,"Vibranto",1994,73,7493.17647058824,"FC"
2.82,2,11720.09,"Esplen",1991,9,5536.71428571429,"EM"
3.05,17,13286.89,"Vibranto",1979,94,7904.85714285714,"FB"
2.35,6,13231.65,"Vibranto",1989,70,5645.91304347826,"FC"
2.57,22,5497.01,"Ardent",1975,84,4309,"EM"
2.71,25,11708.7,"Esplen",2015,86,3059.78947368421,"FC"
3.07,18,10302.25,"Solario",2014,37,4600.95652173913,"FC"
2.59,0,10275,"Solario",2002,12,3703.72727272727,"FB"
2.82,83,9712.57,"Quilante",1976,32,3525.66666666667,"ET"
2.81,7,13291.83,"Vibranto",1966,32,16917.6666666667,"FC"
2.68,30,9728.12,"Quilante",1988,20,5692,"FB"
1.37,11,9863,"Brillante",1969,99,6913.82608695652,"EM"
3.11,17,9701.42,"Quilante",2001,83,3985.17647058824,"EM"
2.04,24,11786.24,"Esplen",1983,47,2557.58823529412,"ET"
3.03,5,13304.44,"Vibranto",2002,21,2964.71428571429,"EM"
2.63,13,9737,"Brillante",1991,63,4510.95238095238,"EM"
3.56,47,11652.68,"Esplen",1966,10,8964.82608695652,"FC"
2.66,52,13267.14,"Vibranto",1975,55,2751.81632653061,"FB"
3.21,7,13327.92,"Vibranto",1997,63,4483.07692307692,"ET"
2.12,1,10202.85,"Solario",2009,95,4550.45454545455,"FC"
2.63,7,10263.21,"Solario",1967,72,6151,"ET"
1.92,9,10192,"Brillante",2018,4,7956.66666666667,"FB"
2.42,17,11751.03,"Esplen",1983,13,5919.65957446809,"EM"
2.96,25,11704.75,"Esplen",2002,49,4763.15384615385,"EM"
2.17,0,13232.22,"Vibranto",1972,35,12471.9090909091,"EM"
2.53,9,10237.33,"Solario",1974,81,4943.2688172043,"FB"
3.36,0,5011.6,"Ardent",1976,33,5021.95238095238,"FC"
2.7,13,13282.68,"Vibranto",2015,17,2386.95238095238,"EM"
2.87,22,9723.72,"Quilante",1974,7,4068.82978723404,"FB"
2.13,22,13220.48,"Vibranto",1990,87,4815.27586206897,"EM"
2.39,3,10222.42,"Solario",1970,84,4086.10101010101,"FC"
3.63,2,9631.99,"Quilante",1994,48,7161.7027027027,"FB"
2.92,30,9717.73,"Quilante",1970,54,6913,"FB"
2.51,20,13226.68,"Vibranto",2001,20,3921.78947368421,"FB"
2.86,43,11700.17,"Esplen",1994,91,7373.77777777778,"FB"
3.4,8,9660,"Brillante",2003,16,10470.3333333333,"FC"
2.57,6,13244.87,"Vibranto",1976,98,2360.13793103448,"EM"
2.5,20,9741.92,"Quilante",1968,90,4217.56790123457,"ET"
1.23,47,7198.32,"Ardent",1973,79,3540.77777777778,"ET"
2.54,1,11729.11,"Esplen",1978,84,8204.27586206897,"ET"
2.49,15,13247.99,"Vibranto",1985,41,9286.45454545455,"FB"
2.92,4,10285.46,"Solario",1979,10,8088.66666666667,"ET"
2.35,23,11771.78,"Esplen",1969,62,8118.30769230769,"FB"
1.98,28,13185.57,"Vibranto",1986,12,10494.3333333333,"FB"
3.09,46,7108.4,"Ardent",1969,9,3486.30158730159,"ET"
1.87,13,10186.28,"Solario",2015,38,16998.7142857143,"FB"
1.57,25,13165.54,"Vibranto",1986,88,33860.3333333333,"EM"
2.27,32,13219,"Vibranto",1995,8,16831.6666666667,"FC"
2.62,7,9718.02,"Quilante",1983,25,3266.45070422535,"FB"
3.14,44,13297.84,"Vibranto",1996,45,7504.7027027027,"FB"
1.98,12,13191.97,"Vibranto",2012,82,16905.6666666667,"FC"
1.95,16,9804.43,"Quilante",1994,83,5178.57142857143,"EM"
1.7,13,10177.71,"Solario",2019,34,6507.5,"EM"
3.13,39,9680.68,"Quilante",1973,28,4603,"FC"
2.99,3,9696.08,"Quilante",1995,44,4941.18181818182,"FB"
3.09,24,9680.13,"Quilante",1991,29,3385.91525423729,"FB"
2.12,22,11791.5,"Esplen",1982,50,2869,"FC"
2.55,2,13267.53,"Vibranto",2015,76,4868,"FC"
2.86,14,13293.24,"Vibranto",2013,81,2596.35135135135,"FC"
2.44,93,11753.1,"Esplen",1975,18,5096,"EM"
2.63,36,9733.12,"Quilante",1993,5,8175.30769230769,"EM"
2.76,18,13277.69,"Vibranto",2000,48,5570.77777777778,"EM"
2.61,15,5221.22,"Ardent",1975,57,2757.78947368421,"FC"
3.17,5,10312.68,"Solario",1985,31,5517.79069767442,"FC"
3.03,10,10308.17,"Solario",2004,13,2836.82278481013,"ET"
2.08,8,13207.44,"Vibranto",2014,62,3461.51219512195,"ET"
3.19,40,13314.91,"Vibranto",1999,78,7439.45454545455,"EM"
2.25,8,11786.94,"Esplen",1996,20,2296.35135135135,"EM"
2.64,40,13248.86,"Vibranto",1997,43,5378.47619047619,"FC"
3.14,4,11676.21,"Esplen",1985,89,8606.45454545455,"EM"
2.38,4,9762,"Brillante",2015,61,5867.91304347826,"EM"
2.1,34,13214.31,"Vibranto",1990,76,2595.82978723404,"FC"
2.98,0,9702.61,"Quilante",2006,24,5597.18181818182,"FB"
2.81,18,11693.64,"Esplen",2017,54,1731.40816326531,"FB"
2.87,58,11709.42,"Esplen",2011,89,5376.57142857143,"ET"
3.1,42,9690,"Brillante",1989,67,5107.34426229508,"FB"
2.79,36,10279,"Brillante",1964,72,5584,"ET"
1.98,82,9811.05,"Quilante",1994,30,4944.35135135135,"FB"
2.54,54,13245.74,"Vibranto",2013,29,3354.58823529412,"ET"
2.78,22,9740.11,"Quilante",1998,97,9096,"EM"
1.91,56,10178.82,"Solario",2000,57,9337.82608695652,"ET"
2.71,33,6096.13,"Ardent",2018,9,3196.42528735632,"FC"
2.21,10,11778.37,"Esplen",1995,55,2225.2688172043,"ET"
2.6,12,10260,"Brillante",2014,37,6230.15151515152,"FC"
2.1,29,10210.89,"Solario",1966,44,104214,"FC"
1.9,8,10200.75,"Solario",1981,23,2959.79245283019,"ET"
2.25,16,9771.67,"Quilante",1996,11,2354.46153846154,"ET"
2.72,17,11717.26,"Esplen",1993,88,16769,"FC"
3.21,7,13324.44,"Vibranto",2000,11,2140.45070422535,"ET"
2.55,15,13257.67,"Vibranto",1972,93,4265.65957446809,"FC"
4,55,9582.66,"Quilante",1997,59,2460,"EM"
2.43,20,9774.85,"Quilante",2011,94,4291.92783505155,"FC"
2.15,56,8128.97,"Ardent",1979,70,5197.05128205128,"EM"
2.8,38,10288.69,"Solario",1980,73,8380.45454545455,"ET"
2.83,48,9723.54,"Quilante",1977,5,37799.3333333333,"FC"
2.77,12,5117.21,"Ardent",2018,65,14130.1111111111,"ET"
2.63,3,13269.17,"Vibranto",2014,42,5135.33333333333,"ET"
2.76,12,11728.99,"Esplen",1997,33,3926.95652173913,"ET"
3.38,7,10338,"Brillante",1994,92,3836.88888888889,"EM"
2.2,8,11763.02,"Esplen",1966,10,5421.47058823529,"EM"
2.96,8,13277.71,"Vibranto",2002,12,9323.15789473684,"FC"
3.12,10,9688,"Brillante",1979,25,2373.71428571429,"EM"
2.41,4,9759,"Brillante",2017,39,1196.9010989011,"ET"
2.57,32,11735.33,"Esplen",1979,12,2441.13793103448,"EM"
2.44,18,11776.56,"Esplen",1989,13,3916.92783505155,"EM"
2.8,6,13277.47,"Vibranto",1978,34,3184.57894736842,"ET"
2.58,7,13264.33,"Vibranto",2015,99,5793,"EM"
2.16,22,11786.72,"Esplen",1975,28,2501.86301369863,"EM"
2.6,18,9739.34,"Quilante",2001,31,4611.91525423729,"ET"
3.26,6,10321.94,"Solario",1988,81,13229.9090909091,"EM"
2.98,26,10298,"Brillante",1984,37,11394.9090909091,"EM"
2.2,14,13218.07,"Vibranto",2008,58,4510.59550561798,"EM"
2.31,10,9766.93,"Quilante",2012,49,6989.17647058824,"EM"
2.73,13,10265.15,"Solario",2006,49,8974.66666666667,"ET"
1.46,14,13140.78,"Vibranto",2004,5,6974.14285714286,"ET"
2.77,2,13279.25,"Vibranto",1973,28,10016.3333333333,"EM"
2.91,0,10298.97,"Solario",1976,90,3335.90322580645,"FC"
2.01,10,9811.92,"Quilante",2019,11,3743.46153846154,"EM"
3.03,42,11693.93,"Esplen",1967,81,2966.15151515152,"FC"
2.82,6,9718,"Brillante",2005,9,4624.47058823529,"ET"
2.5,4,9745.27,"Quilante",1981,40,3725.14285714286,"EM"
3.03,6,10300.72,"Solario",1966,45,5697.58139534884,"FB"
3.59,6,9652.15,"Quilante",2012,61,2046.81632653061,"ET"
3.14,48,13296.21,"Vibranto",1991,40,4230.27536231884,"FB"
2.47,31,5964.06,"Ardent",1968,98,4818.58823529412,"FB"
2.81,37,6372.82,"Ardent",2008,17,9336.82608695652,"FC"
2.71,37,10271,"Brillante",2008,41,5421.30158730159,"EM"
2.22,17,10221.76,"Solario",1999,57,5744.91525423729,"EM"
2.43,3,11755.2,"Esplen",2008,83,4916.58139534884,"FC"
2.38,4,5002.77,"Ardent",2004,25,6086,"FB"
2.65,17,10287.64,"Solario",2014,48,4883.33333333333,"ET"
2.61,1,9748.69,"Quilante",2003,25,5688.33333333333,"ET"
1.97,68,11790.54,"Esplen",1983,7,3066.10256410256,"FB"
2.68,20,13273.32,"Vibranto",1967,67,7342.55555555556,"EM"
1.79,9,13192.68,"Vibranto",2002,27,3796.53731343284,"FC"
2.23,14,9764.19,"Quilante",2009,47,21571.6666666667,"ET"
3.35,11,10329.17,"Solario",1994,95,5949.27586206897,"FC"
2.37,57,8243.9,"Ardent",2019,95,4851.05128205128,"FC"
1.98,39,13191.68,"Vibranto",1993,87,8739.33333333333,"ET"
1.93,4,11797.72,"Esplen",1988,8,3312.35135135135,"ET"
2.7,14,9743.67,"Quilante",1984,92,8125.27586206897,"FB"
2.55,5,11745.92,"Esplen",1982,23,5794.57142857143,"FC"
3.13,22,11707.04,"Esplen",2010,2,6353.13793103448,"FB"
3.01,20,9699,"Brillante",2009,27,36219.3333333333,"FB"
1.6,14,9837.27,"Quilante",2004,43,5301.7037037037,"FC"
2.9,111,10290,"Brillante",1988,85,12049.3076923077,"ET"
2.28,4,11771.22,"Esplen",1997,25,5096.27536231884,"ET"
2.24,14,10198.3,"Solario",1986,58,6358.35294117647,"EM"
2.31,46,10224.53,"Solario",1989,13,4927.42528735632,"EM"
3.03,26,11691.03,"Esplen",2010,27,3208.47619047619,"EM"
2.32,15,10222.5,"Solario",1976,10,20261.6666666667,"FC"
2.33,22,5465.61,"Ardent",1994,5,3897.56790123457,"FC"
2.04,5,10188.73,"Solario",1989,16,3982.65957446808,"EM"
2.69,23,9737.63,"Quilante",1973,98,5685.33333333333,"EM"
2.28,6,11769.36,"Esplen",1991,95,5183.86301369863,"FC"
2.25,8,9773.55,"Quilante",2003,88,7532.57894736842,"ET"
2.91,14,11691.49,"Esplen",1977,79,3379.56790123457,"EM"
1.98,0,10198,"Brillante",1986,22,2820.07692307692,"FB"
2.39,14,11760.48,"Esplen",1999,53,8478.45454545455,"ET"
2.31,36,9757.15,"Quilante",1965,31,3036.42528735632,"FC"
2.45,7,10221.49,"Solario",2009,10,9213,"FC"
1.82,24,11832.45,"Esplen",2001,69,1504.47058823529,"FC"
2.77,32,9726.69,"Quilante",2008,47,1076.40816326531,"FC"
3.25,8,11671.33,"Esplen",1993,61,6983.66666666667,"FB"
3.17,1,5000.35,"Ardent",1978,40,3976.13793103448,"EM"
2.92,16,13292.98,"Vibranto",1978,29,16969.7142857143,"FC"
2.41,57,10238.92,"Solario",1967,38,2277.40816326531,"FC"
2.7,24,13264.55,"Vibranto",1978,64,3932.88888888889,"FC"
2.43,11,11757.03,"Esplen",1976,60,4821.91525423729,"FB"
1.86,2,10199.7,"Solario",1991,67,5546.47619047619,"ET"
2.31,22,9769,"Brillante",1977,52,8846.66666666667,"ET"
1.49,55,9833.32,"Quilante",2015,21,7966.15384615385,"ET"
2.65,24,9734.81,"Quilante",1971,80,4632.0243902439,"FC"
2.23,31,10211.2,"Solario",1991,14,8310.30769230769,"ET"
1.95,10,9803.41,"Quilante",2007,64,4851.33333333333,"ET"
2.11,4,9795.2,"Quilante",2017,30,2747.66666666667,"ET"
2.04,32,9806.11,"Quilante",1997,93,9450.35294117647,"FC"
2.01,1,5011.23,"Ardent",1968,15,4394.45070422535,"FB"
2.17,35,10218.28,"Solario",2004,57,5387.14285714286,"FC"
2.21,15,13208.68,"Vibranto",1982,67,12559.1111111111,"EM"
2.02,8,13218.36,"Vibranto",2003,88,6084.57894736842,"ET"
2.6,8,11725.38,"Esplen",1984,99,4330.40816326531,"FB"
2.21,3,9785.09,"Quilante",1977,84,11857.9090909091,"ET"
2.54,31,10283.91,"Solario",2013,44,5367.91304347826,"ET"
2.04,14,13210.64,"Vibranto",1983,59,2131.33333333333,"FC"
2.32,22,10238.57,"Solario",1981,22,7559.33333333333,"FC"
2.71,34,13283.57,"Vibranto",1977,74,5984.10256410256,"ET"
2.75,32,11712.51,"Esplen",1989,8,2060.46153846154,"FB"
1.98,25,11811.59,"Esplen",2019,90,6053.79069767442,"FC"
1.88,5,13177.98,"Vibranto",2019,44,6687,"ET"
2.5,25,9750,"Brillante",1991,74,4787.90322580645,"FB"
2.26,34,10226,"Brillante",1994,80,4473,"FB"
3.09,14,11688.85,"Esplen",2007,84,2153.35135135135,"ET"
2.78,35,9725.88,"Quilante",1978,50,14523,"FC"
2.34,6,5024.7,"Ardent",2006,76,6084.07692307692,"EM"
2.2,25,10211.4,"Solario",1973,35,3952.2688172043,"FB"
1.99,39,13201.79,"Vibranto",1987,27,5144,"FB"
2.48,26,11762.91,"Esplen",1998,29,6142.79069767442,"EM"
2.94,56,11694.72,"Esplen",1972,82,4865.59550561798,"EM"
2.58,11,10258,"Brillante",1998,18,8831.15384615385,"FB"
1.96,32,9805.17,"Quilante",1972,37,2225.47058823529,"FB"
2.37,32,9758.31,"Quilante",2009,59,4010.8064516129,"ET"
2.95,3,5019.21,"Ardent",1981,65,101021,"EM"
3.15,4,11691.29,"Esplen",1965,72,3569.5,"EM"
2.79,8,13269.31,"Vibranto",2012,36,8898.35294117647,"EM"
1.91,8,10191.33,"Solario",2016,52,5746.95238095238,"ET"
2.51,44,10232.63,"Solario",1972,49,3693.33333333333,"FC"
1.98,12,10193.71,"Solario",1972,14,8683.85714285714,"FB"
2.54,39,10245.38,"Solario",1980,57,5329.82978723404,"EM"
2.44,8,9756,"Brillante",1979,15,4390.42857142857,"FC"
2.71,30,5905.86,"Ardent",1969,68,51149,"FB"
2.55,51,9748.63,"Quilante",1998,63,1609.88888888889,"ET"
2.18,16,9793.74,"Quilante",1967,33,8523.35294117647,"ET"
2.35,2,13223.9,"Vibranto",1974,75,16546.7142857143,"FB"
2.11,9,9768.99,"Quilante",1993,81,5650.17647058824,"ET"
2.97,103,15597.35,"Ardent",2012,63,4820.85185185185,"FB"
3.4,37,6358.73,"Ardent",1973,5,16556,"EM"
2.5,22,9753.66,"Quilante",2013,31,3824.8064516129,"ET"
2.22,9,13224.08,"Vibranto",2015,33,1815.63157894737,"FB"
3.04,8,9688.24,"Quilante",2000,10,5320.30303030303,"FC"
2.76,11,11720.04,"Esplen",2000,88,1904.2688172043,"FC"
2.46,36,6297.48,"Ardent",1966,55,7279.14285714286,"ET"
2.78,31,10280.9,"Solario",1985,25,5264,"ET"
2.1,7,11795.12,"Esplen",2005,79,9253.90476190476,"EM"
2.31,21,11775.6,"Esplen",2005,54,35884.3333333333,"EM"
2.55,5,9745,"Brillante",2015,12,2820.05128205128,"EM"
2.52,7,10257.15,"Solario",2011,26,1499,"EM"
1.96,1,13194.18,"Vibranto",2000,31,4987.7012987013,"ET"
3.3,2,13315.69,"Vibranto",2002,35,10316.6666666667,"ET"
2.02,22,13200.38,"Vibranto",1986,37,3520.38596491228,"FB"
1.79,12,11812.74,"Esplen",2000,9,4300.91304347826,"ET"
2.25,30,10223.23,"Solario",2007,6,6769.10256410256,"ET"
2.98,5,5010.67,"Ardent",2017,51,5455.33333333333,"EM"
1.78,19,13191.93,"Vibranto",2018,54,2143.18181818182,"FC"
2.59,28,9741,"Brillante",1965,31,7432.0243902439,"FC"
3.33,7,5051.6,"Ardent",1984,70,4057,"ET"
1.34,18,10134,"Brillante",1998,35,3671.35135135135,"FC"
2.46,62,9754,"Brillante",1999,64,3040.82978723404,"FB"
2.29,8,11791.44,"Esplen",1985,56,4110.05128205128,"EM"
2.58,15,10258.35,"Solario",1984,9,4844.95652173913,"ET"
2.76,37,10276,"Brillante",1986,69,25728,"FC"
2.77,7,5058.99,"Ardent",2009,79,4200.7037037037,"EM"
2.54,48,10254,"Brillante",1966,12,2464.95238095238,"FB"
3.73,19,13372.32,"Vibranto",1977,29,5605.95238095238,"FB"
2.48,16,9752.98,"Quilante",1999,52,9166.35294117647,"FC"
2.26,0,11756.17,"Esplen",1995,70,6080.27586206897,"ET"
3.05,14,10293.91,"Solario",1982,48,6232.17647058824,"FC"
2.66,64,9112.12,"Ardent",1966,37,2475.81927710843,"ET"
2.49,77,13258.82,"Vibranto",1984,89,3895.5,"EM"
2.36,15,10237.5,"Solario",2018,93,5561.58139534884,"EM"
3.04,5,10298.33,"Solario",2011,30,2870.81632653061,"FB"
2.52,21,11749.24,"Esplen",1993,8,3833.30303030303,"ET"
3.1,87,12591.06,"Ardent",1999,60,5539.27586206897,"ET"
2.76,8,13278.49,"Vibranto",1975,89,8405.45454545455,"FC"
2.36,3,10236,"Brillante",1974,23,3468.57142857143,"FC"
2.07,28,9794.93,"Quilante",2000,29,2078.42528735632,"FB"
2.16,16,5262.25,"Ardent",1998,15,4124.82978723404,"FC"
3,51,10306.81,"Solario",1986,56,4556.30158730159,"FB"
2.03,7,9797,"Brillante",1995,92,8845,"EM"
3,9,9700,"Brillante",1979,24,6826,"FB"
2.44,10,10244,"Brillante",1968,32,3975.10101010101,"FB"
3.03,17,9697,"Brillante",2005,3,6335.27536231884,"ET"
2.61,44,13274.76,"Vibranto",1974,23,2921.36363636364,"ET"
2.58,8,9742,"Brillante",1991,16,10804,"ET"
2.34,35,10215.47,"Solario",1980,99,5273.7012987013,"EM"
2.36,35,10244.22,"Solario",1987,51,3745.22222222222,"FB"
2.28,1,10230.49,"Solario",1976,18,21049,"FB"
2.65,9,5069.93,"Ardent",2019,14,3573.38596491228,"EM"
2.92,19,11725.2,"Esplen",1978,48,2840.57894736842,"ET"
2.18,34,9805.95,"Quilante",1973,38,8097.90476190476,"ET"
2,2,11800.11,"Esplen",1984,60,103108,"FC"
3.32,45,10332,"Brillante",2002,14,6931.33333333333,"FB"
2.98,34,9724.75,"Quilante",1982,58,5331.2688172043,"EM"
1.98,4,10210.84,"Solario",1971,10,6810.27586206897,"EM"
2.15,39,10217.59,"Solario",2016,43,2279.34426229508,"ET"
2.68,2,13271.24,"Vibranto",1986,46,2960.47619047619,"FC"
2.17,42,10214.58,"Solario",1968,49,5221,"ET"
2.33,0,5000.55,"Ardent",2002,69,3328.35135135135,"EM"
3.02,16,9696.39,"Quilante",2006,85,5779.17647058824,"FC"
2.13,53,11785.13,"Esplen",1997,25,3606,"EM"
3.32,12,13323.28,"Vibranto",1976,86,5205,"ET"
1.54,18,13143.04,"Vibranto",1986,94,4342.59550561798,"ET"
2.44,6,9756,"Brillante",1981,58,4055.86301369863,"FC"
1.74,28,10174,"Brillante",2018,20,8851.33333333333,"EM"
2.15,5,13220.38,"Vibranto",1970,95,6156.86301369863,"EM"
2.31,6,11773.87,"Esplen",2002,24,3321.92783505155,"FC"
2.45,44,10245,"Brillante",1972,52,6613.34426229508,"ET"
1.96,20,10224.04,"Solario",1996,6,5985.42857142857,"ET"
2.44,8,13241.73,"Vibranto",1966,52,6096.33333333333,"EM"
2.55,19,9735.99,"Quilante",2000,20,3713.71428571429,"ET"
2.59,1,9730.35,"Quilante",1968,93,6609.18181818182,"FC"
2.8,5,9720,"Brillante",2013,24,4334.81632653061,"FB"
2.58,7,10256.18,"Solario",1987,29,5391.46153846154,"FC"
2.12,10,13209.26,"Vibranto",1983,85,4464.05128205128,"FB"
1.25,2,10130.51,"Solario",1984,90,4832.15151515152,"ET"
2.41,3,9759,"Brillante",1965,5,1507.56790123457,"FB"
2.52,9,10270.24,"Solario",1969,52,9939.90909090909,"FC"
2.63,7,11747.87,"Esplen",1986,11,8638,"FB"
2.74,50,10262.35,"Solario",2008,82,2042.38596491228,"FC"
2.46,0,9762.34,"Quilante",2007,94,3384,"FB"
3.18,6,9692.24,"Quilante",1996,2,2478.34426229508,"EM"
2.96,6,5031.86,"Ardent",1978,19,27470,"ET"
1.91,25,9813.55,"Quilante",1996,38,9257.82608695652,"EM"
3.75,32,6017.7,"Ardent",1996,36,5132.65957446809,"FB"
3.15,20,9660.04,"Quilante",2002,25,4997.13793103448,"FB"
2.58,15,13246.63,"Vibranto",1991,18,7856.15384615385,"FC"
2.21,8,11771.59,"Esplen",2003,35,6363.95238095238,"FB"
2.97,35,6215.22,"Ardent",1981,80,5050.57894736842,"ET"
1.76,60,10179.51,"Solario",1967,45,5616.11111111111,"EM"
2.95,3,9717.73,"Quilante",1973,40,18490.7142857143,"FB"
2.53,9,9748.94,"Quilante",1984,45,7285.10256410256,"FB"
3.53,9,5077.12,"Ardent",1998,21,2447.30158730159,"FB"
2.81,2,10277.84,"Solario",1974,12,4477.5,"ET"
2.69,43,6846.73,"Ardent",1987,63,3681.42857142857,"EM"
1.82,0,10175.98,"Solario",1991,63,1579.86301369863,"FC"
2.81,61,13289.48,"Vibranto",2015,82,5207.13793103448,"FB"
2.47,11,9753,"Brillante",1969,10,1574.45070422535,"EM"
2.39,14,10254.67,"Solario",2016,32,36970.3333333333,"FB"
2.2,18,9789.88,"Quilante",1991,3,7146.82608695652,"ET"
3.29,54,11659.77,"Esplen",1975,69,3796,"FB"
2.5,1,10250,"Brillante",2016,99,5579.82608695652,"FC"
2.92,8,9708,"Brillante",1993,18,10973.6666666667,"FB"
3.56,21,11648.31,"Esplen",1983,90,9654.66666666667,"FB"
2.79,6,13262.53,"Vibranto",2010,74,5840.7037037037,"EM"
3.03,5,13325.15,"Vibranto",1967,57,5801.66666666667,"EM"
2.56,19,9749.43,"Quilante",2010,84,3714.8064516129,"ET"
1.44,6,5017.56,"Ardent",1981,22,4722.5,"FB"
2.38,7,10234.1,"Solario",1974,29,7578.57894736842,"ET"
