Education,Income,Own_Home,Debt,CarValue,Loan
"Primary","116199.93","No","107272.15","4257.57","Yes"
"Primary","84561.18","No","421391.54","1539.90","No"
"Vocational","81627.01","Yes","400030.62","30620.27","Yes"
"Primary","131292.43","Yes","317751.33","7655.05","Yes"
"Vocational","97725.28","No","77633.70","18987.93","No"
"College","196875.42","No","342812.86","49134.93","No"
"Vocational","180464.23","Yes","222443.60","44655.36","No"
"College","198110.49","No","432863.80","37463.15","Yes"
"College","43736.39","No","128045.04","13518.72","No"
"College","145178.44","No","476100.83","40347.76","No"
"College","182720.39","No","74925.58","28938.72","Yes"
"Vocational","36331.10","No","378956.24","21423.03","Yes"
"Primary","93678.37","Yes","437892.76","31766.81","No"
"Vocational","99689.35","Yes","128203.32","42193.23","No"
"Vocational","92119.87","Yes","265484.46","11087.53","No"
"College","149197.98","No","97352.26","33696.94","Yes"
"Primary","44112.28","Yes","230691.55","38715.27","No"
"College","192319.95","Yes","43800.72","10040.99","Yes"
"Primary","112412.56","No","239344.08","8724.76","No"
"College","177511.34","Yes","177259.81","41967.03","Yes"
"Vocational","123226.73","Yes","357525.80","43958.76","No"
"Primary","95015.17","No","460509.42","48411.46","Yes"
"College","101432.52","No","398041.77","6427.86","No"
"College","103012.59","No","409356.34","49445.08","No"
"Primary","62718.21","Yes","15646.40","37839.81","No"
"Primary","148815.05","Yes","291271.98","34235.21","No"
"College","197655.42","Yes","340623.56","45248.62","Yes"
"Vocational","150344.31","No","14161.80","38056.54","Yes"
"Vocational","105577.78","No","181461.53","30414.17","Yes"
"Primary","87252.52","Yes","358441.02","28519.43","No"
"Primary","41538.89","No","312865.56","42770.66","No"
"College","143631.82","No","126454.39","32655.88","No"
"Primary","89258.11","No","271734.46","7909.98","No"
"Vocational","94938.59","Yes","410474.62","48590.81","Yes"
"College","84508.89","No","152852.20","32315.23","Yes"
"College","88837.84","Yes","51466.82","43585.24","Yes"
"Vocational","158351.99","No","415255.31","9254.37","No"
"Primary","136965.24","No","61583.27","13454.87","Yes"
"Vocational","121933.23","No","216451.04","17435.52","No"
"Vocational","97586.02","No","426298.96","45085.26","No"
"Vocational","143212.41","Yes","231616.74","26912.48","Yes"
"Vocational","182114.87","Yes","309915.87","31387.26","Yes"
"Primary","174964.71","Yes","285186.98","34015.59","No"
"College","87536.11","No","168130.00","49968.72","No"
"Primary","107651.66","Yes","280693.95","24219.75","Yes"
"Primary","132414.69","Yes","480720.22","14539.99","No"
"Primary","144799.85","Yes","31299.00","43564.80","Yes"
"Vocational","135481.47","No","166596.63","6027.28","No"
"Primary","75802.34","No","115376.42","10467.01","No"
"College","55598.67","Yes","47048.27","21552.79","Yes"
"Vocational","42790.89","No","100166.45","31142.96","No"
"Primary","148547.48","Yes","137560.40","49258.39","Yes"
"Primary","142630.89","Yes","118290.15","4198.76","Yes"
"Vocational","52933.74","No","97750.74","8755.17","No"
"College","191205.32","No","39291.30","28192.18","Yes"
"Primary","38122.81","Yes","165257.81","45466.73","Yes"
"Vocational","181797.69","Yes","218356.80","26862.52","No"
"Primary","108239.02","Yes","284562.90","14612.11","No"
"Vocational","144551.85","No","262052.02","48984.54","No"
"Vocational","163134.07","Yes","374607.85","21027.01","Yes"
"Primary","158656.57","Yes","353636.44","971.50","No"
"College","187158.67","No","253413.51","48355.30","Yes"
"College","182698.65","Yes","201175.69","29261.33","Yes"
"Primary","80570.75","Yes","89059.33","13699.30","No"
"Primary","82480.73","Yes","77125.84","10428.11","No"
"Vocational","148785.00","Yes","482330.37","2863.63","No"
"Primary","93092.64","No","422546.61","29996.92","No"
"Primary","134916.87","Yes","240734.18","23865.55","No"
"Primary","149865.66","Yes","3816.61","13899.70","No"
"Primary","189255.37","No","214575.45","25680.95","Yes"
"College","162453.25","Yes","301124.27","15320.24","No"
"Vocational","138015.34","No","378832.95","18368.46","No"
"Primary","117604.42","No","28717.09","29341.27","No"
"College","168571.64","No","341363.74","40990.88","No"
"Vocational","166084.63","No","284552.47","23759.29","No"
"College","166441.19","Yes","23073.63","40667.66","No"
"Primary","47708.44","Yes","290164.24","43759.65","No"
"College","67471.71","No","192702.08","8818.45","Yes"
"College","73229.01","No","282225.64","23328.28","No"
"Primary","121787.31","No","310349.47","21475.60","No"
"College","107753.07","No","344017.79","36274.74","No"
"Vocational","137112.85","Yes","285040.19","4172.16","No"
"Vocational","41190.45","No","277245.21","21637.68","No"
"Primary","154366.40","No","375424.52","33428.73","No"
"Vocational","161423.82","Yes","406358.81","38093.20","Yes"
"College","176989.41","Yes","278724.06","20047.34","No"
"Primary","191194.98","No","418481.56","31726.49","Yes"
"Primary","155357.17","Yes","387343.58","4105.98","Yes"
"Primary","115799.86","No","120882.61","30507.54","Yes"
"College","32096.40","No","440136.29","27728.39","Yes"
"Vocational","98484.01","No","464477.23","6830.09","Yes"
"College","33461.46","No","202947.03","13978.94","Yes"
"College","199477.93","No","222123.68","46844.89","Yes"
"Vocational","153057.97","No","265105.02","2917.63","Yes"
"College","142519.32","No","98205.57","26213.10","No"
"Vocational","173604.33","No","348710.01","36132.59","Yes"
"Primary","141723.68","No","204693.42","14787.09","No"
"Primary","140726.49","No","169816.76","16365.14","No"
"College","80972.80","Yes","41403.75","46024.80","No"
"College","84432.19","Yes","498584.66","34015.16","No"
"Primary","136697.41","No","391648.67","25371.70","No"
"Primary","65111.20","Yes","145978.62","41464.41","Yes"
"College","94791.73","No","234032.29","43738.96","Yes"
"College","196261.70","No","140599.96","35587.90","No"
"Vocational","145196.18","Yes","404939.04","40839.53","No"
"College","155990.68","Yes","229809.59","15925.71","No"
"College","66009.46","No","175250.26","26998.04","No"
"Primary","139160.25","No","186056.96","32916.44","No"
"Primary","175931.95","Yes","153831.38","38584.88","Yes"
"College","111004.13","No","107542.01","34940.78","No"
"Vocational","159138.75","No","40457.47","45488.68","No"
"College","49564.56","Yes","178080.24","1768.38","No"
"Primary","196800.27","No","2338.94","11754.18","Yes"
"Vocational","38949.15","No","477745.11","1360.15","No"
"Primary","174988.91","No","77091.27","48396.72","No"
"Primary","170280.49","Yes","257860.39","35378.19","Yes"
"Primary","88871.41","Yes","345641.52","42507.53","No"
"Primary","189873.93","No","85296.39","16125.59","Yes"
"Vocational","82544.02","No","83188.50","49445.75","No"
"College","193880.08","No","62032.99","22393.81","No"
"Vocational","62159.09","Yes","343291.52","28213.48","No"
"Primary","87421.82","Yes","418975.65","1802.77","No"
"Vocational","155058.33","No","382797.60","2178.20","No"
"Primary","120506.47","No","33757.97","41578.29","Yes"
"College","32245.60","No","251403.36","24952.69","Yes"
"Vocational","95084.25","No","72295.37","31866.79","Yes"
"College","188453.79","Yes","172249.84","32017.99","Yes"
"Primary","185433.49","No","44295.07","12284.79","Yes"
"Vocational","42545.05","No","282318.34","44002.48","No"
"College","149176.64","Yes","101415.34","6445.53","Yes"
"Primary","110389.95","No","288702.82","2830.11","No"
"College","31512.34","Yes","231636.92","38255.43","Yes"
"Vocational","76969.85","Yes","69504.36","6747.90","No"
"College","98121.13","Yes","216631.39","32175.14","Yes"
"College","105155.04","No","327257.90","28118.86","Yes"
"Primary","167771.03","Yes","489925.38","20957.57","No"
"Primary","197488.04","Yes","701.15","41413.09","No"
"Vocational","79415.06","No","175784.90","47164.53","No"
"Vocational","123683.03","No","242438.31","8205.05","No"
"Vocational","146653.95","No","370849.92","24716.18","Yes"
"College","148357.04","Yes","190942.83","4045.95","No"
"Vocational","170137.65","No","387607.52","38642.11","Yes"
"Primary","165890.43","No","452037.53","17147.06","Yes"
"College","39506.93","Yes","88555.33","7855.56","Yes"
"Primary","178589.35","Yes","353665.39","12726.64","Yes"
"Primary","109649.83","No","244776.79","31791.66","Yes"
"Primary","80167.61","Yes","378407.86","18434.89","No"
"Vocational","50837.17","No","453084.32","2458.16","No"
"College","194333.16","Yes","224291.52","42705.51","Yes"
"College","177545.18","Yes","474134.43","20196.00","Yes"
"Vocational","101683.89","Yes","376753.89","42376.68","No"
"Vocational","144610.81","Yes","165633.82","40263.14","No"
"Vocational","30864.25","No","149926.74","32545.33","No"
"Vocational","157198.70","No","40442.82","29350.50","Yes"
"Primary","107427.02","Yes","244977.69","26866.95","Yes"
"Vocational","47296.54","Yes","156081.74","43468.02","No"
"Primary","190917.74","No","59695.87","46587.10","No"
"Primary","78772.25","No","434738.02","32293.89","Yes"
"College","48821.72","No","78578.66","1276.32","No"
"Vocational","103291.47","No","44457.11","48164.02","No"
"College","117104.03","No","119890.38","27833.45","No"
"Vocational","112896.15","Yes","203752.62","34380.67","Yes"
"College","90199.85","No","392405.73","13673.83","No"
"Primary","147527.41","No","8049.36","5248.10","Yes"
"College","173243.60","No","458258.29","34008.25","No"
"Vocational","55473.48","No","76461.81","44541.12","Yes"
"Primary","62254.88","Yes","9846.48","2892.78","Yes"
"College","50503.55","Yes","144208.82","3731.88","No"
"College","96441.38","No","251938.57","48913.19","Yes"
"Primary","179916.57","Yes","498709.12","21850.31","Yes"
"College","115803.03","Yes","159458.66","9388.55","Yes"
"Vocational","37048.98","No","308805.39","15820.99","No"
"College","59895.67","Yes","12728.49","36103.39","Yes"
"Primary","187308.15","Yes","189722.19","4380.12","No"
"College","148151.02","No","259006.26","39635.80","Yes"
"Primary","50537.51","Yes","250095.97","10886.17","Yes"
"Primary","36040.32","No","22246.61","11367.36","No"
"Primary","65217.42","No","187157.64","31789.78","No"
"Vocational","147504.96","Yes","83654.19","39739.34","Yes"
"Primary","180025.71","No","366499.85","34511.06","No"
"Vocational","113184.87","No","470623.95","32090.32","No"
"College","159782.25","Yes","358516.19","44706.12","Yes"
"Vocational","74121.70","Yes","352856.30","38925.77","Yes"
"College","63790.68","Yes","80517.82","17357.25","No"
"College","114933.29","Yes","130501.66","28649.36","Yes"
"Primary","74781.01","No","220037.84","46272.54","Yes"
"College","49116.72","Yes","386543.64","12304.49","No"
"Vocational","94278.93","No","46839.67","19037.39","No"
"College","198827.27","No","389937.94","18652.53","No"
"Vocational","176852.44","Yes","62740.65","78.59","Yes"
"College","109982.13","Yes","9918.74","24363.31","Yes"
"College","127460.34","No","263183.86","15873.65","Yes"
"College","70483.29","No","221416.68","13466.67","Yes"
"Vocational","107761.08","No","323027.70","5640.66","Yes"
"Primary","93748.59","No","252470.79","29313.89","Yes"
"Vocational","147120.43","Yes","451348.89","42600.71","Yes"
"Vocational","97575.94","No","450425.62","11783.23","No"
"College","106730.94","Yes","400184.63","46733.35","No"
"Primary","78279.27","No","292910.27","11242.74","Yes"
"College","66231.10","No","305760.26","509.56","Yes"
"College","85232.84","Yes","302579.47","32488.82","Yes"
"Vocational","178323.50","No","424087.43","21764.83","No"
"Primary","132252.15","Yes","495623.33","37884.96","No"
"Primary","148004.57","Yes","45994.59","3840.41","Yes"
"Primary","114000.23","Yes","110890.24","31572.63","No"
"College","135206.54","No","259377.38","21578.58","Yes"
"Vocational","123216.60","No","87337.97","26231.68","Yes"
"College","128963.80","Yes","313907.00","26517.72","Yes"
"Vocational","94286.80","Yes","193725.63","27536.72","No"
"Vocational","144403.35","Yes","356641.09","34934.24","No"
"Primary","30744.90","No","136386.11","5487.81","No"
"Primary","33406.38","Yes","22278.12","45675.21","No"
"Primary","158496.10","Yes","275341.80","18905.55","No"
"Vocational","156209.26","Yes","201192.56","44719.52","No"
"College","180682.09","Yes","155527.68","26929.43","No"
"Primary","194303.03","No","235723.85","39110.74","No"
"Vocational","132098.09","Yes","388828.09","36957.83","Yes"
"College","136960.70","No","100427.37","44427.41","Yes"
"College","156605.84","No","298489.77","16644.75","No"
"College","93721.39","Yes","366292.15","10162.99","No"
"Primary","114275.24","No","340518.99","17936.13","No"
"College","188057.18","No","213966.78","49615.57","Yes"
"Vocational","194656.04","No","104401.07","31023.57","Yes"
"College","118731.91","Yes","216673.68","39044.93","No"
"Primary","69014.92","Yes","45629.73","36003.71","No"
"College","180539.47","Yes","117999.08","14102.70","Yes"
"Vocational","176225.13","Yes","447211.86","25326.31","No"
"College","111637.03","Yes","72347.14","37490.91","No"
"College","186676.31","Yes","275537.67","18732.44","No"
"College","56012.62","Yes","214752.65","24445.48","No"
"Vocational","58404.83","No","291569.82","22428.70","Yes"
"Vocational","177030.51","No","197058.96","38502.89","No"
"Vocational","153847.01","No","184853.41","9091.66","No"
"Primary","137589.49","Yes","79034.99","13439.99","No"
"Vocational","183834.94","Yes","430885.11","16154.68","No"
"College","158330.86","Yes","352649.61","42901.35","Yes"
"Primary","139635.42","Yes","410928.65","16700.50","Yes"
"Primary","168502.46","Yes","106068.56","22850.51","Yes"
"Vocational","42975.53","No","119606.03","35463.30","Yes"
"College","117841.42","Yes","249871.50","4529.09","Yes"
"Primary","142807.59","No","210986.37","33444.73","Yes"
"College","102045.34","Yes","457885.75","27388.65","Yes"
"College","127116.90","No","284744.56","40040.24","No"
"Vocational","182958.63","Yes","273772.88","25704.72","No"
"Vocational","58660.51","No","328079.63","28433.17","Yes"
"Primary","178705.48","Yes","165255.57","35510.31","No"
"Vocational","197377.27","Yes","275309.13","26365.51","Yes"
"Vocational","56389.07","No","274345.01","18454.69","Yes"
"College","63772.89","Yes","336716.66","27229.36","No"
"Vocational","115503.18","Yes","181896.48","46972.82","Yes"
"Vocational","39434.34","No","116901.53","26405.34","No"
"Primary","90620.24","Yes","219581.23","47102.30","Yes"
"Primary","146320.28","Yes","22509.12","22227.39","Yes"
"Vocational","38474.82","No","91628.73","23457.42","No"
"Primary","152539.94","Yes","277736.07","11321.58","No"
"College","35529.25","Yes","245530.49","46391.77","Yes"
"Primary","167145.21","Yes","210184.65","42218.66","Yes"
"Vocational","103899.95","Yes","157771.98","23622.73","No"
"Vocational","119268.46","No","183449.13","30580.33","No"
"Vocational","136528.99","Yes","46955.19","21360.70","Yes"
"College","105044.65","Yes","14223.26","2237.93","No"
"College","124114.48","Yes","157908.98","48155.98","Yes"
"Primary","67546.51","Yes","15024.82","26441.62","Yes"
"Vocational","126463.56","No","21778.27","40029.39","No"
"College","81863.67","Yes","141464.22","33132.47","Yes"
"Vocational","108184.41","Yes","449656.26","41620.32","Yes"
"College","132650.46","Yes","115653.66","25861.47","No"
"Primary","162586.86","No","34120.67","39677.91","Yes"
"Vocational","46685.79","No","492198.50","1724.75","Yes"
"Primary","125928.29","Yes","429196.21","32146.46","Yes"
"College","77831.66","No","126026.10","20948.34","No"
"Vocational","117444.48","Yes","73037.76","13291.24","Yes"
"College","108304.20","Yes","72545.93","12465.51","No"
"Vocational","61010.40","No","389052.09","37023.98","Yes"
"Vocational","40576.31","Yes","133036.01","36255.89","No"
"Primary","199078.08","Yes","215527.08","5206.24","Yes"
"Vocational","76663.97","No","308081.62","25621.08","Yes"
"Primary","62015.85","No","176337.81","15829.57","Yes"
"College","138118.90","Yes","18166.03","5222.67","Yes"
"College","176121.74","No","252165.57","33359.79","Yes"
"College","130966.26","No","119102.47","35040.35","Yes"
"Vocational","179554.60","No","347119.46","26145.46","Yes"
"College","109428.95","Yes","452796.07","29669.40","Yes"
"Vocational","33596.48","No","75766.58","39590.55","No"
"Vocational","81450.06","No","148771.35","3287.59","No"
"College","85920.13","No","326787.45","49433.21","No"
"Vocational","121590.89","Yes","144553.33","40691.09","No"
"College","180236.22","No","52738.54","14046.12","Yes"
"Primary","198473.87","No","424760.84","22846.51","No"
"College","191679.35","Yes","439171.73","19941.67","Yes"
"Primary","165861.67","Yes","205405.18","48414.45","Yes"
"Vocational","41799.06","No","199588.18","31366.66","No"
"Vocational","74091.11","Yes","486632.13","34000.03","Yes"
"Vocational","47676.88","No","300085.04","40619.35","Yes"
"College","187521.72","No","314104.21","39246.03","Yes"
"Vocational","68136.21","No","403782.54","37720.37","No"
"College","86809.12","No","164761.08","20332.92","No"
"Primary","53983.53","Yes","484651.59","17805.68","Yes"
"College","97874.10","Yes","400062.77","9863.07","Yes"
"Vocational","77857.48","No","299290.88","13041.08","No"
"Primary","77727.54","Yes","31038.28","9746.19","Yes"
"College","46515.49","No","73577.48","4164.85","Yes"
"College","176082.46","No","295764.41","30257.90","Yes"
"Vocational","78323.02","Yes","485721.66","45201.07","No"
"Vocational","181137.33","No","225961.62","37126.62","No"
"Vocational","127906.40","Yes","190762.47","14559.08","Yes"
"Vocational","99905.12","No","309705.31","10369.58","Yes"
"Primary","45332.56","Yes","253974.52","36313.91","No"
"College","36140.36","No","246743.02","9516.54","No"
"College","48961.19","No","346341.47","197.37","No"
"Primary","162796.40","Yes","337434.11","42087.30","No"
"College","181546.59","No","431153.54","26822.58","Yes"
"College","96325.02","No","116046.55","47586.89","No"
"Vocational","123126.55","No","353942.23","1262.93","Yes"
"Vocational","101474.77","No","118708.44","35336.87","Yes"
"College","102106.69","No","369746.96","25493.93","No"
"College","151534.70","Yes","87812.20","31111.14","Yes"
"College","156789.71","Yes","393309.51","38838.45","Yes"
"Primary","110959.31","No","63819.66","44032.87","No"
"Primary","177745.50","Yes","80766.33","3664.98","No"
"Vocational","177805.17","Yes","160201.27","9633.25","Yes"
"Vocational","152656.13","No","11372.80","31943.99","Yes"
"Primary","71300.10","Yes","395871.66","12550.72","Yes"
"Vocational","167805.52","Yes","210598.20","8273.28","Yes"
"Vocational","76002.39","Yes","412742.62","45687.82","Yes"
"Vocational","168184.35","No","55666.72","41711.37","No"
"Vocational","51625.94","No","128627.90","30012.30","Yes"
"Primary","53408.13","Yes","275345.65","8525.83","Yes"
"Primary","167291.81","Yes","348280.29","10889.19","Yes"
"Vocational","133912.52","No","481377.51","47443.71","No"
"Primary","161464.18","No","279759.85","7424.59","Yes"
"Vocational","130709.60","No","170212.38","24601.15","Yes"
"Vocational","192958.75","No","113079.47","11324.65","Yes"
"Primary","89684.44","No","254696.41","31513.72","Yes"
"College","45169.33","No","248091.90","29423.09","No"
"College","118669.89","Yes","494987.89","48906.62","No"
"College","166526.52","Yes","223633.61","21899.53","No"
"Primary","55204.37","No","221367.31","40206.45","Yes"
"College","158664.91","No","79275.37","16646.60","No"
"Primary","46119.95","Yes","381031.41","39082.63","Yes"
"College","120132.63","Yes","344826.32","26792.24","Yes"
"Vocational","191740.65","Yes","17398.72","1969.68","Yes"
"Primary","103600.76","No","320218.86","45967.51","Yes"
"Vocational","61361.86","No","298061.34","13424.39","Yes"
"College","112912.51","No","490806.93","34387.39","Yes"
"Primary","172348.70","No","140234.44","43532.51","No"
"Primary","173556.14","No","71901.13","42924.46","Yes"
"Vocational","44567.19","Yes","7311.52","27013.36","No"
"Primary","152983.64","No","447469.84","39694.90","No"
"College","41587.64","No","81056.38","24720.27","No"
"Vocational","146983.07","Yes","470313.35","25455.08","Yes"
"Primary","157577.00","Yes","120591.77","14306.91","Yes"
"Primary","82812.32","Yes","302956.11","24396.55","Yes"
"College","165344.71","Yes","257010.25","24596.17","No"
"College","107750.36","No","300276.51","47462.13","Yes"
"Vocational","43285.05","Yes","324289.52","17946.87","Yes"
"College","183545.27","No","413968.87","28735.75","Yes"
"Vocational","170771.98","Yes","476953.85","30785.09","Yes"
"Vocational","60283.94","Yes","245557.89","48004.35","No"
"Primary","176483.56","No","280965.93","12262.45","No"
"Primary","170546.54","No","65967.50","27182.93","Yes"
"Primary","184589.78","Yes","495672.32","24627.97","Yes"
"Vocational","173083.09","Yes","489145.67","22687.80","No"
"Primary","163653.97","Yes","12362.15","2137.24","No"
"College","57358.55","Yes","45264.05","36738.43","No"
"Primary","42108.33","No","57064.79","40513.83","No"
"College","61657.56","Yes","457493.43","21904.11","No"
"Vocational","116367.51","No","14620.18","35209.88","Yes"
"Primary","137714.93","Yes","332114.43","45947.71","Yes"
"Primary","57486.08","Yes","266183.92","27895.38","No"
"Primary","69245.44","Yes","445921.07","29364.16","No"
"College","137490.62","No","453457.56","27644.37","Yes"
"College","170635.10","Yes","186163.55","4061.37","No"
"Primary","42111.61","No","14838.00","12582.37","No"
"Vocational","30409.11","Yes","149014.76","35691.44","No"
"Primary","94790.08","No","101996.98","43411.44","Yes"
"Primary","50703.48","No","284287.50","23199.29","No"
"Vocational","132574.13","No","140525.73","33041.25","Yes"
"College","194831.25","Yes","360444.12","20305.60","Yes"
"College","41567.84","No","287419.67","168.01","Yes"
"Vocational","94140.67","No","89107.77","31313.26","Yes"
"College","53308.51","Yes","25473.95","12667.18","No"
"Primary","79183.56","No","422070.74","14798.43","No"
"Vocational","103997.40","Yes","121683.95","16108.95","No"
"College","184989.32","Yes","321135.94","12922.18","No"
"Vocational","172018.72","Yes","143375.66","24502.76","Yes"
"College","185276.65","Yes","378362.52","20660.58","Yes"
"Vocational","167571.19","Yes","247035.16","1538.06","No"
"Vocational","78923.81","Yes","445885.03","6119.79","Yes"
"College","122487.89","Yes","433908.32","14322.56","No"
"College","145367.79","No","99350.81","46296.38","Yes"
"Vocational","34904.41","Yes","436845.96","47261.75","No"
"College","34252.66","Yes","91695.46","792.18","No"
"Vocational","180985.70","No","249325.69","26441.85","No"
"College","167727.97","Yes","125296.36","45948.20","Yes"
"College","72075.29","Yes","454139.85","29701.83","No"
"College","117112.60","No","6215.27","16729.79","Yes"
"Vocational","181271.26","Yes","385754.28","35140.69","No"
"Primary","72446.17","No","471180.68","14746.70","Yes"
"Vocational","58820.35","Yes","51155.49","2704.64","Yes"
"Vocational","30534.05","Yes","460317.69","1923.16","Yes"
"Primary","35775.90","Yes","318185.71","18167.35","Yes"
"Vocational","146528.40","No","244969.65","16581.53","Yes"
"Vocational","133380.66","No","33206.40","39583.75","Yes"
"Primary","158671.47","Yes","374927.81","46998.11","No"
"College","69696.93","Yes","491827.21","17740.80","Yes"
"Vocational","140259.79","Yes","481082.06","16316.35","No"
"Primary","119246.64","Yes","78691.13","45143.23","No"
"Primary","43567.51","No","161814.89","39228.49","Yes"
"College","158312.67","No","280118.11","49038.50","Yes"
"Primary","150078.13","Yes","107452.77","343.70","No"
"College","78941.04","No","257820.05","27034.88","No"
"Primary","124196.93","No","136780.84","3503.80","Yes"
"College","156497.28","Yes","416054.23","34105.01","Yes"
"College","178795.28","Yes","489465.22","19936.11","No"
"College","69129.74","No","274409.22","46279.51","Yes"
"Vocational","182016.21","Yes","177867.67","4918.30","No"
"Vocational","150370.33","Yes","440046.12","16527.61","Yes"
"Primary","130930.49","Yes","102076.06","26589.49","No"
"College","107691.46","No","342043.75","13686.83","Yes"
"Vocational","168839.73","Yes","216775.55","6042.55","No"
"College","191008.02","No","158994.49","33420.78","Yes"
"College","129328.72","Yes","44540.89","15461.95","No"
"College","79150.80","Yes","328183.61","21454.99","Yes"
"College","70042.09","No","390024.22","3476.70","No"
"Primary","100143.84","No","296409.17","1011.78","No"
"Primary","162585.32","Yes","336369.03","17021.37","Yes"
"College","75872.45","Yes","166332.77","33728.74","No"
"Vocational","30430.73","No","401838.60","30359.31","No"
"Primary","166628.70","No","391253.48","39414.35","No"
"College","167943.44","No","372905.58","49173.86","No"
"Vocational","184635.12","No","31908.60","39178.86","No"
"Primary","113355.10","No","6997.06","5541.97","No"
"Vocational","56105.90","Yes","252341.65","2953.80","Yes"
"College","178132.00","No","7701.56","24331.53","No"
"Primary","99059.48","Yes","414895.84","26236.34","Yes"
"College","144264.51","No","260489.25","23091.55","Yes"
"Vocational","161919.32","Yes","101201.14","31555.21","No"
"Primary","88456.24","Yes","125551.28","39063.23","No"
"Vocational","174176.20","Yes","412109.29","38649.01","Yes"
"Primary","193482.63","No","110922.15","5018.28","No"
"Primary","126266.37","No","461194.76","15480.90","Yes"
"Primary","105197.24","No","154868.96","4226.10","Yes"
"Primary","90598.18","No","10505.08","30411.67","Yes"
"Vocational","43391.06","No","399223.73","27386.21","Yes"
"Vocational","90457.87","Yes","475142.55","21668.00","Yes"
"Vocational","136087.65","Yes","110325.39","16186.97","No"
"Primary","73970.06","Yes","439860.94","17032.61","No"
"Vocational","57182.02","No","49514.68","30534.35","No"
"Primary","167267.97","No","297794.17","22850.91","No"
"College","165635.83","Yes","268437.03","45900.83","No"
"Primary","177758.58","Yes","376894.83","21587.08","No"
"College","173646.80","Yes","216797.19","15095.29","No"
"Primary","151063.31","No","330105.69","49442.94","No"
"College","177314.64","Yes","118772.00","34180.89","Yes"
"Vocational","72937.78","No","148926.15","44765.64","Yes"
"College","146557.70","Yes","403705.22","46576.65","No"
"College","49552.43","Yes","238838.89","8327.70","No"
"Vocational","127172.99","No","149996.15","4675.40","Yes"
"College","147092.84","No","494850.82","38685.77","Yes"
"Vocational","178100.33","No","180346.05","25708.40","No"
"Vocational","94355.69","Yes","205299.73","10070.82","No"
"College","115692.95","No","276859.66","20258.81","Yes"
"Primary","66311.20","No","414028.09","565.76","No"
"College","96877.67","No","182480.04","31160.51","No"
"Primary","155930.92","Yes","172604.15","6212.74","No"
"Primary","50869.61","No","127122.96","25869.98","Yes"
"Vocational","167512.83","No","241339.56","36478.68","Yes"
"College","124652.48","No","106511.34","15173.85","Yes"
"Vocational","57296.82","Yes","332845.05","14679.36","No"
"College","43071.63","No","304683.43","36595.17","No"
"Primary","54971.08","No","356107.58","26433.25","No"
"Vocational","97169.82","No","266840.63","7236.13","Yes"
"Primary","183613.53","Yes","445262.31","22828.68","Yes"
"Vocational","142897.26","Yes","59307.18","25423.76","No"
"College","193552.21","No","15989.12","6392.73","No"
"College","146562.87","Yes","432531.94","22553.50","Yes"
"College","103955.01","Yes","98472.51","16079.52","Yes"
"College","92622.48","Yes","369269.73","14962.26","Yes"
"Primary","182287.11","No","402108.52","42149.95","No"
"College","37542.75","No","167985.34","21347.04","No"
"Primary","44244.38","Yes","113720.71","6693.95","Yes"
"Vocational","188978.54","No","24900.89","23897.58","No"
"Vocational","128028.00","Yes","102320.75","47380.02","Yes"
"College","58355.16","No","232599.03","9213.19","Yes"
"Vocational","189798.76","No","336573.74","27750.02","No"
"Primary","191872.75","No","362344.46","33302.22","No"
"Vocational","139015.92","Yes","79109.22","33536.15","No"
"College","142789.44","No","181847.45","31846.38","No"
"College","190773.45","Yes","24464.57","49593.15","No"
"Vocational","33687.56","Yes","128843.00","21349.12","Yes"
"College","88912.93","Yes","39009.37","12454.12","Yes"
"Vocational","62137.18","Yes","173311.22","35398.29","Yes"
"Vocational","76386.25","No","71027.19","13812.94","Yes"
"Primary","34718.07","No","391409.13","2114.45","No"
"Primary","135910.84","No","293055.37","39206.48","No"
"Vocational","106455.25","No","386351.40","17126.37","No"
"Vocational","181989.80","No","252413.88","16665.46","Yes"
"Primary","38786.59","Yes","90571.68","25546.60","No"
"Vocational","170623.68","Yes","434028.60","21565.97","No"
"Primary","79763.79","Yes","410799.82","22750.23","Yes"
"Vocational","131115.87","Yes","356207.95","13168.02","No"
"College","187218.15","No","418496.55","40216.70","No"
"College","100207.20","No","257347.46","8549.00","Yes"
"Vocational","187008.07","No","354561.40","13564.37","No"
"Primary","51107.99","No","72218.57","6715.26","No"
"Primary","76291.52","No","176284.03","1798.21","Yes"
"Vocational","130467.30","No","290727.74","16012.36","No"
"College","59651.40","No","201529.33","8331.55","No"
"Vocational","43261.09","No","321913.78","37937.58","Yes"
"Primary","86720.81","Yes","322586.39","34123.65","Yes"
"Vocational","66163.93","Yes","332045.63","30631.59","No"
"Vocational","92194.24","No","19864.09","39854.81","No"
"Primary","142503.53","No","301589.15","16452.58","Yes"
"College","180531.11","No","200191.78","44982.75","Yes"
"Primary","180843.00","Yes","355311.67","23516.64","No"
"College","56311.64","Yes","212323.54","18877.95","Yes"
"Primary","126696.56","Yes","49482.13","9798.95","No"
"Vocational","146333.49","Yes","373904.50","19242.87","Yes"
"Primary","161816.77","Yes","390057.03","29777.25","Yes"
"Vocational","81249.17","Yes","219470.54","20528.86","No"
"Vocational","172488.91","Yes","281608.09","25280.52","No"
"Vocational","151939.40","Yes","139479.25","15436.42","No"
"Primary","83831.78","Yes","335002.49","21534.59","No"
"Primary","152808.26","Yes","134718.09","3059.39","No"
