Grade,Score,Dozing ,Texting,Asking
D,52.05,Always,Always,Never
F,7.91,Sometimes,Always,Always
D,51.64,Always,Sometimes,Never
F,15.34,Sometimes,Always,Sometimes
F,35.89,Always,Always,Sometimes
C,68.18,Sometimes,Never,Always
D,52.02,Always,Always,Always
A,85.35,Never,Always,Always
B,80.1,Sometimes,Sometimes,Sometimes
C,62.78,Sometimes,Always,Sometimes
B,83.42,Always,Never,Always
F,13.69,Never,Always,Never
F,0.81,Never,Never,Always
F,43.55,Sometimes,Always,Never
A,95.84,Always,Always,Sometimes
F,21.77,Always,Sometimes,Sometimes
F,7.74,Always,Sometimes,Sometimes
F,6.79,Sometimes,Always,Sometimes
B,84.78,Always,Sometimes,Always
C,65.19,Always,Never,Sometimes
F,49.6,Always,Never,Never
B,86.23,Always,Always,Sometimes
C,78.06,Never,Sometimes,Always
F,24.26,Always,Never,Always
C,69.47,Never,Always,Sometimes
F,42.55,Always,Never,Always
F,17.62,Sometimes,Never,Always
C,62.92,Sometimes,Sometimes,Never
F,33.38,Sometimes,Always,Never
D,59.48,Always,Never,Always
C,78.36,Sometimes,Always,Never
D,59.73,Always,Sometimes,Never
F,16.21,Always,Sometimes,Never
C,75.76,Sometimes,Never,Sometimes
B,81.45,Always,Sometimes,Never
D,57.02,Never,Always,Never
B,81.72,Never,Sometimes,Never
C,62.43,Never,Always,Sometimes
F,15.21,Sometimes,Never,Sometimes
F,37.28,Always,Sometimes,Never
A,98.26,Sometimes,Always,Sometimes
F,37.68,Always,Always,Always
C,71.66,Sometimes,Never,Never
F,44.14,Always,Never,Always
F,39.7,Sometimes,Sometimes,Never
C,82.31,Sometimes,Sometimes,Never
F,7.06,Always,Never,Sometimes
C,80,Sometimes,Always,Never
F,2.02,Always,Never,Never
F,25.59,Never,Sometimes,Never
D,50.73,Never,Always,Always
D,63.22,Never,Always,Always
D,62.17,Sometimes,Never,Always
F,41.48,Never,Always,Sometimes
A,95.05,Never,Sometimes,Never
F,15.47,Sometimes,Sometimes,Never
D,52.46,Always,Always,Never
F,43.76,Never,Sometimes,Sometimes
F,0.04,Sometimes,Sometimes,Never
D,51.29,Always,Always,Sometimes
F,37.21,Always,Sometimes,Sometimes
D,51.23,Always,Always,Always
C,79.52,Never,Always,Sometimes
B,83.97,Always,Always,Sometimes
F,24.25,Never,Sometimes,Sometimes
F,32.59,Always,Always,Always
F,16.96,Always,Always,Always
F,34.84,Always,Always,Never
F,22.14,Never,Always,Sometimes
D,50.2,Always,Sometimes,Never
F,18.92,Never,Always,Sometimes
F,1.39,Never,Always,Sometimes
A,96.77,Never,Always,Never
F,9.39,Always,Never,Never
F,44.77,Sometimes,Sometimes,Never
C,72.17,Never,Sometimes,Always
A,85.61,Sometimes,Never,Always
A,96.64,Never,Sometimes,Sometimes
D,58.91,Always,Sometimes,Never
C,73.68,Always,Sometimes,Always
F,3.72,Sometimes,Always,Never
F,30.48,Always,Always,Always
F,14.79,Never,Sometimes,Always
F,12.76,Never,Never,Always
C,74.07,Always,Always,Always
F,40.44,Never,Never,Never
A,97.62,Never,Never,Always
F,18.39,Sometimes,Never,Never
A,90.28,Sometimes,Sometimes,Sometimes
F,11.57,Never,Sometimes,Never
F,34.95,Never,Sometimes,Sometimes
F,2.35,Always,Always,Sometimes
C,61.3,Always,Sometimes,Never
A,94.03,Always,Never,Always
D,63.69,Never,Never,Always
F,31.16,Sometimes,Never,Always
C,76.53,Never,Always,Sometimes
B,84.88,Sometimes,Never,Always
A,95.45,Sometimes,Never,Always
C,79.15,Always,Always,Always
B,81.95,Always,Sometimes,Never
F,6.15,Always,Never,Always
C,78.39,Never,Always,Never
F,18.29,Always,Always,Always
A,94.2,Sometimes,Sometimes,Always
C,72.88,Never,Sometimes,Never
F,20.49,Always,Always,Always
F,2.65,Never,Sometimes,Never
A,92.87,Sometimes,Always,Never
C,70.99,Always,Sometimes,Sometimes
F,31.39,Never,Always,Always
A,93.02,Always,Sometimes,Always
F,45.53,Always,Sometimes,Always
D,51.4,Always,Sometimes,Never
D,58.45,Always,Sometimes,Never
D,55.73,Sometimes,Always,Never
C,66.71,Always,Sometimes,Never
C,71.13,Always,Sometimes,Always
A,85.43,Always,Never,Always
F,26.35,Always,Never,Sometimes
F,13.49,Sometimes,Always,Sometimes
C,61.86,Always,Sometimes,Sometimes
A,99.96,Sometimes,Always,Never
F,44.19,Never,Sometimes,Sometimes
C,63.15,Always,Never,Never
F,3.96,Sometimes,Sometimes,Always
F,38.67,Never,Never,Never
D,53.1,Sometimes,Sometimes,Sometimes
B,81.17,Always,Never,Never
C,60.93,Never,Never,Sometimes
F,0.94,Never,Sometimes,Never
C,71.89,Always,Never,Always
D,54.45,Never,Sometimes,Never
F,44.8,Sometimes,Never,Never
C,66.88,Always,Sometimes,Never
A,98.78,Always,Sometimes,Sometimes
B,86.84,Never,Sometimes,Never
F,36.96,Never,Never,Always
F,12.3,Never,Never,Sometimes
C,75.36,Never,Always,Sometimes
F,26.52,Sometimes,Never,Sometimes
B,87.79,Never,Never,Sometimes
A,91.68,Always,Always,Sometimes
A,94.22,Never,Never,Never
F,19.63,Always,Sometimes,Sometimes
C,72.81,Sometimes,Always,Never
A,89.66,Never,Sometimes,Always
A,88.98,Always,Never,Always
D,57.81,Never,Never,Always
D,53.93,Sometimes,Never,Sometimes
F,5.81,Never,Sometimes,Always
C,72.3,Always,Never,Always
A,93.2,Sometimes,Never,Always
C,68.51,Never,Always,Sometimes
D,55.12,Never,Sometimes,Always
F,2.24,Sometimes,Sometimes,Never
B,84.37,Never,Never,Never
F,19.9,Sometimes,Never,Always
F,38.93,Never,Never,Sometimes
B,87.24,Sometimes,Always,Sometimes
A,86.02,Sometimes,Sometimes,Always
F,8.72,Sometimes,Always,Sometimes
F,27.39,Sometimes,Never,Never
A,99.48,Never,Always,Never
F,3.47,Sometimes,Never,Never
B,84.3,Never,Always,Never
F,27.9,Never,Never,Sometimes
B,88.37,Never,Always,Sometimes
D,50.27,Never,Always,Sometimes
A,87.33,Never,Sometimes,Always
C,63.25,Sometimes,Always,Sometimes
F,42.23,Sometimes,Never,Never
A,87.99,Sometimes,Sometimes,Always
F,32.79,Never,Never,Always
F,36.39,Never,Never,Sometimes
A,95.07,Never,Never,Always
F,2.65,Always,Never,Always
F,35.44,Always,Never,Sometimes
C,62.14,Never,Always,Never
A,93.48,Sometimes,Never,Always
F,1.78,Never,Always,Sometimes
D,59,Sometimes,Always,Sometimes
A,96.76,Never,Never,Sometimes
C,72.97,Sometimes,Always,Always
B,81.84,Always,Sometimes,Sometimes
F,3.43,Always,Never,Sometimes
F,49.27,Always,Never,Always
A,94.98,Never,Always,Always
F,21.69,Never,Always,Always
B,81.93,Sometimes,Never,Never
D,54.27,Always,Always,Always
F,11.73,Sometimes,Sometimes,Always
B,82.04,Always,Always,Never
A,96.44,Always,Always,Never
F,16.37,Always,Always,Always
A,94.69,Sometimes,Sometimes,Sometimes
F,21.76,Never,Sometimes,Always
F,6.69,Sometimes,Never,Always
A,90.58,Never,Sometimes,Always
B,88.6,Never,Never,Never
A,98.78,Always,Never,Never
F,39.97,Always,Always,Sometimes
F,5.57,Sometimes,Sometimes,Sometimes
D,53.09,Always,Always,Never
F,49.23,Always,Always,Always
D,56.2,Always,Never,Always
C,73.89,Never,Sometimes,Always
C,61.54,Sometimes,Always,Sometimes
F,49.19,Sometimes,Always,Always
C,75.8,Always,Sometimes,Never
C,69.27,Sometimes,Always,Sometimes
D,51.97,Always,Sometimes,Sometimes
F,2.35,Always,Sometimes,Always
F,37.7,Sometimes,Never,Never
D,53.07,Never,Sometimes,Sometimes
F,20.29,Never,Always,Always
C,60.6,Sometimes,Never,Sometimes
A,86.41,Sometimes,Always,Always
F,9.06,Always,Never,Sometimes
A,98.65,Always,Never,Sometimes
B,84.87,Never,Never,Never
F,28.17,Never,Always,Sometimes
F,13.96,Sometimes,Always,Sometimes
C,78.06,Always,Never,Sometimes
F,18.77,Never,Never,Sometimes
F,24.79,Never,Never,Never
A,97.59,Always,Never,Sometimes
C,74.11,Always,Always,Never
C,71.94,Sometimes,Never,Sometimes
F,44.19,Sometimes,Never,Never
F,19.11,Sometimes,Always,Always
A,94.3,Sometimes,Never,Never
B,82.21,Always,Always,Always
C,78.11,Never,Never,Sometimes
D,57.97,Never,Always,Never
F,26.77,Always,Always,Sometimes
F,1.19,Never,Never,Always
C,79.22,Sometimes,Never,Sometimes
C,75.65,Never,Always,Never
F,32.16,Sometimes,Sometimes,Always
C,67.29,Never,Always,Always
F,12.07,Always,Never,Never
C,74.52,Sometimes,Always,Sometimes
F,34.96,Always,Sometimes,Never
F,36.97,Always,Always,Never
F,20.26,Always,Never,Never
B,83.47,Never,Always,Always
B,85.15,Never,Sometimes,Sometimes
A,94.92,Always,Sometimes,Never
F,20.41,Never,Sometimes,Never
F,43.67,Always,Always,Always
C,79.83,Never,Always,Never
C,75.5,Always,Sometimes,Always
D,60.84,Never,Always,Always
F,44.19,Always,Always,Sometimes
B,80.58,Always,Sometimes,Always
D,55.59,Always,Always,Always
A,99.34,Always,Sometimes,Never
F,19.62,Always,Always,Never
B,83.55,Never,Always,Sometimes
F,27.87,Sometimes,Always,Sometimes
D,56.31,Always,Always,Sometimes
F,39.26,Never,Always,Sometimes
A,93.86,Never,Always,Sometimes
F,43.87,Always,Sometimes,Always
A,93.22,Always,Always,Sometimes
F,16.96,Never,Always,Always
F,29.73,Always,Sometimes,Always
F,33.24,Sometimes,Always,Always
F,24.26,Never,Sometimes,Always
F,8.37,Never,Always,Always
A,94.19,Never,Never,Always
B,88.99,Always,Sometimes,Never
F,10.17,Sometimes,Sometimes,Sometimes
F,10.35,Always,Always,Sometimes
F,41.12,Never,Sometimes,Always
C,68.85,Never,Always,Sometimes
F,39.27,Sometimes,Always,Sometimes
F,1.04,Sometimes,Never,Always
C,78.75,Sometimes,Sometimes,Sometimes
F,48.42,Sometimes,Never,Sometimes
F,33.41,Never,Always,Never
A,98.03,Sometimes,Never,Always
D,57.89,Always,Sometimes,Never
D,56.11,Never,Sometimes,Always
F,42.13,Never,Never,Never
C,76.08,Always,Never,Always
D,53.8,Sometimes,Sometimes,Sometimes
F,4.87,Never,Always,Never
F,26.59,Never,Never,Sometimes
F,48.79,Always,Sometimes,Always
F,17.51,Always,Sometimes,Never
C,77.4,Never,Always,Always
A,98.09,Sometimes,Sometimes,Always
C,70.15,Never,Never,Never
D,59.26,Sometimes,Always,Always
B,84.03,Sometimes,Sometimes,Never
D,55.51,Sometimes,Always,Sometimes
C,67.36,Sometimes,Sometimes,Never
C,79.25,Sometimes,Never,Never
F,13.35,Never,Never,Sometimes
F,3.26,Never,Never,Never
F,16.7,Sometimes,Sometimes,Never
F,49.66,Never,Never,Always
C,72.17,Sometimes,Always,Sometimes
C,61.77,Always,Never,Sometimes
F,43.74,Always,Never,Sometimes
F,9.72,Always,Always,Always
F,0.44,Sometimes,Always,Never
D,62.59,Sometimes,Sometimes,Always
C,68.74,Sometimes,Sometimes,Sometimes
C,69.53,Always,Never,Always
A,86.71,Always,Never,Always
F,49.15,Always,Always,Sometimes
A,98.12,Never,Always,Always
B,81.24,Sometimes,Sometimes,Never
A,92.5,Always,Never,Always
A,93.54,Sometimes,Always,Never
C,73.09,Always,Sometimes,Always
C,69.72,Sometimes,Always,Sometimes
C,63.8,Never,Always,Sometimes
C,77.8,Always,Sometimes,Always
F,9.77,Never,Sometimes,Sometimes
F,7.16,Sometimes,Always,Never
F,42.22,Never,Never,Always
F,45.54,Always,Never,Always
A,97.89,Always,Never,Sometimes
F,23.06,Sometimes,Always,Never
D,59.76,Always,Sometimes,Sometimes
F,32.19,Sometimes,Always,Sometimes
F,38.66,Never,Never,Always
D,60.6,Never,Sometimes,Always
C,62.51,Never,Never,Never
D,58.66,Never,Never,Never
F,4.38,Sometimes,Always,Sometimes
F,46.02,Always,Always,Sometimes
C,64.71,Never,Sometimes,Never
F,19.99,Always,Sometimes,Always
F,44.81,Sometimes,Never,Always
F,19.87,Always,Always,Always
F,10.93,Never,Never,Sometimes
A,99.95,Always,Sometimes,Never
F,17.56,Sometimes,Always,Sometimes
D,56.91,Sometimes,Never,Never
A,85.62,Always,Never,Always
F,30.19,Sometimes,Never,Always
F,21.97,Sometimes,Always,Sometimes
F,16.95,Never,Never,Never
C,74.65,Sometimes,Sometimes,Always
A,85.28,Always,Sometimes,Always
F,32.04,Always,Sometimes,Always
F,17.48,Never,Sometimes,Never
C,77.92,Always,Never,Never
F,13.17,Never,Never,Always
D,55.82,Always,Always,Sometimes
A,93.54,Never,Always,Always
C,77.6,Never,Never,Sometimes
D,56.53,Never,Always,Never
A,95.68,Sometimes,Always,Never
F,9.23,Always,Never,Never
F,28.78,Sometimes,Always,Never
F,33.76,Sometimes,Sometimes,Always
F,43.96,Never,Never,Always
A,97.85,Sometimes,Never,Always
F,11.53,Sometimes,Always,Never
C,72.51,Sometimes,Always,Sometimes
F,32.46,Always,Always,Sometimes
F,1.78,Always,Always,Sometimes
F,24.73,Sometimes,Never,Never
F,18.2,Never,Never,Never
B,86.69,Always,Sometimes,Never
F,36.12,Never,Never,Always
F,31.92,Never,Always,Always
A,92.95,Sometimes,Always,Sometimes
F,9.24,Sometimes,Always,Always
C,68.38,Never,Never,Sometimes
D,57.13,Sometimes,Sometimes,Always
F,6.09,Never,Never,Never
C,66.78,Never,Never,Always
F,34.11,Never,Never,Never
B,80.18,Always,Never,Sometimes
A,91.8,Always,Sometimes,Sometimes
F,49.59,Sometimes,Always,Always
F,35.52,Never,Never,Never
A,99.22,Never,Always,Sometimes
A,95.18,Never,Never,Never
D,54.81,Sometimes,Always,Never
C,71.64,Never,Never,Never
D,51.93,Never,Always,Never
C,77.66,Never,Always,Sometimes
C,61.89,Always,Never,Sometimes
C,76.47,Never,Sometimes,Always
F,5.96,Never,Always,Always
F,20.87,Sometimes,Sometimes,Sometimes
C,73.12,Sometimes,Always,Always
D,51.91,Sometimes,Never,Always
F,46.13,Always,Always,Never
F,35.16,Always,Always,Always
F,17.84,Always,Always,Always
F,46.51,Never,Sometimes,Sometimes
F,22.74,Never,Always,Always
F,27.89,Never,Sometimes,Sometimes
F,6.17,Never,Never,Always
F,5.93,Always,Always,Never
F,44.02,Never,Never,Never
F,34.36,Never,Sometimes,Sometimes
F,28.11,Sometimes,Sometimes,Sometimes
F,46.96,Always,Never,Never
B,84.85,Never,Always,Sometimes
D,56.58,Always,Sometimes,Sometimes
D,58.81,Sometimes,Always,Never
F,47.41,Sometimes,Always,Sometimes
F,21.34,Always,Never,Never
A,92.6,Never,Never,Sometimes
A,89.68,Sometimes,Sometimes,Always
F,5.85,Never,Never,Sometimes
F,32.05,Always,Never,Never
F,12.35,Sometimes,Sometimes,Always
C,68.76,Never,Sometimes,Never
F,28.96,Sometimes,Always,Sometimes
F,28.45,Never,Always,Sometimes
F,0.65,Sometimes,Sometimes,Always
D,52.75,Never,Never,Sometimes
C,60.25,Always,Sometimes,Sometimes
B,87.11,Always,Always,Sometimes
A,88.35,Never,Always,Always
A,91.52,Never,Always,Never
C,73.54,Never,Never,Never
A,90.96,Never,Always,Always
A,87.71,Never,Sometimes,Always
F,6.03,Always,Never,Sometimes
C,71,Never,Always,Always
B,88.97,Never,Sometimes,Never
F,23.18,Sometimes,Never,Sometimes
A,94.48,Always,Never,Never
F,31.64,Sometimes,Sometimes,Sometimes
B,84.76,Always,Sometimes,Always
B,85.62,Always,Always,Never
F,2.47,Never,Never,Sometimes
F,13.48,Always,Sometimes,Always
F,15.51,Never,Sometimes,Sometimes
F,9.99,Always,Sometimes,Always
C,78.53,Never,Never,Never
D,50.67,Never,Never,Always
B,80.89,Always,Always,Sometimes
F,19.97,Sometimes,Sometimes,Never
F,11.37,Sometimes,Sometimes,Always
D,59.96,Always,Never,Never
D,50.62,Sometimes,Sometimes,Sometimes
C,71.21,Always,Never,Sometimes
C,74.1,Never,Always,Sometimes
F,39.98,Never,Always,Sometimes
D,58.27,Sometimes,Never,Never
D,57.23,Never,Never,Sometimes
F,6.63,Sometimes,Always,Never
F,10.54,Never,Never,Always
C,71.81,Always,Always,Sometimes
F,3.61,Always,Always,Always
F,0.64,Sometimes,Sometimes,Never
F,43.76,Sometimes,Never,Never
C,69.05,Sometimes,Never,Never
D,52.47,Never,Always,Sometimes
A,95.46,Sometimes,Never,Sometimes
D,54.62,Never,Always,Sometimes
A,94.84,Never,Always,Always
C,63.14,Sometimes,Sometimes,Never
D,62.45,Sometimes,Always,Always
F,7.38,Always,Never,Sometimes
B,83.02,Always,Never,Sometimes
F,19.81,Sometimes,Always,Never
F,4.76,Always,Never,Always
B,82.18,Always,Sometimes,Never
A,96,Always,Never,Never
D,59.31,Sometimes,Never,Always
C,75.37,Sometimes,Never,Never
F,15.25,Always,Never,Sometimes
F,48.39,Always,Never,Sometimes
A,98.87,Never,Sometimes,Always
A,86.14,Never,Sometimes,Always
B,88.24,Sometimes,Never,Never
F,31.47,Sometimes,Never,Never
F,38.35,Sometimes,Sometimes,Never
F,41.55,Never,Sometimes,Always
F,5.28,Never,Always,Always
F,4.66,Sometimes,Sometimes,Never
F,42.15,Always,Always,Never
F,45.84,Never,Sometimes,Never
B,83.05,Sometimes,Sometimes,Always
A,93.35,Never,Sometimes,Never
D,62.16,Always,Never,Always
F,7.3,Sometimes,Sometimes,Sometimes
D,59.96,Never,Sometimes,Sometimes
F,12.66,Never,Sometimes,Always
C,69.66,Sometimes,Never,Never
D,52.97,Always,Always,Never
C,67.08,Never,Never,Sometimes
F,20.04,Always,Never,Always
A,90.72,Never,Sometimes,Sometimes
C,65.81,Always,Always,Sometimes
A,94.98,Never,Always,Always
C,72.72,Never,Sometimes,Sometimes
C,76.58,Always,Sometimes,Sometimes
C,69.57,Always,Always,Always
D,50.28,Sometimes,Always,Never
F,14.88,Never,Sometimes,Sometimes
F,31.89,Sometimes,Always,Never
F,16.94,Never,Always,Always
C,78.75,Never,Always,Always
F,47.34,Sometimes,Sometimes,Sometimes
C,70.06,Never,Always,Never
D,57.99,Never,Never,Never
C,68.01,Always,Always,Never
F,32.26,Always,Always,Never
F,4.42,Sometimes,Always,Never
F,28.34,Sometimes,Sometimes,Sometimes
D,58.44,Always,Never,Never
C,79.38,Always,Never,Never
C,70.11,Never,Sometimes,Always
F,30.02,Always,Always,Always
D,54.77,Sometimes,Sometimes,Never
F,8.29,Always,Always,Never
C,76.87,Always,Sometimes,Always
D,59.65,Never,Always,Sometimes
F,10.31,Always,Never,Sometimes
F,45.05,Always,Sometimes,Sometimes
D,50.08,Never,Sometimes,Sometimes
F,34.53,Always,Sometimes,Always
F,4,Never,Sometimes,Sometimes
F,47.04,Sometimes,Always,Never
A,99.68,Sometimes,Sometimes,Sometimes
F,34.32,Sometimes,Sometimes,Sometimes
A,87.28,Never,Sometimes,Always
F,8.69,Never,Never,Never
F,43.84,Never,Always,Never
C,72.65,Never,Never,Sometimes
B,83.86,Always,Never,Always
F,21.9,Sometimes,Never,Always
F,27.21,Sometimes,Sometimes,Sometimes
D,57.78,Sometimes,Sometimes,Never
B,85.49,Always,Always,Never
F,22.35,Never,Always,Always
F,13.65,Always,Always,Never
A,89.58,Sometimes,Sometimes,Always
C,72.31,Sometimes,Always,Sometimes
F,31.03,Never,Sometimes,Always
F,16.43,Never,Never,Sometimes
F,1.65,Sometimes,Never,Never
C,62.45,Never,Always,Sometimes
F,44.72,Sometimes,Never,Sometimes
B,82.4,Never,Never,Never
F,27.95,Always,Sometimes,Sometimes
F,18.54,Sometimes,Always,Always
D,53.24,Never,Never,Sometimes
C,70.58,Always,Always,Sometimes
F,44.54,Always,Never,Never
F,32.18,Always,Sometimes,Always
F,15.73,Never,Never,Always
A,93.22,Never,Sometimes,Sometimes
D,57.2,Never,Never,Sometimes
C,76.25,Always,Sometimes,Never
C,77.9,Sometimes,Always,Always
F,31.31,Never,Always,Always
C,73.42,Sometimes,Never,Sometimes
F,18.95,Never,Never,Never
F,13.43,Always,Sometimes,Always
F,37.39,Always,Never,Always
C,60.62,Sometimes,Never,Sometimes
B,88.17,Always,Sometimes,Never
A,93.61,Always,Sometimes,Never
F,41.62,Always,Always,Sometimes
F,48.9,Sometimes,Always,Never
A,95.27,Never,Always,Always
F,35.58,Always,Never,Sometimes
F,48.94,Always,Always,Always
C,67.44,Always,Never,Always
C,68.6,Sometimes,Never,Never
F,30.57,Sometimes,Sometimes,Always
D,54.58,Sometimes,Never,Sometimes
F,13.03,Sometimes,Never,Sometimes
F,32.91,Sometimes,Always,Sometimes
A,96.34,Always,Sometimes,Sometimes
F,5.43,Never,Always,Always
F,26.07,Sometimes,Sometimes,Always
F,18.96,Always,Sometimes,Always
C,76.02,Never,Always,Sometimes
F,14.37,Always,Always,Always
A,93.56,Always,Sometimes,Always
F,22.48,Never,Never,Always
D,60.32,Sometimes,Sometimes,Always
F,33.88,Sometimes,Sometimes,Always
F,3.3,Always,Always,Sometimes
C,76.62,Sometimes,Never,Always
F,29.42,Never,Never,Never
B,89.19,Always,Sometimes,Sometimes
D,56.06,Always,Never,Never
F,1.14,Sometimes,Sometimes,Sometimes
B,82.22,Always,Sometimes,Always
F,30.32,Sometimes,Sometimes,Sometimes
A,93.82,Always,Always,Sometimes
F,24.93,Always,Sometimes,Never
F,28.65,Sometimes,Never,Sometimes
F,9.03,Always,Never,Sometimes
C,77.23,Sometimes,Sometimes,Never
C,73.93,Sometimes,Never,Always
F,9.23,Never,Never,Never
A,92.58,Never,Never,Never
F,37.13,Sometimes,Never,Always
B,83.48,Never,Never,Sometimes
F,11.84,Always,Never,Never
C,66.81,Sometimes,Sometimes,Always
F,8.49,Never,Never,Never
F,2.19,Never,Always,Always
F,25.06,Always,Always,Always
F,49.85,Never,Always,Never
A,95.06,Always,Sometimes,Always
F,41.37,Never,Always,Always
F,16.98,Never,Never,Always
B,86.36,Always,Always,Never
B,84.84,Sometimes,Never,Always
F,4.15,Sometimes,Always,Never
A,91.95,Always,Always,Sometimes
A,99.12,Always,Sometimes,Never
A,96.58,Never,Always,Sometimes
F,4.58,Never,Sometimes,Never
F,44.45,Never,Never,Always
F,21.57,Never,Never,Sometimes
F,7.89,Never,Sometimes,Always
B,89.96,Never,Never,Never
B,88.92,Always,Always,Sometimes
F,44.17,Never,Always,Sometimes
C,76.75,Always,Sometimes,Always
F,10.46,Always,Never,Sometimes
D,58.9,Always,Always,Never
F,33.94,Sometimes,Never,Never
D,51.44,Never,Sometimes,Sometimes
D,55.63,Always,Always,Always
F,7.02,Sometimes,Sometimes,Sometimes
F,16.95,Sometimes,Never,Always
D,50.9,Sometimes,Never,Sometimes
C,79.61,Never,Always,Never
D,58.64,Never,Sometimes,Never
B,82.88,Sometimes,Always,Never
D,58.43,Never,Never,Never
F,36.13,Sometimes,Sometimes,Sometimes
F,1.82,Never,Never,Sometimes
D,56.92,Sometimes,Always,Sometimes
F,43.96,Always,Never,Sometimes
C,65.84,Always,Never,Sometimes
A,98.77,Sometimes,Sometimes,Sometimes
A,91.47,Never,Sometimes,Sometimes
D,54.08,Never,Never,Sometimes
C,65.88,Never,Never,Never
B,80.16,Sometimes,Sometimes,Sometimes
D,55.96,Always,Always,Never
F,6.23,Always,Always,Never
F,8.81,Sometimes,Always,Never
C,72.96,Never,Always,Always
F,38.87,Never,Sometimes,Sometimes
F,20.72,Always,Always,Sometimes
C,64.66,Never,Always,Sometimes
A,99.2,Never,Never,Sometimes
F,33.25,Never,Sometimes,Sometimes
F,7.01,Always,Always,Never
F,7.57,Always,Always,Never
D,61.66,Always,Always,Always
D,57.67,Never,Always,Never
A,97.6,Always,Always,Never
F,8.51,Sometimes,Sometimes,Sometimes
F,47.49,Sometimes,Sometimes,Never
D,56.38,Never,Always,Always
D,61.91,Always,Always,Always
F,44.56,Always,Always,Never
C,69.01,Never,Never,Never
F,26.28,Never,Sometimes,Never
A,98.43,Always,Always,Always
F,45.66,Sometimes,Never,Never
F,28.04,Always,Never,Sometimes
C,67.36,Never,Sometimes,Always
C,70.26,Sometimes,Always,Never
B,82.05,Sometimes,Never,Never
F,1.24,Always,Always,Sometimes
C,61.92,Always,Sometimes,Never
F,38.01,Always,Always,Always
C,67.35,Never,Never,Never
D,80.64,Always,Never,Always
F,11.75,Always,Sometimes,Always
B,82.38,Never,Sometimes,Never
D,55.85,Never,Never,Sometimes
F,29.41,Never,Always,Always
B,82.75,Never,Sometimes,Never
F,25.88,Never,Always,Always
C,61.28,Never,Sometimes,Sometimes
F,24.34,Never,Sometimes,Sometimes
F,15.3,Never,Never,Always
D,60.84,Sometimes,Always,Always
D,56.77,Sometimes,Always,Always
B,82.28,Always,Sometimes,Sometimes
B,81.68,Never,Always,Never
C,74.62,Always,Sometimes,Always
D,54.87,Never,Never,Never
F,27.91,Sometimes,Sometimes,Sometimes
F,2.33,Never,Sometimes,Sometimes
B,81.78,Always,Always,Sometimes
F,11.2,Always,Always,Always
C,63.33,Never,Always,Never
F,22.84,Never,Sometimes,Never
F,39.2,Always,Never,Always
F,44.14,Always,Always,Always
F,16.74,Never,Sometimes,Always
F,10.66,Never,Never,Sometimes
C,78.32,Sometimes,Sometimes,Never
F,32.99,Sometimes,Always,Sometimes
F,19.15,Always,Never,Never
F,22.78,Always,Always,Always
F,31.08,Sometimes,Sometimes,Never
C,70.35,Never,Never,Always
F,36.17,Always,Never,Never
F,30.81,Sometimes,Sometimes,Sometimes
C,68.32,Sometimes,Never,Never
F,41.59,Sometimes,Always,Always
A,89.2,Never,Sometimes,Always
F,40.89,Sometimes,Sometimes,Sometimes
C,61.53,Sometimes,Always,Sometimes
F,4.37,Always,Sometimes,Never
C,68.78,Never,Always,Sometimes
C,71.91,Never,Always,Always
F,35.86,Sometimes,Sometimes,Always
D,57.12,Sometimes,Sometimes,Always
F,42,Sometimes,Always,Never
C,72.24,Sometimes,Never,Sometimes
A,94.84,Never,Always,Never
D,51.53,Sometimes,Sometimes,Always
F,49.66,Always,Never,Sometimes
F,6.56,Always,Never,Sometimes
C,60.2,Never,Sometimes,Never
F,7.71,Sometimes,Always,Sometimes
A,85.59,Never,Always,Always
F,30,Never,Sometimes,Never
F,47.31,Always,Never,Always
F,5.86,Sometimes,Sometimes,Always
C,74.39,Never,Sometimes,Sometimes
F,22.07,Always,Always,Sometimes
B,82.26,Always,Sometimes,Always
F,8.05,Sometimes,Never,Sometimes
F,44.43,Sometimes,Never,Sometimes
A,97.13,Sometimes,Always,Never
F,27.71,Sometimes,Never,Never
D,61.4,Never,Always,Always
B,84.88,Never,Sometimes,Never
F,27.4,Sometimes,Sometimes,Never
B,82.76,Always,Sometimes,Never
D,55.57,Always,Sometimes,Never
F,40.58,Never,Sometimes,Sometimes
D,58.88,Sometimes,Never,Always
D,59.17,Always,Sometimes,Never
F,17.85,Never,Always,Always
C,74.35,Never,Always,Sometimes
D,58.64,Never,Never,Never
C,65.87,Sometimes,Never,Never
A,93.04,Sometimes,Always,Sometimes
A,98.01,Never,Never,Sometimes
C,72.8,Sometimes,Sometimes,Sometimes
C,62.29,Never,Sometimes,Sometimes
F,42.17,Always,Never,Sometimes
C,73.9,Never,Sometimes,Sometimes
F,48.89,Never,Always,Never
A,93.89,Never,Always,Never
D,58.32,Never,Always,Sometimes
F,40.02,Sometimes,Always,Never
F,47.53,Sometimes,Always,Sometimes
F,42.42,Sometimes,Always,Never
A,90.88,Never,Never,Sometimes
F,15.4,Always,Sometimes,Sometimes
F,21.79,Never,Sometimes,Never
F,47.77,Never,Never,Never
F,15,Sometimes,Always,Never
F,40.91,Sometimes,Always,Sometimes
F,21.9,Never,Sometimes,Always
F,18.18,Always,Always,Never
F,13.34,Never,Never,Never
C,73.58,Always,Never,Never
F,12.41,Sometimes,Never,Always
